Gene,BF,LoF.BF,nonLoF.BF
LPA,0.000695087,0.1870001,0.003717038
MTOR,0.271680662,1.181973542,0.229853421
PTCHD2,0.543487116,0.626985674,0.866825412
UBR4,1.601234462,2.00895242,0.79704947
CSMD2,0.044555627,1.373014326,0.032450956
NCDN,0.885799778,1.885168339,0.469878344
SZT2,0.039630929,0.393111036,0.100813576
JAK1,0.145234692,0.626985674,0.23163957
PTGER3,0.282851864,0.291052608,0.971823843
RBM15,1.127770076,0.626985674,1.798717455
ATP1A1,0.502188287,0.626985674,0.800956557
TCHH,0.72887137,1.151755572,0.632835115
INTS3,2.154345885,0.626985674,3.436036856
ADAR,4.613622633,1.373014326,3.36021449
KCNN3,0.976455477,1.373014326,0.711176467
ASH1L,0.105476406,1.236621032,0.085294042
ATP1A2,1.352703884,0.860860313,1.571339582
DNM3,3.441307105,1.373014326,2.506388346
NAV1,2.143632784,0.860860313,2.49010525
ACTA1,0.977187203,1.373014326,0.711709401
RYR2,0.051158634,0.626985674,0.081594582
DIP2C,1.345970328,2.00895242,0.669986165
ASAH2,0.208909601,0.291007965,0.717882761
HK1,0.583512086,1.373014326,0.42498616
PANK1,2.220549776,1.373014326,1.617280851
ADRA2A,1.108012542,1.373014326,0.806992703
IPO7,0.381319629,0.393111036,0.970004895
CTR9,0.077884228,0.393111036,0.198122721
CAPRIN1,0.428659898,0.860860313,0.497943618
CHST1,1.591274963,1.373014326,1.158964574
LRP4,1.19323709,0.860860313,1.386098386
EML3,0.853494303,0.860860313,0.991443432
LTBP3,1.740547883,1.885168339,0.923285124
B3GNT1,1.059731765,1.373014326,0.77182863
ABCG4,0.551053408,0.516895117,1.066083602
PRDM10,0.713917097,1.373014326,0.519963327
KCNA1,0.585499706,0.626985674,0.933832669
ITPR2,0.109328721,1.181973542,0.092496758
FMNL3,0.261912935,0.626985674,0.417733524
LRP1,0.535683775,1.373014326,0.390151628
CIT,0.974995714,1.373014326,0.710113286
GCN1L1,0.228168064,1.373014326,0.166180395
KDM2B,0.203784102,0.465860353,0.437436028
UBC,0.527317164,0.626985674,0.841035426
EP400,27.19722715,0.922758458,29.47383134
ZNF605,1.431784463,1.373014326,1.042803732
KBTBD6,0.453766667,0.860860313,0.52710836
PCDH17,0.782225391,0.626985674,1.247596912
MYCBP2,0.476521028,2.588363135,0.184101304
NALCN,0.76134251,0.741080478,1.027341203
ARHGEF7,0.128965688,0.626985674,0.205691603
SUPT16H,1.740527835,1.373014326,1.2676691
CHD8,7.779480467,1.373014326,5.665986378
METTL3,4.426548043,1.373014326,3.223963479
MYH7,0.102589058,1.181973542,0.086794716
HECTD1,0.864254633,1.373014326,0.629457841
RALGAPA1,0.748162325,1.373014326,0.544904966
TRIM9,0.406946457,0.626985674,0.649052242
ACOT1,0.626985674,0.626985674,1
EML5,0.678338052,1.259584388,0.538541171
SMEK1,2.60391396,1.373014326,1.896494386
DYNC1H1,16.7231281,1.373014326,12.17986425
CHRFAM7A,1.373014326,1.373014326,1
RHOV,1.373014326,1.373014326,1
MYO5A,0.528958432,1.885168339,0.280589495
HERC1,0.093574866,0.626985674,0.149245621
RASGRF1,0.828059051,0.626985674,1.320698518
GTF3C1,0.385919379,0.626985674,0.615515465
TAOK2,0.260420509,0.516895117,0.503816927
ZNF768,1.322946768,1.373014326,0.96353457
KAT8,0.842166458,0.626985674,1.343198884
CYLD,1.91257935,1.373014326,1.392978438
CNOT1,1.524829019,0.626985674,2.431999776
DHX38,2.001489749,0.626985674,3.192241595
GLG1,4.193183571,1.885168339,2.224301929
PRPF8,0.650703027,1.373014326,0.47392297
HIC1,0.448189393,0.516895117,0.867079952
CHRNE,0.542514938,1.012016225,0.53607336
KIAA0100,0.027885769,1.373014326,0.02030989
MYO18A,0.09903835,1.012016225,0.097862413
NF1,0.113024433,0.860860313,0.131292419
ASIC2,2.541957814,1.885168339,1.348398316
AP2B1,1.985424851,1.373014326,1.446033602
ACACA,3.836177818,1.373014326,2.793982369
KLHL11,0.26255259,0.393111036,0.667884049
STAT5A,1.28770266,0.626985674,2.053799174
CNTNAP1,0.107852775,1.181973542,0.091248045
DHX8,1.829325851,2.00895242,0.910586947
NSF,1.019153912,1.373014326,0.742274784
MIB1,1.701832745,2.719936198,0.62568848
C3,0.195383708,0.626985674,0.311623879
INSR,2.060700386,1.373014326,1.50085862
SIN3B,0.13823744,0.337797816,0.409231301
UNC13A,2.242487034,0.626985674,3.576616063
KCNN1,0.751297814,0.626985674,1.198269506
COMP,0.866723351,1.373014326,0.631255869
UPF1,2.133477277,1.373014326,1.553863814
CHST8,0.960996005,0.860860313,1.116320489
ATP4A,1.193269429,1.885168339,0.632977652
CLIP3,0.262247288,0.626985674,0.418266794
RYR1,0.105221012,0.28234507,0.372668139
SPTBN4,0.497018431,1.373014326,0.36199071
ZNF835,0.240954763,0.464144568,0.519137311
PXDN,3.208679628,1.373014326,2.336960051
CAD,0.786060465,0.626985674,1.253713597
GFPT1,0.875101073,1.373014326,0.637357569
HTRA2,0.474855698,0.626985674,0.757362916
SNRNP200,3.663331515,1.373014326,2.668094168
ANAPC1,4.615793605,1.373014326,3.361795663
WDR33,0.569163167,0.626985674,0.907776989
LCT,0.018241549,0.324085834,0.056286165
SLC4A10,0.319261014,0.393111036,0.812139537
SCN3A,0.240507106,0.626985674,0.383592666
NCKAP1,1.661108183,1.373014326,1.20982582
STAT1,1.878083668,1.373014326,1.367854387
TUBA4A,1.057589171,1.373014326,0.770268126
SPEG,0.339653555,0.516895117,0.65710343
PRR21,0.480035273,0.626985674,0.76562399
HDLBP,0.804118878,1.885168339,0.426550172
LRRN4,1.392560369,1.373014326,1.014235862
PLCG1,0.843030053,1.373014326,0.613999459
CHD6,1.899465881,0.860860313,2.20647398
ATP9A,1.144355991,1.373014326,0.833462528
PRPF6,0.528072012,0.626985674,0.842239358
ADAMTS5,0.718389133,0.860860313,0.834501396
ITSN1,2.424636469,1.373014326,1.765922193
DSCAM,0.786498965,1.885168339,0.417203572
PI4KA,0.247932522,0.741080478,0.334555463
SF3A1,0.671902706,1.373014326,0.489363216
MORC2,0.641324911,0.393111036,1.631409074
BRD1,0.054198718,0.626985674,0.086443311
ITPR1,0.564369054,1.373014326,0.41104382
SATB1,0.545026806,1.373014326,0.396956387
CLASP2,2.812822919,1.373014326,2.048647903
SCN5A,0.063613064,1.373014326,0.046330954
SMARCC1,0.168934498,1.373014326,0.123039137
PLXNB1,7.507818115,1.373014326,5.468128027
CELSR3,0.015290997,0.246474988,0.062038738
ATP6V1A,1.454247077,1.373014326,1.059163804
ADCY5,1.316149187,1.373014326,0.958583725
KALRN,5.57783135,1.373014326,4.062471342
PLXND1,0.266654599,0.737076231,0.361773433
ABCC5,0.074792138,0.324085834,0.230778794
DVL3,0.415865462,0.626985674,0.663277455
EIF4A2,0.61266535,0.626985674,0.977160045
HTT,0.061060277,0.626985674,0.097387037
PPP2R2C,0.634769605,0.467276973,1.358444011
FRYL,2.831614496,0.539747084,5.246187672
NOA1,0.185231611,0.539747084,0.343182236
POLR2B,0.84588929,0.626985674,1.349136551
WDFY3,0.072462799,1.373014326,0.052776434
KIAA1109,0.310030697,0.338413689,0.916129303
TBC1D9,1.304456458,1.373014326,0.950067624
CLCN3,0.915823615,0.626985674,1.460677098
ADCY2,2.179126747,1.373014326,1.587111442
IL6ST,1.273744666,0.860860313,1.479618292
HMGCR,0.245524771,1.373014326,0.178821711
MEF2C,1.147860184,1.373014326,0.836014718
DDX46,0.440031365,0.551394005,0.798034365
TRPC7,0.661273437,0.709704401,0.931758964
CTNNA1,1.100639565,0.860860313,1.278534448
IK,0.64650868,1.373014326,0.470868124
CYFIP2,1.14943304,1.373014326,0.837160268
F12,1.013678552,1.373014326,0.738286945
DDX41,0.18910323,0.224143885,0.843668923
DHX16,0.233227455,0.462136238,0.504672511
MDC1,1.245445797,0.626985674,1.986402318
VARS2,1.300646089,1.885168339,0.689936311
VARS,1.142282433,1.373014326,0.831952305
ITPR3,0.810052394,0.737076231,1.099007619
DEF6,1.694460967,0.626985674,2.702551329
TMEM63B,0.540533272,0.626985674,0.862114231
DOPEY1,0.278290403,1.181973542,0.235445543
HIVEP2,0.77316418,0.860860313,0.89812966
CARD11,0.390479026,1.373014326,0.284395449
HECW1,0.246339665,1.373014326,0.179415218
ACTL6B,0.543646708,0.626985674,0.867079952
MKLN1,0.672328827,0.626985674,1.07231928
XPO7,0.618656901,0.626985674,0.986716166
ARHGAP39,0.528651413,0.922758458,0.572903352
TLN1,0.636437486,1.373014326,0.463533026
NPR2,0.366346186,0.737076231,0.497026183
TRPM3,0.114991593,0.606894725,0.189475354
DAPK1,0.19425082,1.373014326,0.141477635
GABBR2,2.90494508,1.373014326,2.115742732
RNF20,2.032385765,0.737076231,2.757361692
ZNF462,0.320953821,0.393111036,0.816445717
ZER1,0.27693315,1.373014326,0.201697204
LRRC8A,0.779918709,1.373014326,0.568033919
GTF3C4,1.984857113,0.626985674,3.165713659
BRD3,0.483326678,0.626985674,0.770873559
KIF1B,0.709530291,1,0.709530291
TRIM46,1.111311969,1,1.111311969
PITPNM2,0.295661757,1,0.295661757
SEMA6D,0.299838448,1,0.299838448
MAST4,0.679428986,1,0.679428986
GRM1,0.482617457,1,0.482617457
DLGAP3,1.070580715,1,1.070580715
MACF1,1.841147324,1,1.841147324
LRRC7,0.41152815,1,0.41152815
RSBN1,1.082403354,1,1.082403354
NOTCH2,0.115435162,1,0.115435162
TPR,1.599765663,1,1.599765663
KIF21B,0.351090642,1,0.351090642
CEP170,0.628407398,1,0.628407398
ANXA8L1,1,1,1
EIF3A,0.370986484,1,0.370986484
ESPL1,0.398468564,1,0.398468564
AGAP2,1.868594637,1,1.868594637
CAND1,1.377533787,1,1.377533787
NOS1,0.363382655,1,0.363382655
CYFIP1,47.17229911,1,47.17229911
INO80,4.981063992,1,4.981063992
FBN1,19.28100247,1,19.28100247
CHD2,0.602829878,1,0.602829878
SMG1,1.384272834,1,1.384272834
SRCAP,13.95860621,1,13.95860621
CHD3,0.678062529,1,0.678062529
NCOR1,0.353256127,1,0.353256127
SUPT6H,0.337860121,1,0.337860121
ACLY,0.562688208,1,0.562688208
PTRF,1.202661566,1,1.202661566
GALR2,0.65506429,1,0.65506429
RPTOR,0.45125892,1,0.45125892
TUBB6,1.468832517,1,1.468832517
ZNF236,1.002541352,1,1.002541352
AP3D1,0.977431419,1,0.977431419
XAB2,1.470991786,1,1.470991786
DNM2,0.728776096,1,0.728776096
NOTCH3,3.402316114,1,3.402316114
ZNF536,0.592791693,1,0.592791693
MAP4K1,1.514497037,1,1.514497037
ADCY3,0.241751249,1,0.241751249
BIRC6,0.005731427,1,0.005731427
PRKCE,0.765597622,1,0.765597622
USP34,0.725736671,1,0.725736671
SCN2A,0.42583874,1,0.42583874
DYRK1A,0.840938976,1,0.840938976
BCR,0.493729948,1,0.493729948
ZNRF3,0.798141809,1,0.798141809
MYH9,0.379072234,1,0.379072234
ATP2B2,0.730897799,1,0.730897799
CADPS,0.140424155,1,0.140424155
TSC22D2,0.880386335,1,0.880386335
MED12L,0.037484403,1,0.037484403
TNIK,0.325634073,1,0.325634073
TP63,4.972342291,1,4.972342291
RBM47,1.474878522,1,1.474878522
TRIO,0.028635053,1,0.028635053
PRRC2A,0.67250691,1,0.67250691
SRF,1.383163611,1,1.383163611
OGDH,1.136683374,1,1.136683374
AUTS2,0.71185988,1,0.71185988
FLNC,0.336539792,1,0.336539792
PLXNA4,0.441455832,1,0.441455832
TRIM24,1.591200621,1,1.591200621
ZNF777,1.592484801,1,1.592484801
VCPIP1,1.01523232,1,1.01523232
ARFGEF1,0.862105048,1,0.862105048
CPSF1,1.130054628,1,1.130054628
CNTNAP3,1.200294264,1,1.200294264
PCSK5,0.905111152,1,0.905111152
HSPA5,0.709013247,1,0.709013247
SPTAN1,0.028141118,1,0.028141118
TSC1,0.033807599,1,0.033807599
CHD5,0.255901384,1,0.255901384
RERE,0.334366131,1,0.334366131
PIK3CD,0.372924689,1,0.372924689
SPEN,1.106929402,1,1.106929402
ZBTB17,1.435357576,1,1.435357576
KDM1A,0.948980477,1,0.948980477
HNRNPR,0.447864395,1,0.447864395
TMEM57,1.331886452,1,1.331886452
RPS6KA1,1.678921895,1,1.678921895
WDTC1,1.117477408,1,1.117477408
