"Gene" "BF" "LoF.BF" "nonLoF.BF"
"1" "COL9A2" 0.956815442475083 1 0.956815442475083
"2" "OR10R2" 1.00139817710732 1 1.00139817710732
"3" "OBSCN" 0.860133501263304 0.999999999999999 0.860133501263305
"4" "SEMA4C" 0.936387836926651 1 0.936387836926651
"5" "SULT1C3" 0.989619862039188 0.999999999999999 0.989619862039188
"6" "PTH2R" 0.932290782975284 1 0.932290782975285
"7" "TTLL3" 0.972468381730208 1 0.972468381730204
"8" "MST1" 1.00034958462972 0.999999999999999 1.00034958462972
"9" "COL6A5" 1.05953918258785 1 1.05953918258785
"10" "KNG1" 1.01114931589304 1 1.01114931589304
"11" "ATP13A5" 0.90093540179053 1 0.900935401790528
"12" "UGT2A1" 0.951147675191267 0.999999999999997 0.95114767519127
"13" "CCDC125" 1.01488802825759 1 1.01488802825759
"14" "FAM81B" 0.918805134036408 0.999999999999999 0.918805134036409
"15" "SLC17A4" 0.999431280199895 1 0.999431280199895
"16" "TRIM38" 0.979374616146041 1 0.979374616146041
"17" "OR10C1" 0.898238089013252 1 0.898238089013252
"18" "BTNL2" 1.00980238377723 1 1.00980238377723
"19" "PNPLA1" 0.995699863063317 1 0.995699863063317
"20" "KIAA1919" 0.988234960679031 0.999999999999998 0.988234960679032
"21" "INMT" 0.943449307748039 1 0.943449307748039
"22" "IFNE" 1.03041454031166 1 1.03041454031166
"23" "ZNF883" 0.999999999999995 0.999999999999995 1
"24" "ANKRD30A" 1.22854574331199 0.999999999999998 1.228545743312
"25" "CYP2C18" 0.985819776286301 1 0.985819776286301
"26" "PKD2L1" 1.01687531764492 1 1.01687531764492
"27" "OR8K3" 0.997816251874497 1 0.997816251874497
"28" "OR4D10" 0.997003761680645 1 0.997003761680645
"29" "OR10V1" 1.00206874648205 1 1.00206874648205
"30" "MMP8" 0.941781966038416 1 0.941781966038416
"31" "RAD52" 0.95576702811547 1 0.95576702811547
"32" "ACSM4" 0.980701002065868 1 0.980701002065868
"33" "KRT83" 0.986424240973425 0.999999999999998 0.986424240973427
"34" "OLFM4" 0.926712146016634 1 0.926712146016634
"35" "CLYBL" 0.979068346386 0.999999999999998 0.979068346386002
"36" "C14orf105" 0.9709608916493 0.999999999999998 0.970960891649302
"37" "OR4M2" 0.989636199492984 1 0.989636199492984
"38" "CALML4" 0.97528070078995 1 0.97528070078995
"39" "ABCC12" 1.41834299065272 0.999999999999994 1.41834299065272
"40" "CIAPIN1" 0.985884471664321 0.999999999999998 0.985884471664323
"41" "HSD17B2" 1.00574888777123 1.00000000000001 1.00574888777123
"42" "OR1D5" 1 1 1
"43" "EFCAB13" 0.978654484943273 0.999999999999996 0.978654484943278
"44" "STARD6" 1.00122257577364 1 1.00122257577364
"45" "ZNF77" 0.97756107068508 1 0.977561070685077
