"Gene","BF","LoF.BF","nonLoF.BF"
"VENTX",424.207573594658,1,424.207573594658
"PPL",47.2585958752349,0.999999999999982,47.2585958752357
"SCN10A",32.9892892804464,0.999999999999982,32.989289280447
"ACOT12",17.8979611974358,1.00000000000001,17.8979611974357
"COMT",14.242545810667,1,14.242545810667
"IKBKB",10.3176870002849,1,10.3176870002849
"TLR1",10.2424201950826,0.999999999999988,10.2424201950828
"CASC5",8.97168958165119,1,8.97168958165119
"WARS",8.04075559777595,1,8.04075559777595
"BCDIN3D",7.99946276551897,1,7.99946276551897
"DMGDH",7.70017786867253,1.00000000000003,7.70017786867229
"ADH1A",6.63939712459899,1,6.63939712459899
"ANKRD11",6.24030650864249,1,6.24030650864249
"HSD17B6",5.85935628735848,1,5.85935628735848
"PRR16",5.73511980684104,1,5.73511980684104
"PTPRO",5.58148358131619,1,5.58148358131619
"HDHD3",5.085018014614,1.00000000000002,5.08501801461391
"FTMT",4.96221799922747,1,4.96221799922747
"SSFA2",4.70452655075918,1,4.70452655075918
"MCPH1",4.6978579225924,1,4.6978579225924
"KRTAP9-9",3.91534698849663,1,3.91534698849663
"MEFV",3.79642408590658,1,3.79642408590658
"NCOA3",3.68648568393114,1,3.68648568393114
"KLHL11",3.53516336846428,1,3.53516336846428
"RNF170",3.44599027134861,1,3.44599027134861
"NAALADL1",3.34744540705861,1,3.34744540705861
"DLST",3.33333510509909,1,3.33333510509909
"HELLS",3.32665717849957,1,3.32665717849957
"XPNPEP3",3.24740979727432,0.999999999999977,3.2474097972744
"ARFGEF2",3.20117642868098,1,3.20117642868098
"IRX6",3.12331836759337,0.999999999999988,3.12331836759341
"OPTC",3.06402765275648,1,3.06402765275648
"CRISPLD2",3.00888663455828,0.999999999999979,3.00888663455834
"DDI1",2.90251424235724,1,2.90251424235724
"AMOTL2",2.89847632080026,1,2.89847632080026
"FBF1",2.83235942697995,1,2.83235942697995
"CAPN10",2.81032809897908,0.999999999999975,2.81032809897915
"OBP2B",2.72123349840062,1,2.72123349840062
"TSSK2",2.70270062975874,1,2.70270062975874
"ISG20L2",2.67948164363906,1,2.67948164363906
"ZNF488",2.63306651164256,0.999999999999982,2.6330665116426
"NCAN",2.60025835276611,1,2.60025835276611
"ZC3H18",2.58416625584706,1,2.58416625584706
