"Gene","BF","LoF.BF","nonLoF.BF"
"VENTX",1374.24408010537,1,1374.24408010537
"PPL",133.283984255111,1,133.283984255111
"ACOT12",122.892092773995,1,122.892092773995
"SCN10A",86.3156556564354,1,86.3156556564354
"COMT",62.7534475238416,1,62.7534475238416
"CASC5",38.0794980756645,1,38.0794980756645
"BCDIN3D",37.9886660002992,1,37.9886660002992
"WARS",37.8936116867161,1,37.8936116867161
"TLR1",37.247304325929,1,37.247304325929
"DMGDH",30.0056193292245,1,30.0056193292245
"ANKRD11",29.0169401781897,1,29.0169401781897
"PTPRO",23.0634314535406,1,23.0634314535406
"ARFGEF2",22.8545872172253,1,22.8545872172253
"FTMT",22.7047919630251,1,22.7047919630251
"MEFV",22.3771089534627,1,22.3771089534627
"IRX6",21.4751922836134,1,21.4751922836134
"HDHD3",20.1838341032003,1,20.1838341032003
"KRTAP9-9",18.9809735686648,1,18.9809735686648
"ADH1A",18.177719056358,1,18.177719056358
"HSD17B6",15.6085246526953,1,15.6085246526953
"PRR16",15.3188389007429,1,15.3188389007429
"KLHL11",14.2513412336385,1,14.2513412336385
"RNF170",12.859487845517,1,12.859487845517
"HELLS",12.7883411914464,1,12.7883411914464
"NCOA3",11.7739890321437,1,11.7739890321437
"OPTC",10.7316255280694,1,10.7316255280694
"GOLGB1",9.37551053658412,1,9.37551053658412
"CAPN10",9.29543540983697,1,9.29543540983697
"NAALADL1",9.27444636806473,1,9.27444636806473
"WNT9B",9.21055844520511,1,9.21055844520511
"ZNF488",9.18025229509692,1,9.18025229509692
"ISG20L2",9.17191593447933,1,9.17191593447933
"EVI5",9.07339119497888,1,9.07339119497888
"ARHGAP32",8.71144736841043,1,8.71144736841043
"DLST",8.32225595966181,1,8.32225595966181
"DGCR2",8.31936258333071,1,8.31936258333071
"TANC1",8.01952234364784,1,8.01952234364784
"TOPORS",7.94758970966013,1,7.94758970966013
"TSSK2",7.87607266475544,1,7.87607266475544
"ITGAD",7.56871352511647,1,7.56871352511647
"FBF1",7.48648054294795,1,7.48648054294795
"MAN1B1",7.20079425141096,1,7.20079425141096
"AMOTL2",6.8995893151406,1,6.8995893151406
"OBP2B",6.6637650854476,1,6.6637650854476
"ZNF225",6.23718055729793,1,6.23718055729793
"LRRK1",5.95939553198992,1,5.95939553198992
"FZD3",5.90450712034249,1,5.90450712034249
"ZC3H18",5.76037539025818,1,5.76037539025818
"URB2",5.60446209690619,1,5.60446209690619
"ABCD3",5.58653671527363,1,5.58653671527363
"CRISPLD2",5.58231404234582,1,5.58231404234582
"SUPT6H",5.52220202797849,1,5.52220202797849
"MYH8",5.4288636757727,1,5.4288636757727
"C6orf47",5.17861387251282,1,5.17861387251282
"ESRP2",5.1744497395734,1,5.1744497395734
"FAM209A",4.87974343547418,1,4.87974343547418
"UTP20",4.81495053175081,1,4.81495053175081
"PALD1",4.7834461012333,1,4.7834461012333
"MARCH7",4.74287034463592,1,4.74287034463592
"CPNE1",4.686084971452,1,4.686084971452
"ZNF273",4.62326003565584,1,4.62326003565584
"DNAH17",4.57480344544856,1,4.57480344544856
"HK3",4.48716353415585,1,4.48716353415585
"ZNF14",4.46559756204543,1,4.46559756204543
"PAWR",4.33598995148194,1,4.33598995148194
"RIMS2",4.26421529418111,1,4.26421529418111
"FIGLA",4.20455921703259,1,4.20455921703259
"ZFP41",4.19895903503333,1,4.19895903503333
"ZNF229",4.16114816484824,1,4.16114816484824
