"Gene","BF","LoF.BF","nonLoF.BF"
"VENTX",405.25775067774,1,405.25775067774
"PPL",45.6934685734468,0.999999999999999,45.6934685734469
"SCN10A",31.6186909592616,0.999999999999999,31.6186909592616
"ACOT12",16.8080300488876,1,16.8080300488876
"TLR1",8.48465358165848,0.999999999999999,8.48465358165849
"CASC5",7.43549934428708,1,7.43549934428708
"WARS",6.73260183065734,1,6.73260183065734
"BCDIN3D",6.57973348369399,1,6.57973348369399
"ADH1A",6.40738299778583,1,6.40738299778583
"DMGDH",6.3889333751626,1,6.38893337516258
"COMT",5.76899952145069,1,5.76899952145069
"HSD17B6",5.58978270833205,1,5.58978270833205
"PRR16",5.57273130974392,1,5.57273130974392
"ANKRD11",4.99469803638619,1,4.99469803638619
"PTPRO",4.71026056795256,1,4.71026056795256
"IKBKB",4.57775178726357,1,4.57775178726357
"HDHD3",4.35125801258872,1,4.35125801258871
"FTMT",4.15488452406837,1,4.15488452406837
"NCOA3",3.56583630577874,1,3.56583630577874
"KRTAP9-9",3.34679060853007,1,3.34679060853007
"MEFV",3.30033649253612,1,3.30033649253612
"DLST",3.22281091012402,1,3.22281091012402
"CRISPLD2",3.21038876777166,0.999999999999998,3.21038876777167
"NAALADL1",3.18360411419443,1,3.18360411419443
"KLHL11",3.0753675311202,1,3.0753675311202
"RNF170",2.98477552831611,1,2.98477552831611
"HELLS",2.8825119611667,1,2.8825119611667
"AMOTL2",2.80999043764498,1,2.80999043764498
"FBF1",2.76572380472965,1,2.76572380472965
"OPTC",2.69803117560112,1,2.69803117560112
"IRX6",2.67815541620434,0.999999999999999,2.67815541620435
"OBP2B",2.64213088732866,1,2.64213088732866
"ARFGEF2",2.60244070565189,1,2.60244070565189
"ZC3H18",2.51975144542204,1,2.51975144542204
"CAPN10",2.46315407078109,0.999999999999998,2.4631540707811
"PALD1",2.42975375368396,1,2.42975375368396
"GOLGB1",2.42747753502032,1,2.42747753502032
"ZNF225",2.41710432932324,1,2.41710432932324
"MCPH1",2.4024277655213,1,2.4024277655213
"ISG20L2",2.3738419632133,1,2.3738419632133
"SSFA2",2.3551951917348,1,2.3551951917348
"TANC1",2.34371324682625,1,2.34371324682625
"ZNF488",2.32070515924235,0.999999999999999,2.32070515924235
"MARCH7",2.30389378459658,1,2.30389378459658
"DNAH17",2.29072252651112,0.999999999999997,2.29072252651112
"C6orf47",2.27968168120808,1,2.27968168120808
"ARHGAP32",2.2470801149637,1,2.2470801149637
"ITGAD",2.23414666555979,0.999999999999998,2.23414666555979
"DGCR2",2.16190826429504,1,2.16190826429504
"WNT9B",2.15700279360502,1,2.15700279360502
"EVI5",2.13521262665402,1,2.13521262665402
"TMPRSS12",2.13292205828633,1,2.13292205828633
"LRRK1",2.12304923825522,1,2.12304923825522
"IL17RD",2.06058774970766,1,2.06058774970766
"TOPORS",2.01672542556733,1,2.01672542556733
"ZFP41",2.01405041471705,1,2.01405041471705
"CCDC66",1.95756757545554,0.999999999999999,1.95756757545554
"UTP20",1.95411870067855,0.999999999999998,1.95411870067855
"FIGLA",1.94133643892611,1,1.94133643892611
"GPR98",1.91826393577799,1,1.91826393577799
"RGL3",1.91160444171753,0.999999999999999,1.91160444171753
"MOCS2",1.90788137739573,1,1.90788137739573
"IL17RC",1.905465081688,0.999999999999998,1.90546508168801
"SCAPER",1.89645471388877,1,1.89645471388877
"MYH1",1.89432755615991,1.00000000000001,1.8943275561599
"ECSIT",1.89136579215966,1,1.89136579215966
"TRIP12",1.88244390002002,1,1.88244390002002
"ZNF14",1.87979378488736,1,1.87979378488736
"PIGU",1.87605820595123,1,1.87605820595123
"CNTN4",1.87430218827432,1,1.87430218827432
"XPNPEP3",1.85293613188036,0.999999999999998,1.85293613188036
"ZC3H13",1.84113665447145,1,1.84113665447145
"KRT3",1.80125506431888,1,1.80125506431888
"ESYT1",1.79369131699022,1.00000000000001,1.79369131699021
"URB2",1.78854774336571,0.999999999999999,1.78854774336571
"FZD3",1.78114169652297,1,1.78114169652297
"SLC22A25",1.77281691550127,1,1.77281691550127
"CUL9",1.75100543474751,1,1.75100543474751
"DDI1",1.73006475496589,1,1.73006475496589
"CHRNB3",1.71229922704548,1,1.71229922704548
"ABCD3",1.69586629640551,1,1.69586629640551
"SHKBP1",1.68754867940257,1,1.68754867940257
"MAN1B1",1.67448799220953,1,1.67448799220953
"NCAN",1.65243654177382,1,1.65243654177382
"TSSK2",1.64822537742477,1,1.64822537742477
"NPTN",1.64234821504961,1,1.64234821504961
"COA3",1.641394779347,1,1.641394779347
"HSP90AB1",1.6336501106063,1,1.6336501106063
"TRAIP",1.62966586459231,1,1.62966586459231
"SUPT6H",1.62621017144345,1,1.62621017144345
"FAM209A",1.6190550119385,1,1.6190550119385
