"Gene","BF"
"TTN",59.8030318960165
"TOE1",42.5358770623215
"AHNAK",27.594341584482
"NLRX1",17.2244118429871
"ITIH1",13.0643455372528
"BCKDHB",10.8239111989889
"HIST1H1T",9.56928827680554
"ILDR1",9.48011500348144
"SULF1",9.12530993084524
"OR13G1",8.83227661613562
"EPPK1",8.03060769204087
"IRS1",7.60746096050069
"TNC",7.38558712423042
"CYFIP1",7.25842474734316
"RAB25",7.22017120625641
"AOX1",6.99580891152093
"SLC6A11",6.80012081968903
"C9orf156",6.61957165600022
"SPDYE1",6.51346429776423
"OR2AG1",6.38111769276344
"ARSG",5.95632156830786
"EPHA8",5.89870296427646
"ZNF587",5.50740204914363
"HNRNPLL",5.26066726327792
"MICAL3",5.24738060062842
"IGSF22",5.1966194363247
"COX15",5.1956298891981
"KLHL8",4.94007791726222
"LPHN2",4.92902979538836
"POFUT2",4.82992209624094
"DDX55",4.79121850149903
"OR6A2",4.74790102643542
"ZFHX3",4.66231731060272
"CHID1",4.65533312562225
"PI4K2A",4.51537815738257
"TEX15",4.354117167787
"C4orf36",4.30942265100517
"ADCY10",4.26478550862909
"FAM45A",4.2311015188785
"CHURC1",4.10396050325118
"SLFN11",3.87061526027845
"OR56B1",3.85705888102473
"ZNF430",3.84429153985442
"ABCA2",3.82152138671578
"VDAC1",3.82114823073521
"IVNS1ABP",3.72904940829018
"EP400",3.66647402855943
"MYH7B",3.57908611048405
"SLC2A8",3.49426827163999
"HSPA9",3.41190222251786
"SRCAP",3.39890790618804
"VPS13C",3.38894103463815
"SVEP1",3.35245148701664
"PRUNE2",3.33304319656083
"MCPH1",3.32820612847029
"POTEA",3.32072948899197
"ANKMY1",3.28215723603561
"OR10H5",3.25447275832161
"ABCA1",3.25200310476109
"IQUB",3.24874484357889
"LMCD1",3.16948064087616
"NFKBIZ",3.11482023543358
"POLE",3.1090445882687
"MMP1",3.1006363172653
"SLC26A4",3.09643181407654
"CYP1A1",3.0688247570557
"FBN1",3.06743249883491
"CACNA1D",3.06699615064325
"NAV2",2.99105424594213
"TCF20",2.96681281646544
"USH2A",2.95653916432537
"TMEM52B",2.88386790495965
"CTH",2.87542964221285
"DPEP3",2.87122075113306
"UBR4",2.86067181604191
"LARP1B",2.85513575250841
"MACF1",2.83837079493817
"TADA1",2.83372700549787
"PPHLN1",2.8214012639006
"DST",2.8090625721447
"MUC17",2.80435188103804
"LARP1",2.80049657319906
"OR1S2",2.78951696120162
"KDM5B",2.78591981363721
"NIT2",2.78533391243185
"NLRC4",2.78435519745293
"MYH8",2.78236940622479
"COL7A1",2.76055359797963
"SLC5A9",2.72310217313519
"SRSF4",2.69180924451535
"ACSM1",2.67744197682065
"METTL21A",2.6720122208964
"FAM173B",2.66750934113722
"BBS9",2.66434134408283
"DOCK4",2.64822593920147
"ACSM4",2.63869761432203
"TOR1B",2.62955543571453
"GNA14",2.62238349052779
"GPR98",2.61504113450803
"ANGPTL5",2.61320439111954
"ADAMTSL3",2.59251579992252
"HEXA",2.58487904168874
"QSOX2",2.56899536648649
"NBEAL1",2.56357260185046
"KBTBD4",2.52623566067096
"DYNC1H1",2.5255240507212
"ARPC1A",2.5222733454705
"CECR1",2.51263563457575
"C21orf59",2.4961287965075
"QARS",2.49503282984272
"CYP2B6",2.48876345922585
"HIPK2",2.48832038094663
"PEX7",2.48001576681284
"CSNK1A1L",2.4759328552642
"RGS22",2.46037723609366
"MAML3",2.45677936797282
"URB2",2.432635248741
"NRAP",2.42819810116209
"RBFA",2.4059178493969
"IKBKB",2.39987095087088
"SALL4",2.37874010599533
"TGS1",2.36236714304601
"CORO2A",2.35495234030181
"PKD2L2",2.3536036043966
"TM9SF4",2.34834410370383
"NWD1",2.34514502362649
"ABCB5",2.32366437972479
"MTNR1B",2.31868838959716
"SNAPC4",2.28603991695922
"NFATC3",2.27880061791948
"ACAN",2.27780404801556
"ZNF347",2.25819744065898
"CASP3",2.25653115479492
"PCNX",2.2539092671753
"CNTRL",2.2528428497402
"MGAM",2.23331737620562
"HLCS",2.21948296312746
"CYP3A4",2.21793517322063
"BTG4",2.21532870425296
"LNPEP",2.20135004409536
"GPBP1L1",2.18618179999474
"SDHB",2.18051911863471
"EPRS",2.1792601140678
"SND1",2.17404584117357
"HBB",2.17179535640331
"WDR59",2.16834503473648
"EIF2AK1",2.16686623189154
"INPP5F",2.16111436413549
"MAS1",2.15954572018273
"CPM",2.15132596206938
"TSPAN16",2.15007584692376
"NEK4",2.14989105468654
"CHFR",2.14740736351149
"GIGYF2",2.14260158740249
"IQCG",2.1409723867894
"SLC24A3",2.13697723361496
"SLC35D1",2.13641117573349
"NME8",2.13208813663449
"ZSCAN5B",2.12941445583616
"OR52I1",2.12827506083341
"MITF",2.12703793833451
"GBP1",2.12503081338818
"SLTM",2.12016568641414
"WDR60",2.11595300564003
"ASPSCR1",2.11550513819223
"CCP110",2.11350093069731
"CHML",2.09878038556422
"TMEM186",2.09338756195549
"USP4",2.09247860132735
"CPXM2",2.09097469957613
"CES2",2.08477832595444
"ATP6V0A2",2.0814675676099
"TMEM98",2.07687530764931
"C1S",2.07093624841369
"C2CD3",2.06007669698425
"CEP89",2.05252596750846
"FAM65B",2.05023029589272
"CSMD1",2.03401316922031
"MAPKBP1",2.03179393773645
"SCARA5",2.02820103941225
"OR4A47",2.0264530828483
"KIN",2.02355925084384
"SDAD1",2.02303410952434
"ECE2",2.02296744165051
"EVI2B",2.02127848347213
"AASDH",2.02030416949584
"SIDT2",2.01976223890029
"GOLGA2",2.01473637139191
"XYLT1",2.00985719649715
"FANCE",2.00776926461922
"KALRN",2.00692630166151
"FBN2",2.00107037959052
"MYO16",2.00001653614075
"USP31",1.99840842201816
"SEPT4",1.9968897616384
"BRWD1",1.99374874640765
"OMA1",1.9904543163792
"ALG10",1.98678290569313
"PM20D1",1.98525448275736
"PCK1",1.98401503720749
"FUK",1.98299361694919
"QSOX1",1.98161321540355
"CHD8",1.98017780653489
"FAM189A2",1.97879808089392
"AIMP1",1.9779216250173
"TSC2",1.97768275323439
"KRTAP12-2",1.97069326390104
"CGN",1.96770368394704
"OR1L1",1.96466484883304
"OR4K17",1.96304449244999
"FLII",1.96181856417807
"GOLGA7B",1.95802134675236
"HLTF",1.95392921119524
"SH3PXD2B",1.95366123185774
"PRKG1",1.95345746754209
"RIMKLA",1.94287231390694
"CERS6",1.93916154415134
"PDE5A",1.93891371136076
"LIMK2",1.93763706389446
"SLC22A14",1.93477359225501
"ZNF543",1.92910669910799
"GNL2",1.92122905732662
"FAM126A",1.91760671702094
"GANC",1.91714139746076
"PCDH15",1.91649233530595
"VPS13D",1.9147891475927
"SCCPDH",1.91403264497068
"PLB1",1.91398019684467
"ALG9",1.91182643206478
"AKNA",1.91041603226868
"FUT10",1.90960097554489
"SOX14",1.90324723249031
"KRT222",1.90215431604889
