"","Gene","BF","post.prob"
"1","CHD5",1.06584600019706,0.158640563203415
"2","RERE",0.878332215446422,0.134484404132925
"3","UBE4B",0.228212844337319,0.0388051814011884
"4","KIF1B",0.859402773457918,0.131968544620921
"5","MTOR",0.394203102164067,0.0651900868860437
"6","MFN2",0.184035922001021,0.031530212050854
"7","VPS13D",1.15941132845057,0.170196626839816
"8","PRDM2",0.513095373957666,0.0832153853409654
"9","SPEN",0.358695638987301,0.0596685224854931
"10","ZBTB17",5.91418396391384,0.511299763379798
"11","UBR4",2.31654096219659,0.290682492944725
"12","EIF4G3",0.316992589147918,0.0530996431444973
"13","ECE1",3.05770442757624,0.351037397307741
"14","USP48",1.2754768508376,0.1840979035568
"15","EPHB2",0.276774661020731,0.0466771717336625
"16","GRHL3",1.68529690053662,0.229664775934361
"17","ARID1A",0.313925523607213,0.0526129076549494
"18","EYA3",1.527305101984,0.212714181164639
"19","TXLNA",0.286895132649171,0.0483015169531372
"20","ZMYM4",0.921210438292867,0.140129650005781
"21","NCDN",1.13070508973016,0.166685076808809
"22","AGO1",1.65871224940547,0.226863828699484
"23","AGO3",0.114624905885302,0.0198746202982438
"24","GRIK3",2.72099699726725,0.324942765085265
"25","SF3A3",0.295070766974966,0.0496096775208373
"26","MACF1",0.804249203387094,0.124554134555076
"27","PTPRF",0.973101449842218,0.146863783207105
"28","KDM4A",0.0300913367460902,0.00529509739083596
"29","FAF1",0.298945618845377,0.0502284264926785
"30","OSBPL9",0.233250273871339,0.039627799382673
"31","PRPF38A",1.08881461007912,0.161507076077324
"32","ZCCHC11",0.356329978727121,0.0592983335149581
"33","ZYG11B",0.262863839435539,0.0444354018111756
"34","USP24",2.88004588520802,0.33752560136127
"35","NFIA",0.993991212128768,0.149545058453245
"36","LEPR",0.306018239260797,0.0513557306743236
"37","SGIP1",0.995449134183779,0.149731558904874
"38","SERBP1",0.885343019839011,0.135412493755254
"39","LRRC7",2.47689342638926,0.304673321136334
"40","SRSF11",1.06582976799457,0.158638530472677
"41","ZZZ3",1.00820638569202,0.151360010610234
"42","USP33",0.259552127070543,0.0439001549587213
"43","FUBP1",0.0996304090325753,0.0173197788076175
