"","Gene","BF","post.prob"
"1","CHD5",1.09814852856349,0.974867602223128
"2","RERE",1.02145109440293,0.973031385109787
"3","KIF1B",1.03882926907044,0.973470563988932
"4","MTOR",1.00052569259987,0.972482873071404
"5","SPEN",0.813692610361602,0.966377065567608
"6","ZBTB17",1.54582223368772,0.98201510162857
"7","UBR4",1.47328157893119,0.981146266331573
"8","ZMYM4",0.945707961604232,0.970934210149377
"9","NCDN",1.14910085421582,0.975955203409852
"10","MACF1",0.879495064000836,0.968814229847027
"11","SERBP1",0.97943585108224,0.971907002192219
"12","LRRC7",1.20517766288693,0.977048327258128
"13","AHCYL1",1.01143176549907,0.972771505906444
"14","NOTCH2",0.894809664182351,0.969331602945362
"15","SETDB1",1.04231991055703,0.973557059514108
"16","POGZ",1.02976403467956,0.973243268537922
"17","INTS3",0.875914234800054,0.968690730790464
"18","DENND4B",0.833832910275063,0.96716252177083
"19","UBAP2L",0.864118092919056,0.968276884197796
"20","ASH1L",0.937240804770416,0.970679325122017
"21","ARHGEF2",1.15131071761511,0.976000248132477
"22","CACNA1E",0.949759567339193,0.971054613697556
"23","TPR",0.95849436306279,0.971310826466026
"24","CDC73",0.808561575078841,0.966170916451861
"25","KIF21B",0.783853689996681,0.965141758805943
"26","NAV1",1.05290633110571,0.973815967856601
"27","RYR2",0.828784507583771,0.966969104717983
"28","MYT1L",0.998061948446122,0.972416819902484
"29","ROCK2",1.13684506546333,0.975702286180475
"30","ATAD2B",1.23193974835026,0.977535718210886
"31","CAD",0.9210846670509,0.970180366607976
"32","BIRC6",0.760966128443613,0.964130934474484
"33","NRXN1",1.22701649394925,0.97744761577686
"34","USP34",0.963210571869674,0.971447287626994
"35","SNRNP200",1.31267408252543,0.978888186162521
"36","WDR33",0.986008310463807,0.972089035753424
"37","ZEB2",1.0154567433419,0.972876504481158
"38","SCN3A",1.03638934186919,0.973409767619145
"39","SCN2A",1.02718356851534,0.973177853833611
"40","TLK1",0.790817473197216,0.96543810468472
"41","NCKAP1",1.02209888951542,0.973048016848903
"42","STAT1",1.18356636140008,0.976639031985492
"43","SATB2",1.00336840237541,0.972558694333701
"44","SPEG",1.7930618120682,0.98445643576418
"45","TRIP12",0.862271636904783,0.968211112240685
"46","KIF1A",1.1448014997359,0.975867081309455
"47","HDLBP",1.21470684672724,0.977224278694824
"48","ITPR1",1.30830899905206,0.978819239972892
"49","ATP2B2",1.03197572348031,0.973299081350864
"50","SLC6A1",0.98121679820937,0.971956562157472
"51","CLASP2",1.35129024349999,0.979479123167234
"52","SCN5A",1.06190371452432,0.974032060939687
"53","CTNNB1",0.994226322919988,0.972313352980853
"54","SMARCC1",1.19420261241649,0.976842279781365
"55","DHX30",1.19224981780817,0.976805229365993
"56","CELSR3",0.856878433801829,0.96801743166196
"57","QRICH1",0.834006652218755,0.967169137951998
"58","SEMA3F",0.975797961958042,0.971805221156691
"59","DOCK3",0.972199422738141,0.971703812861729
"60","RBM15B",1,0.972468805775275
"61","CACNA1D",0.895018829167101,0.969338550362464
"62","KALRN",1.28673767596319,0.978471802529394
"63","PLXNA1",0.773969557637822,0.964712303511364
"64","PLXND1",0.9996334166432,0.97245898765557
"65","STAG1",1.01595989359891,0.972889573119573
"66","MED12L",1.61010057214279,0.982720687253581
"67","TNIK",0.748996873031316,0.963578609929998
"68","PIK3CA",1.00111404799913,0.972498600157333
"69","DVL3",1.55680435172843,0.982139706014034
"70","EIF4A2",0.79852028649803,0.965760085666613
"71","HTT",1.01113798439681,0.97276381027149
"72","DHX15",1.00331532560378,0.972557282488719
"73","FRYL",1.20139771045101,0.976977777007159
"74","ANKRD17",1.01951326876417,0.972981509864561
"75","WDFY3",0.971554715270499,0.971685567641577
"76","RAPGEF2",0.990847221998551,0.972221555645195
"77","ADCY2",0.656724762051297,0.95867276325747
"78","MARCH6",0.852254635159774,0.967849492993829
"79","TRIO",1.13911552929174,0.975749541486862
"80","RICTOR",1.23490713431253,0.977588488364123
"81","IL6ST",0.788105733321634,0.965323306800784
"82","KIF2A",1.1912045876204,0.97678534943803
"83","HMGCR",1.09822241689082,0.974869250635357
"84","AFF4",0.991667457031315,0.972243894216722
"85","DDX46",0.498999055123585,0.946311208092281
"86","CAMK2A",1.13660507438458,0.975697280466686
"87","GRIA1",1.18001505380609,0.976570373357315
"88","HNRNPH1",1.1908127113038,0.976777887295748
"89","SYNGAP1",1.03478587113852,0.973369661514267
"90","SCUBE3",0.63255129473635,0.957161066811868
"91","TMEM63B",0.817812758297274,0.966540790465829
"92","KCNQ5",1.0112239864952,0.972766063558159
"93","PHIP",1.01815287888604,0.9729463861545
"94","DOPEY1",1.62375886085488,0.982863541924682
"95","HIVEP2",0.844625781953418,0.967568520063746
"96","CARD11",0.877272117852078,0.968737677716772
"97","HECW1",0.666909026596631,0.95927816547006
"98","ADCY1",1.26304761959853,0.978076866255236
"99","BAZ1B",1.22739212472438,0.977454362094495
"100","GTF2I",1.18976195110769,0.976757854932907
"101","TRRAP",1.12743893869466,0.975504537996383
"102","CUX1",1.71466819518882,0.983757335918873
"103","DOCK4",0.819830650589794,0.966620396403451
"104","FLNC",1.2291141977325,0.977485238878505
"105","MKLN1",0.809397995011723,0.966204693494743
"106","PLXNA4",0.959934621456265,0.971352637770828
"107","CUL1",1.12946418707249,0.975547386911742
"108","ZNF777",1.04548668384121,0.973635043317227
"109","KCNH2",1.00946125523767,0.972719804729792
"110","WHSC1L1",0.682942458403304,0.960196137957446
"111","CHD7",1.31134125090369,0.978867181830202
"112","ARFGEF1",1.1881757921447,0.976727549837537
"113","PABPC1",1.18237865454425,0.976616114476874
"114","UBR5",1.05505468587016,0.973867891792077
"115","BAI1",1.03947213914329,0.973486536320687
