"","Burden.OR","Burden.pvalue","MIRAGE.risk.prop","MIRAGE.pvalue","cate.index","No.var.case","No.var.control","combine.feature"
"1",1.02347417840376,0.0147921193607362,0.0333993001665935,8.73751683918829e-07,"Damaging; AF<0.1%",17876,17466,"MAF<1e-3_Haploinsuff_MAF<1e-4_cate_5"
"2",1.02347417840376,0.0147921193607362,0.0334000171165301,8.7375172560623e-07,"Damaging; AF<0.1%",17876,17466,"MAF<1e-2_Haploinsuff_MAF<1e-4_cate_5"
"3",1.02347417840376,0.0147921193607362,0.0334003898240167,8.73751751046849e-07,"Damaging; AF<0.1%",17876,17466,"MAF<1e-4_Haploinsuff_MAF<1e-2_cate_5"
"4",1.02347417840376,0.0147921193607362,0.0334004806567065,8.73751757639752e-07,"Damaging; AF<0.1%",17876,17466,"MAF<1e-4_Haploinsuff_MAF<1e-3_cate_5"
"5",1.02347417840376,0.0147921193607362,0.0334005056137719,8.73751759474186e-07,"Damaging; AF<0.1%",17876,17466,"MAF<1e-4_Haploinsuff_MAF<1e-4_cate_5"
"6",1.02347417840376,0.0147921193607362,0.0336564460040158,8.74378923694891e-07,"Damaging; AF<0.1%",17876,17466,"Consensus_Haploinsuff_MAF<1e-4_cate_5"
"7",1.02347417840376,0.0147921193607362,0.0337886318701242,8.751796587313e-07,"Damaging; AF<0.1%",17876,17466,"Prby Damaging_Haploinsuff_MAF<1e-4_cate_5"
"8",1.65137614678899,1.75934708689946e-05,0.394083612778597,1.11523279346205e-06,"LoF; AF<1%",180,109,"ExonTop60%_FMRP_MAF<1e-4_cate_2"
"9",1.01476737415974,0.0770937795325374,0.0253882088311005,1.15077492461799e-06,"Damaging; AF<0.1%",19172,18893,"MAF<1e-2_SCZ gene_MAF<1e-2_cate_5"
"10",1.01476737415974,0.0770937795325374,0.0253891440307703,1.15077493241474e-06,"Damaging; AF<0.1%",19172,18893,"MAF<1e-3_SCZ gene_MAF<1e-2_cate_5"
"11",1.01476737415974,0.0770937795325374,0.0253893156317065,1.15077493700489e-06,"Damaging; AF<0.1%",19172,18893,"MAF<1e-3_SCZ gene_MAF<1e-3_cate_5"
"12",1.01476737415974,0.0770937795325374,0.0253895182356935,1.15077494368208e-06,"Damaging; AF<0.1%",19172,18893,"MAF<1e-2_SCZ gene_MAF<1e-3_cate_5"
"13",1.01476737415974,0.0770937795325374,0.0254404563659275,1.15081993141479e-06,"Damaging; AF<0.1%",19172,18893,"Consensus_SCZ gene_MAF<1e-2_cate_5"
"14",1.01476737415974,0.0770937795325374,0.0254412373020033,1.15082129241635e-06,"Damaging; AF<0.1%",19172,18893,"Consensus_SCZ gene_MAF<1e-3_cate_5"
"15",1.01476737415974,0.0770937795325374,0.0256871207312452,1.15225695282263e-06,"Damaging; AF<0.1%",19172,18893,"Prby Damaging_SCZ gene_MAF<1e-2_cate_5"
"16",1.01476737415974,0.0770937795325374,0.0250874645281541,1.15228496262819e-06,"Damaging; AF<0.1%",19172,18893,"Prby Damaging_SCZ gene_MAF<1e-3_cate_5"
"17",1.59375,1.79073888203579e-05,0.366847735439254,1.62548917176185e-06,"LoF; AF<1%",204,128,"ExonTop50%_FMRP_MAF<1e-4_cate_2"
"18",1.58620689655172,5.14759705747676e-05,0.36535795521194,4.53563829751852e-06,"LoF; AF<1%",184,116,"ExonTop60%_FMRP_MAF<1e-3_cate_2"
"19",1.57264957264957,6.71009062841027e-05,0.359498175388025,6.14483207643183e-06,"LoF; AF<1%",184,117,"ExonTop60%_FMRP_MAF<1e-2_cate_2"
"20",1.5,8.72077478567483e-05,0.333340572934271,9.02776487493811e-06,"LoF; AF<1%",216,144,"ExonTop50%_FMRP_MAF<1e-3_cate_2"
"21",1.53982300884956,0.000189890294949165,0.358463748245706,1.1361388334268e-05,"LoF; AF<1%",174,113,"CriticalExon_FMRP_MAF<1e-4_cate_2"
"22",1.48965517241379,0.000109921209434479,0.328249341542456,1.18739840305467e-05,"LoF; AF<1%",216,145,"ExonTop50%_FMRP_MAF<1e-2_cate_2"
"23",1.49677419354839,5.33023920347171e-05,0.31188469730415,1.25638058047897e-05,"LoF; AF<1%",232,155,"ExonTop70%_Haploinsuff_Private_cate_2"
"24",1.60869565217391,0.000182055253591601,0.380872623343671,2.01610027985697e-05,"LoF; AF<1%",148,92,"ExonTop70%_FMRP_MAF<1e-4_cate_2"
"25",1.79452054794521,2.96165236386062e-05,0.41825960539774,2.11089728332224e-05,"LoF; AF<1%",131,73,"ExonTop50%_FMRP_Private_cate_2"
"26",1.49579831932773,0.000368557605243026,0.336341670740642,3.00871057048683e-05,"LoF; AF<1%",178,119,"CriticalExon_FMRP_MAF<1e-3_cate_2"
"27",1.66666666666667,0.000249713243208876,0.405515018341613,3.24565438979416e-05,"LoF; AF<1%",125,75,"ExonTop80%_FMRP_MAF<1e-2_cate_2"
"28",1.66666666666667,0.000249713243208876,0.405515018341614,3.24565438979423e-05,"LoF; AF<1%",125,75,"ExonTop80%_FMRP_MAF<1e-3_cate_2"
"29",1.46875,9.43891998566568e-05,0.292953539506411,3.25011045384085e-05,"LoF; AF<1%",235,160,"CriticalExon_Haploinsuff_Private_cate_2"
"30",1.66216216216216,0.000295544818381923,0.406164391938191,3.33839091485955e-05,"LoF; AF<1%",123,74,"ExonTop80%_FMRP_MAF<1e-4_cate_2"
"31",1.390625,0.000269143109224893,0.271607274157806,3.42025128432946e-05,"LoF; AF<1%",267,192,"MAF<1e-4_FMRP_MAF<1e-4_cate_2"
"32",1.390625,0.000269143109224893,0.271607274157807,3.42025128432961e-05,"LoF; AF<1%",267,192,"MAF<1e-2_FMRP_MAF<1e-4_cate_2"
"33",1.390625,0.000269143109224893,0.271607274157807,3.42025128432961e-05,"LoF; AF<1%",267,192,"MAF<1e-3_FMRP_MAF<1e-4_cate_2"
