"","Burden.OR","Burden.pvalue","MIRAGE.risk.prop","MIRAGE.pvalue","cate.index","No.var.case","No.var.control","combine.feature"
"1",1.0062015503876,0.429932825766488,4.56447946713073e-06,1,"Missense; AF>0.1%",1947,1935,"Damaging_ID gene_le-3<MAF<1e-2"
"2",0.962790697674419,0.789068499415053,0.0118940285407507,0.276495925192941,"Missense; AF<0.1%",828,860,"Damaging_ID gene_1e-4<MAF<1e-3"
"3",1.04698581560284,0.139589295092063,0.0737130493307811,0.00584455876686139,"Missense; AF<0.1%",1181,1128,"Damaging_ID gene_MAF<1e-4"
"4",0.937072503419973,0.894176977111387,6.13901486577593e-06,1,"Missense; AF>0.1%",685,731,"Damaging_High_le-3<MAF<1e-2"
"5",0.969879518072289,0.666434639537266,3.78707576638259e-05,1,"Missense; AF<0.1%",322,332,"Damaging_High_1e-4<MAF<1e-3"
"6",1.0411214953271,0.262564245073774,0.0350737483141607,0.389886119258943,"Missense; AF<0.1%",557,535,"Damaging_High_MAF<1e-4"
"7",0.955449482895784,0.946486405831424,1.44418529422837e-05,1,"Missense; AF>0.1%",2402,2514,"Damaging_Mod_le-3<MAF<1e-2"
"8",1.05732484076433,0.0961295790446833,9.33789212872203e-05,1,"Missense; AF<0.1%",1162,1099,"Damaging_Mod_1e-4<MAF<1e-3"
"9",0.992,0.597183237733376,0.0121006484195663,0.6147394409805,"Missense; AF<0.1%",1612,1625,"Damaging_Mod_MAF<1e-4"
"10",0.979196352237105,0.812719464748967,6.30394965842465e-06,1,"Missense; AF>0.1%",3436,3509,"Damaging_PSD_le-3<MAF<1e-2"
"11",0.979652902453621,0.728580323236931,0.0293503126553733,0.0180642985405231,"Missense; AF<0.1%",1637,1671,"Damaging_PSD_1e-4<MAF<1e-3"
"12",1.00919842312746,0.364955868000586,0.0311241473999121,0.0724396258060913,"Missense; AF<0.1%",3072,3044,"Damaging_PSD_MAF<1e-4"
"13",0.975205306380291,0.921144026232809,1.02092254087445e-05,1,"Missense; AF>0.1%",6175,6332,"Damaging_FMRP_le-3<MAF<1e-2"
"14",0.989745092294169,0.668889561154313,0.00228136586623438,0.900979154942079,"Missense; AF<0.1%",3378,3413,"Damaging_FMRP_1e-4<MAF<1e-3"
"15",1.01015228426396,0.294148859795655,0.0270445668789824,0.0245090902160884,"Missense; AF<0.1%",5970,5910,"Damaging_FMRP_MAF<1e-4"
"16",1.00914340712223,0.390286945953285,0.00505190473281546,0.65216859045386,"Missense; AF>0.1%",2097,2078,"Damaging_AutismKB_le-3<MAF<1e-2"
"17",1.03128491620112,0.263294869434364,0.00387743980175897,0.809550424799589,"Missense; AF<0.1%",923,895,"Damaging_AutismKB_1e-4<MAF<1e-3"
"18",1.07806080525883,0.0307875121599579,0.0568184240357158,0.0346810123876744,"Missense; AF<0.1%",1312,1217,"Damaging_AutismKB_MAF<1e-4"
"19",0.942486608401466,0.993241564055713,2.97424331531088e-06,1,"Missense; AF>0.1%",3343,3547,"Damaging_constraint gene_le-3<MAF<1e-2"
"20",0.970605878824235,0.808496148579963,0.00117328639960805,1,"Missense; AF<0.1%",1618,1667,"Damaging_constraint gene_1e-4<MAF<1e-3"
"21",1.02314571278275,0.16060552247101,0.0451172817206051,0.00240201019695281,"Missense; AF<0.1%",3890,3802,"Damaging_constraint gene_MAF<1e-4"
"22",0.98387627509049,0.864436667547113,0.00185332997826634,0.444125262518182,"Missense; AF>0.1%",8970,9117,"Damaging_RVIS_le-3<MAF<1e-2"
"23",0.985167104769057,0.781720732891691,0.00659436547266001,0.361981002261969,"Missense; AF<0.1%",5247,5326,"Damaging_RVIS_1e-4<MAF<1e-3"
"24",1.02182929491377,0.0718519067175358,0.0350802244810277,0.000242063571566209,"Missense; AF<0.1%",9362,9162,"Damaging_RVIS_MAF<1e-4"
"25",0.995449417074088,0.701818813297461,0.000138534326999344,1,"Missense; AF>0.1%",26469,26590,"Damaging_Haploinsuff_le-3<MAF<1e-2"
"26",0.990208820726107,0.774034495979834,0.000319119053757887,1,"Missense; AF<0.1%",11428,11541,"Damaging_Haploinsuff_1e-4<MAF<1e-3"
"27",1.02347417840376,0.0147921193607362,0.0337839409229424,8.75145674928724e-07,"Missense; AF<0.1%",17876,17466,"Damaging_Haploinsuff_MAF<1e-4"
"28",0.989795918367347,0.823349968537879,0.000722610771661257,0.689297121566017,"Missense; AF>0.1%",16102,16268,"Damaging_SCZ gene_le-3<MAF<1e-2"
"29",1.00875273522976,0.301592669357979,0.0194652083355248,0.00149741561546251,"Missense; AF<0.1%",7376,7312,"Damaging_SCZ gene_1e-4<MAF<1e-3"
"30",1.01856489076936,0.0808083905999033,0.0324720318111135,0.000121916761904257,"Missense; AF<0.1%",11796,11581,"Damaging_SCZ gene_MAF<1e-4"
"31",1.06229508196721,0.23648326824178,6.04077109007167e-06,1,"Missense; AF>0.1%",324,305,"CADDtop10%_ID gene_le-3<MAF<1e-2"
"32",1.04424778761062,0.337734007720786,0.0547752560029178,0.049835063217548,"Missense; AF<0.1%",236,226,"CADDtop10%_ID gene_1e-4<MAF<1e-3"
"33",1.11111111111111,0.100613392421091,0.109464962331905,0.0405001243043698,"Missense; AF<0.1%",330,297,"CADDtop10%_ID gene_MAF<1e-4"
"34",1,0.535470156684101,7.82576725946146e-06,1,"Missense; AF>0.1%",63,63,"CADDtop10%_High_le-3<MAF<1e-2"
"35",0.921052631578947,0.718739528847575,3.6783428891344e-05,1,"Missense; AF<0.1%",70,76,"CADDtop10%_High_1e-4<MAF<1e-3"
"36",1.0738255033557,0.284754207975947,0.0514189185964024,0.526127005670171,"Missense; AF<0.1%",160,149,"CADDtop10%_High_MAF<1e-4"
"37",0.974402730375427,0.680950509828586,4.35202966607129e-06,1,"Missense; AF>0.1%",571,586,"CADDtop10%_Mod_le-3<MAF<1e-2"
"38",1.09937888198758,0.207300304331063,0.0357531469562831,0.629506175198123,"Missense; AF<0.1%",177,161,"CADDtop10%_Mod_1e-4<MAF<1e-3"
"39",0.959798994974874,0.728623954996057,0.00293376001856364,1,"Missense; AF<0.1%",382,398,"CADDtop10%_Mod_MAF<1e-4"
"40",1.01454545454545,0.393653471776401,3.32078790214039e-06,1,"Missense; AF>0.1%",837,825,"CADDtop10%_PSD_le-3<MAF<1e-2"
"41",1.13146551724138,0.0281753342372656,0.0646145602773226,0.0245061148193618,"Missense; AF<0.1%",525,464,"CADDtop10%_PSD_1e-4<MAF<1e-3"
"42",1.06626506024096,0.0759463668632152,0.0728968928625911,0.0135743801993997,"Missense; AF<0.1%",1062,996,"CADDtop10%_PSD_MAF<1e-4"
"43",0.963181148748159,0.83835839848856,5.76377354098702e-06,1,"Missense; AF>0.1%",1308,1358,"CADDtop10%_FMRP_le-3<MAF<1e-2"
"44",1.05,0.167765540088583,0.0408122522341696,0.0924811456505717,"Missense; AF<0.1%",840,800,"CADDtop10%_FMRP_1e-4<MAF<1e-3"
"45",1.04103535353535,0.130169617374402,0.0453402787943607,0.0523622184561139,"Missense; AF<0.1%",1649,1584,"CADDtop10%_FMRP_MAF<1e-4"
"46",1.07407407407407,0.239280985753646,6.54037315899561e-06,1,"Missense; AF>0.1%",232,216,"CADDtop10%_AutismKB_le-3<MAF<1e-2"
"47",1.14615384615385,0.140587774720803,0.0468844003050019,0.561005135127346,"Missense; AF<0.1%",149,130,"CADDtop10%_AutismKB_1e-4<MAF<1e-3"
"48",1,0.518237654171577,0.00263319645072369,1,"Missense; AF<0.1%",239,239,"CADDtop10%_AutismKB_MAF<1e-4"
"49",1,0.510645086144757,1.84063182856685e-05,1,"Missense; AF>0.1%",702,702,"CADDtop10%_constraint gene_le-3<MAF<1e-2"
"50",0.981176470588235,0.621769971554981,0.000144736879634431,1,"Missense; AF<0.1%",417,425,"CADDtop10%_constraint gene_1e-4<MAF<1e-3"
"51",1.03135888501742,0.234298524269796,0.0405839088742056,0.132238116005452,"Missense; AF<0.1%",1184,1148,"CADDtop10%_constraint gene_MAF<1e-4"
