"","Gene","ACAT_pvalue"
"1","HLA-DRB1",0.999999999999966
"2","SSC5D",0.976412478062775
"3","GSTM1",0.590750862999641
"4","TXNDC2",0.911299656226927
"5","PRAM1",0.999999999979977
"6","ENPP7",0.000124597400688703
"7","PTEN",0.0375193466804017
"8","SUPT5H",0.385433497286514
"9","MICAL3",0.433790838668243
"10","SKI",0.00970728620276821
"11","DPH1",0.000448385804712121
"12","MSTO1",0.0198786119569104
"13","TOE1",0.00223355027896757
"14","NRXN2",0.0126756220520529
"15","CTNNA2",0.391632393804607
"16","SCMH1",0.0373209172466162
"17","NAB2",0.037533178324768
"18","ACACA",0.254042665299661
"19","DGKH",0.0482121467117617
"20","MYH10",0.674992380404751
"21","DNM2",0.114535433632662
"22","INTS3",0.0179002968303031
"23","MYT1",0.768257380876047
"24","PI4KA",0.00847314720963217
"25","MVK",0.000223907058967018
"26","SF3B3",0.852464745309465
"27","HOXB4",0.298548369800033
"28","ANGPT1",0.0610779975259011
"29","ITPRID2",0.00633005099287241
"30","ZBTB17",0.0843187719583513
"31","ZMIZ1",0.459410421290802
"32","PRH2",0.124631984965311
"33","GOLGA8H",0.741913097616938
"34","REV3L",0.00492672409762968
"35","NFKBIZ",0.562813720413553
"36","CDKN1C",0.323802947998047
"37","ARNT2",0.0203499239478011
"38","SEPHS1",0.00448606390931167
"39","HGF",0.323204147590504
"40","TTN",0.0836702849866242
"41","ATP6V0D1",0.0591822511441327
"42","ITGB3",0.558003895407133
"43","BRWD1",0.00540606034997018
"44","CEP350",0.0667924457203755
"45","PPARG",0.373086257388086
"46","RARA",0.179272058712457
"47","ADCY5",0.526604419900234
"48","PGA3",0.878586914984586
"49","SLC20A1",0.85835818612979
"50","ARHGAP11A",0.0256917276793354
"51","ATXN10",0.926911485676423
"52","MGAT5B",0.928678929892617
"53","MUCL3",0.0037190175405738
"54","NBEAL2",0.0971365616662049
"55","HMGCS1",0.80603694230581
"56","FGD6",0.583668023984313
"57","ACIN1",0.985617065978755
"58","AP3D1",0.951982161927178
"59","MEGF10",0.0309465378604143
"60","RIPOR2",0.121390507628504
"61","CNTN4",0.745109327538072
"62","DDB1",0.0319573283195496
"63","CAPRIN1",0.622385671247685
"64","CELF3",0.0391769409179688
"65","OR2B6",0.00121899061766965
"66","RENBP",0.73484742196052
"67","C4orf3",0.505210553727282
"68","TP63",0.280964710512155
"69","JTB",0.783774179203612
"70","EPHA4",0.744958228117799
"71","ZNF282",0.0514395705375054
"72","PTCH1",0.753125052140686
"73","LMCD1",0.734710817635881
"74","CKAP5",0.214795253921694
"75","KIAA1109",0.126336391248749
"76","COL4A3",0.00177809350878953
"77","CDC37",0.180248958073785
"78","STRN",0.896118228273765
"79","ADGRB1",0.0105273703455539
"80","TAOK1",0.0879944856980272
"81","EPB41L1",0.649300558332502
"82","KCNH7",0.247360186908925
"83","CARD10",0.260235778133699
"84","KCNV1",0.0151841612401344
"85","CHST1",0.208044302997936
"86","ABLIM1",0.913236198846205
"87","DNER",0.0780229902808471
"88","WDR70",0.818441741589624
"89","INO80",0.00841168300313889
"90","ZNF441",0.0620190525723474
"91","CBX7",0.88671875
"92","TULP1",0.262547660504479
"93","OR2A4",0.125
"94","LPA",0.910540615813679
"95","NARS2",0.00405810920202654
"96","NCAPG",0.438427946776024
"97","RAD21",0.234348892396028
"98","ACHE",0.105965147140877
"99","TRIM3",0.0286053959530175
"100","MRTFA",0.738042253417043
"101","SLC5A6",0.440488622800247
"102","ECE1",0.0594602262797181
"103","GALNT2",0.436064430036926
"104","PCNX1",0.670757388303525
"105","NAGS",0.748447877428417
"106","ZNF605",0.125
"107","HSP90AA1",0.125
"108","SEMA4A",0.634674977726404
"109","EMX1",0.242682474558262
"110","QARS",0.136712050658917
"111","PRDM10",0.332196179259408
"112","ABCB1",0.751109872276592
"113","GPRASP1",0.330075396902383
"114","CCR10",0.494853589246576
"115","BNC2",0.389350555708169
"116","PLXNB1",0.0908109329617031
"117","CDC25B",0.797507707498429
"118","DNM1",0.142768045814101
"119","GNMT",0.00954726945554171
"120","DPF3",0.50870049586608
"121","DENND1A",0.363190280501533
"122","PELP1",0.760650632626056
"123","IQGAP1",0.613990948807659
"124","PTPRK",0.5
"125","SOCS6",0.000611186600976251
"126","RAB30",0.766902145119549
"127","ATG9A",0.084032473927037
"128","VDAC1",0.0393523395518871
