"","Gene","BF","post.prob"
"1","POGZ",0.867360269074575,0.366726549249676
"2","ASH1L",0.658344772031959,0.305336839134937
"3","CACNA1E",0.485681791727076,0.244865534283679
"4","WAC",0.902498756297691,0.375997246395169
"5","KCNMA1",0.890995085697118,0.37299222605991
"6","PHF21A",0.755646329934895,0.335331946021169
"7","SHANK2",2.40006089503736,0.615740881552496
"8","HECTD4",1.49427076879364,0.499413328610653
"9","MED13L",0.791650018992852,0.34578454180299
"10","SMARCC2",1.10197994500894,0.423877336563809
"11","DYNC1H1",1.40889190086331,0.484709398094102
"12","CHD8",0.971795510375821,0.393506870786215
"13","MAP1A",0.999512108026456,0.40023812824704
"14","CHD2",0.899329896037443,0.375172346244592
"15","ANKRD11",0.387181670626373,0.205405433101422
"16","PHF12",0.931165503680029,0.383361807863538
"17","TAOK1",1.44913352815056,0.491745954067956
"18","TLK2",1.09779750916668,0.422948990289289
"19","KDM6B",0.447491341711268,0.230040402883304
"20","ASXL3",1.06848412069655,0.416357575719824
"21","TCF4",1.12134402265154,0.428136805615816
"22","PRR12",0.93313175897477,0.383860578488066
"23","MBD5",1.06565480986173,0.415713399054868
"24","TRIP12",0.806028805233242,0.349867701046972
"25","HDLBP",1.05434079758807,0.413123152555307
"26","NCOA1",0.735371392552283,0.32929738233748
"27","NRXN1",0.880238524678116,0.370156065140281
"28","TM9SF4",3639.54283814933,0.999588639175402
"29","ZMYND8",1.19758055216437,0.444311577282938
"30","ADNP",1.21017910032853,0.446896868749225
"31","DYRK1A",0.622923373417313,0.293734120925114
"32","DSCAM",0.930043921848428,0.383076939686933
"33","TCF20",0.934345190150606,0.384167981385479
"34","SHANK3",0.966112466698658,0.392107976584833
"35","CACNA2D3",0.865404355498068,0.366202414361206
"36","FOXP1",0.995521843702245,0.399278273749952
"37","SETD5",0.930324652153877,0.383148266470165
"38","ANK2",1.06153688272153,0.414773285587721
"39","NSD1",1.27007713785801,0.458866335686274
"40","ARID1B",1.22751109941826,0.450414429787999
"41","SYNGAP1",0.74691912872838,0.332747774287285
"42","PPP2R5D",0.904774882494336,0.376588412139019
"43","KMT2E",377870.128445218,0.999996036269019
"44","FOXP2",1.06551293422401,0.415681059408697
"45","KMT2C",0.124177833954112,0.0765603881197852
"46","TEK",0.917994503108515,0.379999847952605
"47","RFX3",1.20917658517848,0.446692028387103
"48","SKI",0.543651040447041,0.266308603011159
"49","TCF7L2",1.68415634933698,0.52928637958012
"50","MKX",0.409239228500025,0.214596112386533
"51","PTEN",1.96821541015882,0.567864160660364
"52","IRF2BPL",0.138010684843156,0.0843693279078936
"53","CORO1A",0.453119184247586,0.232261536675395
"54","VEZF1",2.46335102029901,0.621880491320333
"55","ELAVL3",0.255499217862525,0.145726362804283
"56","NACC1",0.103734471634263,0.0647726749565565
"57","DIP2A",15.8019787717095,0.913421836452589
"58","SATB1",0.553218541504397,0.269731125278993
"59","NR3C2",1.92484785541481,0.56238864085428
"60","KIAA0232",0.547840986233605,0.267811386266962
"61","GABRB2",0.790321176540304,0.345404598501652
"62","NUP155",1.61662094271665,0.519079016649178
"63","PTK7",0.00569044319684251,0.00378486830417145
"64","GIGYF1",1.47689311748993,0.496488968193433
"65","GNAI1",1.55905792612172,0.510022844916588
"66","KCNQ3",2.33813976977314,0.609538002111137
"67","PHF2",1.15515958272728,0.435426026826612
"68","KDM5B",3.23236917642742,0.683354382744309
"69","DEAF1",0.943008989659779,0.386353931070676
"70","UBR1",2.06830013869566,0.579992373891791
"71","TRAF7",1.05451775744265,0.413163842784883
"72","GFAP",1.47151155846118,0.495576402706703
"73","DNMT3A",0.120443787814262,0.0744295561494598
"74","TRIM23",0.66625316271302,0.307875461937245
"75","LDB1",1.07373937900059,0.417550329687178
"76","LRRC4C",1.08092068785338,0.419172366942724
"77","GRIN2B",0.456026367425596,0.233403898938977
"78","GABRB3",1.2058965149722,0.446020761689832
"79","SIN3A",1.06689983418777,0.415997040936566
"80","CREBBP",0.974490588573436,0.394168022297743
"81","PPP1R9B",0.697690905031183,0.317786236998899
"82","CELF4",0.76647439225203,0.338510503366796
"83","EIF3G",0.993464344692578,0.398782142718353
"84","AP2S1",0.919156625701292,0.380297959097859
"85","SCN2A",0.708779747985748,0.321214631013952
"86","SCN1A",1.62337702102996,0.520120021081866
"87","MYT1L",0.857150692101288,0.363981054436703
"88","SPAST",1.27942578057915,0.460687901321294
"89","SLC6A1",0.535343924146907,0.263310824430608
"90","TBL1XR1",1.08109886568215,0.419212496996472
"91","CTNNB1",1.04406879311977,0.410751493735445
"92","GRIA2",0.824374065796766,0.355003811110468
"93","DPYSL2",1.42004489041538,0.486679025476316
"94","STXBP1",1.37400162656807,0.478448956470498
"95","PAX5",0.789250857550756,0.345098251328619
"96","RORB",1.09783299354138,0.422956879093472
"97","RAI1",0.999858297435608,0.400321259213555
"98","PPP5C",0.999888840031239,0.400328592345235
