"","Gene","BF","post.prob"
"1","UBE4B",0.304883518166141,0.0218645880668448
"2","SARS",0.213490627073779,0.0154113962738203
"3","CELSR2",0.0803401408379991,0.00585585504738334
"4","RBM15",2.03769470650581,0.129980049737546
"5","MTOR",0.589052841848928,0.0413999734266781
"6","CSDE1",1.3055976242405,0.0873608436291193
"7","MAN1A2",1.275420478577,0.0855142873350832
"8","VPS13D",0.210599700469684,0.0152058802507703
"9","PRDM2",0.673642946709126,0.0470653461940876
"10","RPRD2",1.13996024977919,0.0771325036217507
"11","RORC",0.173220159142782,0.0125408205870452
"12","CRTC2",0.657702290594434,0.0460028564224337
"13","ATP8B2",0.24645079442355,0.0177484854818133
"14","ASH1L",1.0029014080798,0.0684939615608876
"15","GON4L",1.07057179063396,0.0727792083463607
"16","ARHGEF2",1.05116280568701,0.0715541664932692
"17","ARHGEF11",0.186083718172929,0.0134595836930697
"18","SPEN",0.872221633419907,0.0601055153762659
"19","ZBTB17",7.41549481686717,0.352200051397124
"20","COPA",2.69534833519737,0.165008185197704
"21","DCAF6",1.28334995508377,0.086000219786385
"22","PRRC2C",0.142992330693444,0.0103750867087961
"23","RC3H1",0.129510261973708,0.00940607017142367
"24","ASTN1",2.63245230650176,0.161780646210328
"25","CEP350",6.30028479389405,0.315968930370108
"26","XPR1",0.366404282436145,0.0261611016787974
"27","LAMC1",1.86807729754995,0.120463890946661
"28","SMG7",0.720700422715041,0.0501880998582154
"29","UBR4",0.396360466162493,0.028239559371176
"30","CDC73",0.400940137634133,0.0285565303078032
"31","CFH",0.281262563774841,0.0202048479946021
"32","KIF21B",0.255266071979907,0.0183716664096937
"33","IPO9",0.69732061675679,0.0486391685930163
"34","NFASC",1.44882881504291,0.0960245101268462
"35","EIF4G3",0.0550509426426027,0.00401997874454295
"36","ECE1",4.08033410025324,0.230272100771529
"37","USP48",0.786945858007582,0.0545496479218103
"38","RAB3GAP2",0.274436600544072,0.0197241681673956
"39","LBR",0.708134389656427,0.0493562173611918
"40","ENAH",0.330853889978554,0.0236829335442004
"41","CDC42BPA",1.39186129730372,0.0925984748809888
"42","EPHB2",0.0273948730161744,0.0020045008486957
"43","SIPA1L2",0.479694744256671,0.033975168576303
"44","ARID4B",0.468445669053538,0.0332048898112555
"45","LYST",0.231970245480974,0.0167230887131978
"46","ACTN2",1.59383327237753,0.104629476364856
"47","RYR2",1.58022341284868,0.103828802251175
"48","GRHL3",0.634435129841978,0.0444477745345577
"49","AHCTF1",0.0594018914653979,0.00433631985672154
"50","ARID1A",0.388900948731813,0.0277228237393352
"51","EYA3",1.11818188694483,0.0757705800448263
"52","TXLNA",0.231936867546723,0.0167207226815312
"53","LCK",0.76937556580644,0.0533967414497104
"54","AGO1",0.867018062993039,0.059768364907796
"55","AGO3",0.487474999867201,0.0345072027927012
"56","GRIK3",1.69018959297599,0.110257497350241
"57","SF3A3",0.363286819675858,0.0259442910553785
"58","KDM4A",0.440865507948215,0.0313111342468541
"59","FAF1",0.523261462700768,0.036946846696611
"60","OSBPL9",0.861455705007811,0.0594077002521212
"61","ZYG11B",0.52452856730326,0.0370330020959261
"62","USP24",0.523398129769337,0.0369561399670075
"63","CHD5",0.48439935365725,0.0342969521230429
"64","JAK1",0.261951287142701,0.018843739260251
"65","DNAJC6",1.23704383654412,0.0831551778176933
"66","LEPR",0.632948174291958,0.0443482201349353
"67","LRRC7",0.885492144772263,0.0609642466059001
"68","SRSF11",0.428350526926563,0.0304493602796077
"69","USP33",0.25735112819512,0.0185189502646256
"70","ARHGAP29",0.537153880059134,0.0378906052595534
"71","ABCD3",2.47918320906416,0.153810092449609
"72","TAF5",1.09000790786334,0.0740027274340024
"73","SMC3",0.474219944780199,0.0336004358674047
"74","TDRD1",1.51816554346652,0.100159684412126
"75","FAM160B1",1.69482920808294,0.110526705110408
"76","ATRNL1",1.01355012578741,0.0691709189016868
"77","MCMBP",0.530958862112826,0.0374699854955961
"78","FRMD4A",0.278605491610316,0.0200177947715232
"79","MLLT10",2.487476048405,0.154245227352656
"80","ARHGAP21",2.572140153721,0.158662178170501
"81","SVIL",2.23983256531247,0.141055221908544
"82","NRP1",1.33330224861918,0.0890495513482838
"83","BMS1",3.68479063989255,0.212697666845373
"84","ANK3",2.18785439763207,0.138234347440086
"85","JMJD1C",0.29058504881552,0.0208605702007829
"86","CCAR1",3.40136224336787,0.199602869203623
