"","Gene","BF","post.prob"
"1","UBE4B",0.825797199462737,0.0840437862393384
"2","SARS",0.143688415739564,0.0157144917025196
"3","CELSR2",0.00172182355750016,0.000191277134669297
"4","RBM15",3.01257878647824,0.250785350924757
"5","MTOR",0.221616458337071,0.0240322788676287
"6","CSDE1",1.67454334180699,0.156872597561023
"7","MAN1A2",0.777174469729041,0.0794886571918337
"8","VPS13D",0.366042728762201,0.0390818982320164
"9","PRDM2",1.55663694149092,0.147455761727757
"10","RPRD2",0.319964823622008,0.034331119234596
"11","RORC",0.308536022293714,0.0331454937226195
"12","CRTC2",7.82657339455831,0.465131741979589
"13","ATP8B2",0.264102251381235,0.0285081321659482
"14","ASH1L",0.236865972362817,0.0256435432831365
"15","GON4L",1.26828762879362,0.123515008017226
"16","ARHGEF2",1.22106649758835,0.119465664162978
"17","ARHGEF11",0.107727386965236,0.0118281303763454
"18","SPEN",0.683741838739768,0.070607194008876
"19","ZBTB17",5.11415864615535,0.362342437432388
"20","COPA",4.1001202262503,0.312983404383907
"21","DCAF6",0.491057348601192,0.0517389507369867
"22","PRRC2C",0.127366950506331,0.0139544023152554
"23","RC3H1",0.102220764678075,0.0112303104177335
"24","ASTN1",4.01514688296421,0.308498007672869
"25","CEP350",27.0847518037606,0.750587171862935
"26","XPR1",0.45095357739789,0.0477151404569749
"27","LAMC1",4.59764646163937,0.338120753073695
"28","SMG7",0.880547189881796,0.0891192737567736
"29","UBR4",0.476293197564723,0.0502615513930198
"30","CDC73",0.719303115622563,0.074007684199742
"31","CFH",0.27028835143502,0.0291564125287624
"32","KIF21B",0.687281576146114,0.0709467945928681
"33","IPO9",0.716487688319516,0.0737393707790962
"34","NFASC",0.41381793941751,0.0439585662353605
"35","EIF4G3",0.301774940328467,0.0324427264972947
"36","ECE1",5.05953155299094,0.359864874154687
"37","USP48",0.573543894750108,0.0599092562853997
"38","RAB3GAP2",0.425356460942097,0.0451289521732933
"39","LBR",1.80834403267775,0.167309999312609
"40","ENAH",0.191296551468899,0.0208127928848436
"41","CDC42BPA",1.94545740248995,0.17774107841737
"42","EPHB2",0.0570167548456643,0.00629531294784889
"43","SIPA1L2",0.576511694673084,0.0602005942303363
"44","ARID4B",1.06951823592679,0.10621344644979
"45","LYST",0.0783760287010064,0.00863326529472045
"46","ACTN2",0.693403491321534,0.0715335425727749
"47","RYR2",3.29483937696572,0.267985556862058
"48","GRHL3",0.752602158799667,0.077169369420099
"49","AHCTF1",1.23257386293956,0.120455896966814
"50","ARID1A",0.146778653690785,0.0160470324305441
"51","EYA3",1.71739443062631,0.160243652666047
"52","TXLNA",0.293137368199457,0.0315434235592551
"53","LCK",1.28892341805569,0.125272913956556
"54","AGO1",0.82345485432606,0.0838253818577307
"55","AGO3",0.60749403127925,0.0632312681435371
"56","GRIK3",1.66714468354219,0.156287810187326
"57","SF3A3",0.357734563976846,0.0382287573483828
"58","KDM4A",0.544819596249487,0.0570801355390275
"59","FAF1",0.669972598775959,0.0692838156398464
"60","OSBPL9",0.794184518524266,0.0810873551567445
"61","ZYG11B",0.577702289930299,0.0603174198197492
"62","USP24",0.627416013949541,0.0651697208306417
"63","CHD5",0.159597040840934,0.0174240242370184
"64","JAK1",0.145849578840405,0.0159470782438669
"65","DNAJC6",0.40168582003955,0.0427248716590128
"66","LEPR",0.499290751674731,0.052560845301709
"67","LRRC7",0.54921998178382,0.0575146433773143
"68","SRSF11",0.65767823087331,0.0680990001065544
"69","USP33",0.472938036933839,0.0499251694764508
"70","ARHGAP29",1.97979753458826,0.180312754251757
"71","ABCD3",1.70070021168919,0.158933544351741
"72","TAF5",1.02442216762842,0.102192640183946
"73","SMC3",0.340501278017265,0.0364542831141868
"74","TDRD1",0.53981513252551,0.0565854919646229
"75","FAM160B1",0.592354723328197,0.061752795889378
"76","ATRNL1",1.35255809315013,0.130649650161834
"77","MCMBP",0.695855244826125,0.0717683203034044
"78","FRMD4A",0.109939385669722,0.0120680699415696
"79","MLLT10",3.14834906648426,0.25915859424637
"80","ARHGAP21",1.0516583257977,0.104625355509609
"81","SVIL",0.191188023079392,0.0208012307657413
"82","NRP1",0.801458095026785,0.0817692722099624
"83","BMS1",1.6786692120184,0.157198352967908
"84","ANK3",0.207575071461855,0.0225439455937989
"85","JMJD1C",1.47684236251415,0.140962544955172
"86","CCAR1",5.1666029843697,0.364703026552669
"87","DDX21",0.770305649972439,0.0788415099352201
"88","SFMBT2",0.281385973354358,0.030317236473322
"89","PIK3AP1",0.313459865080779,0.0336566506563305
"90","SLIT1",1.17525589605943,0.115501360168698
"91","YAP1",0.670798417171067,0.0693632922779183
"92","CTR9",0.906305919754005,0.0914877782995531
"93","SIK3",0.331340569090351,0.0355083566650543
"94","HYOU1",0.9374025544985,0.0943307417967237
"95","MUC5B",0.857175371856081,0.0869595334890219
"96","PRDM10",1.33556437031164,0.129220265334322
"97","COPB1",0.930977152167007,0.0937447683044826
"98","GTF2H1",0.922136189749254,0.0929372639232598
"99","SPTY2D1",0.87179355159913,0.0883115663878433
"100","E2F8",0.955150597526882,0.095945368999658
"101","NAV2",2.01694019708522,0.183076259015987
"102","NAP1L4",0.678675952252542,0.0701207433331407
"103","PAX6",2.22938630475431,0.198531446354324
"104","CSTF3",1.69310566193632,0.158336194877713
"105","CAPRIN1",3.14549904521995,0.258984750936019
"106","TTC17",0.322137463454981,0.0345561803521818
"107","DGKZ",0.311345547614136,0.0334372240856116
"108","AMBRA1",0.0184220579505216,0.00204271410587631
"109","CKAP5",1.81679700417678,0.167960719192127
"110","FNBP4",3.16534654488132,0.260193701281216
"111","ZDHHC5",0.326262178922275,0.0349831661026687
"112","FAM160A2",0.576948571923652,0.0602434656081446
"113","INCENP",0.231267682981461,0.0250526461720767
"114","GANAB",0.284042403729791,0.0305946904783286
"115","INTS5",0.687646553858099,0.07098179625311
"116","MARK2",0.754992580643154,0.0773955053683267
"117","STIP1",0.793159272500178,0.0809911541750802
"118","NRXN2",13.2759479287047,0.595976789458974
"119","ATG2A",0.0929063313471732,0.0102174517103387
"120","LTBP3",1.89866754345852,0.174210979084146
"121","KLC2",1.49024333908494,0.142059939976086
"122","DCHS1",0.533792150994159,0.0559894890238925
"123","LRP5",0.0983557423378781,0.0108102766173666
"124","PPP6R3",1.59665831460064,0.150675643886779
"125","SHANK2",0.137615239939812,0.0150603014382031
"126","NUMA1",0.322034473069835,0.0345455140720785
"127","ARHGEF17",0.168375806764684,0.0183648456731509
"128","GAB2",1.0815524890593,0.107280350941288
"129","TENM4",0.0119557093776302,0.00132664981533246
"130","FAT3",0.0444694316541172,0.00491675404402183
"131","AP2A2",0.633253515317539,0.0657362036938634
"132","ATP2A2",0.722461247439342,0.0743084728293075
"133","ANAPC7",0.346843823366238,0.037108122262529
"134","NAA25",0.772761615463442,0.0790730037086652
"135","NOS1",0.390028187029361,0.0415364234548428
"136","KSR2",0.400456654279531,0.0425997022280002
"137","ETV6",1.53441292172423,0.14565718404297
"138","CIT",0.156127341168948,0.0170516786575202
"139","MSI1",1.75418990604425,0.163116880152761
"140","KDM2B",1.08192745798266,0.107313553136709
"141","TMEM132D",1.34285005193841,0.129833657569727
"142","SFSWAP",0.510991796843567,0.0537264470160884
"143","EP400",87.6978979331593,0.90692662206348
"144","PLEKHA5",0.836355166895239,0.085026938607304
"145","CACNA1C",0.597364136062521,0.062242520716485
"146","KDM5A",0.250216633215795,0.0270498133327293
"147","CNTN1",1.32417662592528,0.128259780310239
"148","SCAF11",0.502358411349051,0.0528667084109419
"149","COL2A1",0.704280225841773,0.0725741847361669
"150","CCNT1",0.29249664349566,0.0314766477424982
"151","DDX23",1.12369643570594,0.110996654516694
"152","KMT2D",0.0661038717806725,0.0072913208050074
"153","DIP2B",3.0371692958742,0.252315907604224
"154","ESPL1",0.203964431939505,0.0221604976255352
"155","MAP3K12",3.29141898590365,0.267781855754685
"156","ITGA5",1.25910695425482,0.122730658708322
"157","DGKA",2.70621990608786,0.231177948799722
"158","BAZ2A",1.80229803090821,0.166843946144734
"159","LRP1",1.37792145765226,0.132774319335037
"160","TBK1",6.20623668517641,0.408137582866014
"161","LEMD3",1.37792145765226,0.132774319335037
"162","CHD4",1.30669551204716,0.126781227845511
"163","USP5",0.54841110119885,0.0574348020195731
"164","CLSTN3",0.135454731327996,0.0148273660492766
"165","ZDHHC17",1.09775565564714,0.108712836107618
"166","NAV3",1.23900902350091,0.121008685572705
"167","PPP1R12A",0.203653370280752,0.022127448969163
"168","WNK1",0.424948022981956,0.0450875720423875
"169","FGD6",2.03487956635285,0.184404329391825
"170","TPP2",0.589423425946553,0.061465992246387
"171","MYO16",1.84828341792424,0.170375657301724
"172","COL4A1",0.426041735266403,0.0451983714089042
"173","RNF17",1.85850268929133,0.171156442326454
"174","PAN3",0.849955051952243,0.0862902467543528
"175","FLT1",0.902820479379121,0.0911680143307743
"176","FRY",4.16704045179274,0.316475100615749
"177","PDS5B",1.06794911188766,0.106074146781958
"178","COG3",0.719460326768367,0.0740226620182708
"179","ZC3H13",0.829212333555903,0.0843620328279061
"180","MYCBP2",0.549230990449812,0.057515729905277
"181","DOCK9",0.951687631112606,0.0956307780538934
"182","PPP2R5C",0.192969329936252,0.0209909685337317
"183","DYNC1H1",1.96321074614878,0.179072608527427
"184","INF2",0.857527952167236,0.0869921907732154
"185","CHD8",0.80767381701812,0.0823512111115133
"186","ACIN1",2.13162248116743,0.191492523643676
"187","AKAP6",0.0311762402542164,0.00345206863700169
"188","RALGAPA1",2.57735681876653,0.222620487483699
"189","PRPF39",1.31316175814201,0.127328727012868
"190","PSMC6",0.283711758148748,0.0305601644622068
"191","ARID4A",0.151042873926205,0.0165055366920602
"192","PPP2R5E",0.275858737408705,0.0297394284688911
"193","SPTB",0.326168707431851,0.0349734942251188
"194","DCAF5",12.2106968387564,0.575685793426876
"195","PCNX1",2.54062619636526,0.22014630342723
"196","PSEN1",0.581269760657188,0.0606672993431424
"197","ZC3H14",0.907483871118707,0.0915957959582566
"198","EML1",0.440015393489386,0.0466117241496086
