"","Gene","BF","SFARI_score","total_count","g1_count","g1_BF","g2_count","g2_BF","g3_count","g3_BF","g4_count","g4_BF","g5_count","g5_BF","g6_count","g6_BF"
"1","HLA-DRB1",2143985302914876,"4","663 vs 1319","-",NA,"-",NA,"240 vs 375",0.96,"1 vs 0",1.21,"1 vs 3",0.9,"421 vs 941",2059882159266769
"2","SSC5D",5462135302834.79,"NA","1646 vs 1806","-",NA,"-",NA,"8 vs 19",0.82,"-",NA,"-",NA,"1638 vs 1787",6641487982935.67
"3","GSTM1",319311143793.965,"4","67 vs 276","-",NA,"-",NA,"-",NA,"-",NA,"67 vs 276",319311143793.97,"0 vs 0",1
"4","TXNDC2",5322696.5535,"NA","653 vs 851","-",NA,"-",NA,"0 vs 1",0.98,"-",NA,"-",NA,"653 vs 850",5435657.69
"5","PRAM1",1815.0109,"NA","241 vs 334","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"240 vs 334",1778.06
"6","ENPP7",28.6454,"NA","464 vs 382","-",NA,"-",NA,"4 vs 2",1,"-",NA,"-",NA,"460 vs 380",28.53
"7","PTEN",14.9069,"1","20 vs 15","-",NA,"4 vs 0",6.47,"-",NA,"5 vs 0",2.64,"11 vs 15",0.87,"-",NA
"8","SUPT5H",14.4258,"NA","43 vs 36","2 vs 0",2.5,"-",NA,"-",NA,"9 vs 2",3.45,"25 vs 22",1.72,"7 vs 12",0.97
"9","MICAL3",13.8889,"NA","1477 vs 1471","4 vs 0",6.73,"-",NA,"-",NA,"-",NA,"39 vs 25",2.09,"1434 vs 1446",0.99
"10","SKI",13.3934,"NA","176 vs 171","-",NA,"1 vs 0",1.59,"-",NA,"4 vs 2",1.31,"24 vs 7",6.84,"147 vs 162",0.94
"11","DPH1",13.2157,"NA","462 vs 426","-",NA,"-",NA,"2 vs 1",1,"-",NA,"-",NA,"460 vs 425",13.27
"12","MSTO1",12.9447,"NA","170 vs 137","-",NA,"-",NA,"1 vs 1",1,"49 vs 32",4.25,"55 vs 42",2.95,"65 vs 62",1.03
"13","TOE1",12.3926,"NA","488 vs 478","-",NA,"-",NA,"0 vs 1",0.98,"-",NA,"37 vs 29",13.46,"451 vs 448",0.94
"14","NRXN2",11.1218,"4","208 vs 196","0 vs 1",0.42,"-",NA,"-",NA,"9 vs 4",2.6,"117 vs 94",11.13,"82 vs 97",0.92
"15","CTNNA2",10.9786,NA,"87 vs 71","-",NA,"-",NA,"-",NA,"19 vs 6",9.46,"14 vs 10",1.16,"54 vs 55",1
"16","SCMH1",10.8245,"NA","210 vs 173","-",NA,"3 vs 1",1.64,"-",NA,"7 vs 2",2.34,"68 vs 42",2.4,"132 vs 128",1.17
"17","NAB2",10.7153,"NA","116 vs 118","-",NA,"1 vs 0",1.59,"-",NA,"6 vs 4",1.22,"102 vs 110",5.42,"7 vs 4",1.01
"18","ACACA",10.5938,"NA","128 vs 119","2 vs 0",2.5,"-",NA,"-",NA,"32 vs 24",4.52,"78 vs 76",0.96,"16 vs 19",0.98
"19","DGKH",10.2888,"NA","683 vs 643","-",NA,"2 vs 0",2.54,"-",NA,"-",NA,"72 vs 49",3.46,"609 vs 594",1.17
"20","MYH10",9.9885,"3","255 vs 215","3 vs 0",3.95,"-",NA,"-",NA,"13 vs 7",2.13,"176 vs 152",1.14,"63 vs 56",1.05
"21","DNM2",9.8144,"NA","94 vs 83","1 vs 0",1.58,"-",NA,"-",NA,"30 vs 14",10.92,"54 vs 60",0.57,"9 vs 9",1
"22","INTS3",9.4217,"NA","49 vs 31","-",NA,"-",NA,"-",NA,"12 vs 2",7.23,"31 vs 27",1.27,"6 vs 2",1.02
"23","MYT1",9.3756,"NA","347 vs 363","1 vs 0",1.58,"-",NA,"-",NA,"9 vs 1",4.4,"59 vs 61",1.47,"278 vs 301",0.92
"24","PI4KA",8.0903,"NA","321 vs 312","-",NA,"-",NA,"3 vs 4",0.98,"14 vs 3",9.3,"27 vs 25",0.87,"277 vs 280",1.03
"25","MVK",7.835,"NA","72 vs 47","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"6 vs 2",1.17,"65 vs 45",6.56
"26","SF3B3",7.6382,"NA","253 vs 258","1 vs 0",1.58,"-",NA,"-",NA,"13 vs 5",3.57,"21 vs 13",1.38,"218 vs 240",0.98
"27","HOXB4",7.62,"NA","44 vs 33","-",NA,"-",NA,"-",NA,"7 vs 1",5.54,"7 vs 2",1.38,"30 vs 30",1
"28","ANGPT1",7.6043,"NA","293 vs 269","-",NA,"-",NA,"-",NA,"8 vs 1",8.27,"36 vs 37",0.92,"249 vs 231",1
"29","ITPRID2",7.6028,"NA","2572 vs 2455","-",NA,"-",NA,"-",NA,"52 vs 29",6.05,"218 vs 196",1.03,"2302 vs 2230",1.22
"30","ZBTB17",7.5008,"NA","74 vs 64","2 vs 0",2.5,"-",NA,"-",NA,"17 vs 9",2.91,"45 vs 44",1.03,"10 vs 11",1
"31","ZMIZ1",7.4683,"NA","74 vs 69","-",NA,"-",NA,"-",NA,"11 vs 2",9.04,"29 vs 28",0.84,"34 vs 39",0.99
"32","PRH2",7.3886,"NA","42 vs 26","-",NA,"4 vs 0",6.92,"-",NA,"26 vs 17",0.9,"12 vs 9",1.19,"-",NA
"33","GOLGA8H",7.2429,"NA","597 vs 614","-",NA,"-",NA,"134 vs 152",1.05,"33 vs 16",11.81,"277 vs 282",0.66,"153 vs 164",0.9
"34","REV3L",7.1487,"NA","1448 vs 1386","-",NA,"-",NA,"-",NA,"6 vs 1",2.95,"41 vs 20",2.81,"1401 vs 1365",0.86
"35","NFKBIZ",7.0754,"NA","201 vs 175","-",NA,"-",NA,"-",NA,"-",NA,"19 vs 5",6.99,"182 vs 170",1.01
"36","CDKN1C",6.9379,"NA","21 vs 9","-",NA,"-",NA,"-",NA,"10 vs 1",6.07,"11 vs 8",1.14,"-",NA
"37","ARNT2",6.8316,"4","147 vs 159","-",NA,"1 vs 0",1.59,"-",NA,"6 vs 0",3.5,"20 vs 14",1.28,"120 vs 145",0.96
"38","SEPHS1",6.7989,"NA","30 vs 12","-",NA,"-",NA,"-",NA,"6 vs 1",2.63,"21 vs 6",2.63,"3 vs 5",0.98
"39","HGF",6.7862,"NA","929 vs 870","-",NA,"3 vs 0",4.06,"-",NA,"-",NA,"56 vs 52",1.72,"870 vs 818",0.97
"40","TTN",6.764,"4","25325 vs 24505","-",NA,"-",NA,"57 vs 38",1.3,"-",NA,"-",NA,"25268 vs 24467",5.21
"41","ATP6V0D1",6.7496,"NA","14 vs 5","-",NA,"1 vs 0",1.59,"-",NA,"10 vs 2",4.27,"3 vs 3",0.99,"-",NA
"42","ITGB3",6.6996,"3","174 vs 151","-",NA,"-",NA,"2 vs 1",1.02,"-",NA,"89 vs 68",6.8,"83 vs 82",0.97
"43","BRWD1",6.4982,"NA","384 vs 331","4 vs 1",2.2,"-",NA,"-",NA,"1 vs 1",0.95,"47 vs 33",1.42,"332 vs 296",2.18
"44","CEP350",6.3591,"NA","1706 vs 1616","3 vs 0",3.95,"-",NA,"-",NA,"-",NA,"-",NA,"1703 vs 1616",1.61
"45","PPARG",6.2805,"NA","38 vs 18","-",NA,"-",NA,"-",NA,"13 vs 4",4.43,"7 vs 1",1.38,"18 vs 13",1.02
"46","RARA",6.2691,"NA","58 vs 35","-",NA,"1 vs 0",1.59,"-",NA,"13 vs 4",3.61,"6 vs 4",1.05,"38 vs 27",1.04
"47","ADCY5",6.1992,"4","213 vs 168","-",NA,"-",NA,"-",NA,"14 vs 8",2.57,"48 vs 39",2.06,"151 vs 121",1.17
"48","PGA3",6.1987,"NA","91 vs 98","-",NA,"-",NA,"-",NA,"11 vs 2",7.79,"80 vs 96",0.8,"-",NA
"49","SLC20A1",6.1857,"NA","91 vs 97","-",NA,"4 vs 0",6.47,"-",NA,"-",NA,"17 vs 22",0.95,"70 vs 75",1.01
"50","ARHGAP11A",6.0734,"NA","1163 vs 1117","-",NA,"-",NA,"1 vs 2",0.98,"10 vs 2",5.54,"10 vs 9",0.95,"1142 vs 1104",1.18
"51","ATXN10",5.9595,"NA","44 vs 53","-",NA,"4 vs 0",6.47,"-",NA,"-",NA,"-",NA,"40 vs 53",0.92
"52","MGAT5B",5.9546,"NA","349 vs 320","-",NA,"-",NA,"1 vs 1",1,"17 vs 10",2.11,"26 vs 12",3.32,"305 vs 297",0.85
"53","MUCL3",5.9019,"NA","1881 vs 1783","-",NA,"-",NA,"-",NA,"-",NA,"257 vs 224",3.11,"1624 vs 1559",1.9
"54","NBEAL2",5.7366,"NA","478 vs 470","-",NA,"3 vs 0",4.06,"-",NA,"-",NA,"82 vs 71",1.29,"393 vs 399",1.09
"55","HMGCS1",5.735,"NA","45 vs 35","-",NA,"-",NA,"-",NA,"9 vs 2",6.42,"6 vs 9",0.87,"30 vs 24",1.02
"56","FGD6",5.6755,"NA","599 vs 573","4 vs 0",6.24,"-",NA,"-",NA,"-",NA,"-",NA,"595 vs 573",0.91
"57","ACIN1",5.6653,"NA","490 vs 494","1 vs 0",1.58,"-",NA,"-",NA,"17 vs 7",5.42,"306 vs 321",0.72,"166 vs 166",0.92
"58","AP3D1",5.6488,"NA","145 vs 123","-",NA,"1 vs 0",1.59,"-",NA,"4 vs 4",0.86,"42 vs 27",3.8,"98 vs 92",1.08
"59","MEGF10",5.6479,"4","187 vs 140","-",NA,"3 vs 0",4.16,"-",NA,"-",NA,"1 vs 4",0.91,"183 vs 136",1.5
"60","RIPOR2",5.6003,"NA","1340 vs 1225","-",NA,"4 vs 2",0.86,"-",NA,"-",NA,"78 vs 42",7.16,"1258 vs 1181",0.91
"61","CNTN4",5.5692,"2","229 vs 230","4 vs 0",6.24,"-",NA,"-",NA,"-",NA,"-",NA,"225 vs 230",0.89
"62","DDB1",5.5392,"NA","39 vs 17","-",NA,"-",NA,"-",NA,"9 vs 3",3.6,"17 vs 7",1.49,"13 vs 7",1.03
"63","CAPRIN1",5.3516,"3","40 vs 40","6 vs 1",5.49,"-",NA,"-",NA,"3 vs 2",1.11,"11 vs 16",0.89,"20 vs 21",0.99
"64","CELF3",5.3499,"NA","39 vs 38","-",NA,"-",NA,"-",NA,"15 vs 6",4.69,"5 vs 2",1.18,"19 vs 30",0.96
"65","OR2B6",5.3485,"NA","219 vs 195","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"218 vs 194",5.35
"66","RENBP",5.3433,"NA","366 vs 384","-",NA,"4 vs 0",7.3,"-",NA,"-",NA,"10 vs 12",0.78,"352 vs 372",0.93
"67","C4orf3",5.3316,"NA","76 vs 66","-",NA,"3 vs 0",4.16,"-",NA,"1 vs 0",1.21,"4 vs 2",1.1,"68 vs 64",0.96
"68","TP63",5.3231,"NA","155 vs 130","-",NA,"4 vs 1",2.69,"-",NA,"-",NA,"29 vs 20",1.89,"122 vs 109",1.05
"69","JTB",5.0054,"NA","75 vs 77","-",NA,"-",NA,"-",NA,"17 vs 6",6.05,"55 vs 64",0.84,"3 vs 7",0.98
"70","EPHA4",4.9245,"NA","76 vs 66","3 vs 0",3.95,"-",NA,"-",NA,"1 vs 1",0.95,"40 vs 33",1.3,"32 vs 32",1
"71","ZNF282",4.8955,"NA","152 vs 167","-",NA,"-",NA,"-",NA,"8 vs 1",3.52,"11 vs 7",1.39,"133 vs 159",1
"72","PTCH1",4.8834,"NA","331 vs 323","1 vs 0",1.58,"-",NA,"-",NA,"-",NA,"125 vs 100",3.73,"205 vs 223",0.83
"73","LMCD1",4.8626,"NA","355 vs 333","-",NA,"-",NA,"0 vs 1",0.98,"-",NA,"82 vs 50",4.92,"273 vs 282",1.01
"74","CKAP5",4.8497,"NA","125 vs 126","3 vs 0",4.06,"-",NA,"-",NA,"-",NA,"23 vs 17",1.27,"99 vs 109",0.94
"75","KIAA1109",4.762,"NA","2656 vs 2546","-",NA,"-",NA,"12 vs 4",1.18,"4 vs 0",2.18,"666 vs 700",1.46,"1974 vs 1842",1.27
"76","COL4A3",4.7508,"NA","1273 vs 1288","-",NA,"-",NA,"3 vs 1",1.04,"-",NA,"2 vs 0",1.11,"1268 vs 1287",4.12
"77","CDC37",4.7488,"NA","89 vs 66","-",NA,"1 vs 0",1.59,"-",NA,"-",NA,"70 vs 48",3,"18 vs 18",0.99
"78","STRN",4.7204,"NA","407 vs 445","-",NA,"3 vs 0",4.16,"-",NA,"1 vs 0",1.21,"1 vs 1",1,"402 vs 444",0.94
"79","ADGRB1",4.6246,"NA","191 vs 138","1 vs 0",1.58,"-",NA,"-",NA,"4 vs 5",0.79,"155 vs 116",3.62,"31 vs 17",1.03
"80","TAOK1",4.5881,"NA","40 vs 34","1 vs 0",1.58,"-",NA,"-",NA,"10 vs 3",2.99,"21 vs 19",0.98,"8 vs 12",0.99
"81","EPB41L1",4.5846,"NA","474 vs 495","-",NA,"2 vs 0",2.54,"-",NA,"2 vs 0",1.48,"15 vs 14",1.34,"455 vs 481",0.91
"82","KCNH7",4.569,"NA","322 vs 314","-",NA,"2 vs 0",2.54,"-",NA,"3 vs 0",1.79,"57 vs 45",0.94,"260 vs 269",1.07
"83","CARD10",4.5593,"NA","196 vs 172","-",NA,"-",NA,"-",NA,"8 vs 0",6.09,"10 vs 13",0.77,"178 vs 159",0.97
"84","KCNV1",4.5039,"NA","12 vs 2","-",NA,"-",NA,"-",NA,"7 vs 0",3.9,"5 vs 2",1.15,"-",NA
"85","CHST1",4.4893,"NA","258 vs 239","-",NA,"2 vs 0",2.54,"-",NA,"5 vs 1",2.17,"250 vs 237",0.81,"1 vs 1",1
"86","ABLIM1",4.4581,"NA","348 vs 393","-",NA,"3 vs 0",4.06,"-",NA,"-",NA,"24 vs 17",1.22,"321 vs 376",0.9
"87","DNER",4.438,"4","447 vs 377","-",NA,"3 vs 0",4.34,"-",NA,"-",NA,"-",NA,"444 vs 377",1.02
"88","WDR70",4.4256,"NA","59 vs 45","-",NA,"2 vs 0",2.54,"-",NA,"3 vs 2",1.11,"33 vs 31",1.44,"21 vs 12",1.09
"89","INO80",4.3819,"NA","627 vs 504","-",NA,"-",NA,"-",NA,"6 vs 0",3.21,"78 vs 73",1.23,"543 vs 431",1.11
"90","ZNF441",4.3787,"NA","257 vs 251","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"46 vs 25",4.52,"210 vs 226",0.95
"91","CBX7",4.3667,"NA","10 vs 9","-",NA,"3 vs 0",4.16,"-",NA,"-",NA,"3 vs 2",1.07,"4 vs 7",0.98
