"","Gene","BF","BF_filtered","SFARI_score","total_count","g1_count","g1_BF","g2_count","g2_BF","g3_count","g3_BF","g4_count","g4_BF","g5_count","g5_BF","g6_count","g6_BF"
"6","ENPP7",28.6454,28.5312,"NA","464 vs 382","-",NA,"-",NA,"4 vs 2",1,"-",NA,"-",NA,"460 vs 380",28.53
"7","PTEN",14.9069,14.9069,"1","20 vs 15","-",NA,"4 vs 0",6.47,"-",NA,"5 vs 0",2.64,"11 vs 15",0.87,"-",NA
"8","SUPT5H",14.4258,14.4258,"NA","43 vs 36","2 vs 0",2.5,"-",NA,"-",NA,"9 vs 2",3.45,"25 vs 22",1.72,"7 vs 12",0.97
"9","MICAL3",13.8889,13.8889,"NA","1477 vs 1471","4 vs 0",6.73,"-",NA,"-",NA,"-",NA,"39 vs 25",2.09,"1434 vs 1446",0.99
"10","SKI",13.3934,13.3934,"NA","176 vs 171","-",NA,"1 vs 0",1.59,"-",NA,"4 vs 2",1.31,"24 vs 7",6.84,"147 vs 162",0.94
"11","DPH1",13.2157,13.2728,"NA","462 vs 426","-",NA,"-",NA,"2 vs 1",1,"-",NA,"-",NA,"460 vs 425",13.27
"13","TOE1",12.3926,13.1836,"NA","488 vs 478","-",NA,"-",NA,"0 vs 1",0.98,"-",NA,"37 vs 29",13.46,"451 vs 448",0.94
"12","MSTO1",12.9447,12.5556,"NA","170 vs 137","-",NA,"-",NA,"1 vs 1",1,"49 vs 32",4.25,"55 vs 42",2.95,"65 vs 62",1.03
"14","NRXN2",11.1218,11.1218,"4","208 vs 196","0 vs 1",0.42,"-",NA,"-",NA,"9 vs 4",2.6,"117 vs 94",11.13,"82 vs 97",0.92
"18","ACACA",10.5938,11.043,"NA","128 vs 119","2 vs 0",2.5,"-",NA,"-",NA,"32 vs 24",4.52,"78 vs 76",0.96,"16 vs 19",0.98
"15","CTNNA2",10.9786,10.9786,NA,"87 vs 71","-",NA,"-",NA,"-",NA,"19 vs 6",9.46,"14 vs 10",1.16,"54 vs 55",1
"16","SCMH1",10.8245,10.8245,"NA","210 vs 173","-",NA,"3 vs 1",1.64,"-",NA,"7 vs 2",2.34,"68 vs 42",2.4,"132 vs 128",1.17
"19","DGKH",10.2888,10.2888,"NA","683 vs 643","-",NA,"2 vs 0",2.54,"-",NA,"-",NA,"72 vs 49",3.46,"609 vs 594",1.17
"21","DNM2",9.8144,9.8446,"NA","94 vs 83","1 vs 0",1.58,"-",NA,"-",NA,"30 vs 14",10.92,"54 vs 60",0.57,"9 vs 9",1
"20","MYH10",9.9885,9.5369,"3","255 vs 215","3 vs 0",3.95,"-",NA,"-",NA,"13 vs 7",2.13,"176 vs 152",1.14,"63 vs 56",1.05
"24","PI4KA",8.0903,9.3421,"NA","321 vs 312","-",NA,"-",NA,"3 vs 4",0.98,"14 vs 3",9.3,"27 vs 25",0.87,"277 vs 280",1.03
"22","INTS3",9.4217,9.1952,"NA","49 vs 31","-",NA,"-",NA,"-",NA,"12 vs 2",7.23,"31 vs 27",1.27,"6 vs 2",1.02
"31","ZMIZ1",7.4683,8.9343,"NA","74 vs 69","-",NA,"-",NA,"-",NA,"11 vs 2",9.04,"29 vs 28",0.84,"34 vs 39",0.99
"34","REV3L",7.1487,8.2819,"NA","1448 vs 1386","-",NA,"-",NA,"-",NA,"6 vs 1",2.95,"41 vs 20",2.81,"1401 vs 1365",0.86
"32","PRH2",7.3886,8.2146,"NA","42 vs 26","-",NA,"4 vs 0",6.92,"-",NA,"26 vs 17",0.9,"12 vs 9",1.19,"-",NA
"25","MVK",7.835,7.6755,"NA","72 vs 47","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"6 vs 2",1.17,"65 vs 45",6.56
"26","SF3B3",7.6382,7.6382,"NA","253 vs 258","1 vs 0",1.58,"-",NA,"-",NA,"13 vs 5",3.57,"21 vs 13",1.38,"218 vs 240",0.98
"27","HOXB4",7.62,7.6337,"NA","44 vs 33","-",NA,"-",NA,"-",NA,"7 vs 1",5.54,"7 vs 2",1.38,"30 vs 30",1
"28","ANGPT1",7.6043,7.6278,"NA","293 vs 269","-",NA,"-",NA,"-",NA,"8 vs 1",8.27,"36 vs 37",0.92,"249 vs 231",1
"29","ITPRID2",7.6028,7.3787,"NA","2572 vs 2455","-",NA,"-",NA,"-",NA,"52 vs 29",6.05,"218 vs 196",1.03,"2302 vs 2230",1.22
"30","ZBTB17",7.5008,7.2883,"NA","74 vs 64","2 vs 0",2.5,"-",NA,"-",NA,"17 vs 9",2.91,"45 vs 44",1.03,"10 vs 11",1
"33","GOLGA8H",7.2429,7.2429,"NA","597 vs 614","-",NA,"-",NA,"134 vs 152",1.05,"33 vs 16",11.81,"277 vs 282",0.66,"153 vs 164",0.9
"60","RIPOR2",5.6003,7.1581,"NA","1340 vs 1225","-",NA,"4 vs 2",0.86,"-",NA,"-",NA,"78 vs 42",7.16,"1258 vs 1181",0.91
"52","MGAT5B",5.9546,7.0075,"NA","349 vs 320","-",NA,"-",NA,"1 vs 1",1,"17 vs 10",2.11,"26 vs 12",3.32,"305 vs 297",0.85
"39","HGF",6.7862,6.9934,"NA","929 vs 870","-",NA,"3 vs 0",4.06,"-",NA,"-",NA,"56 vs 52",1.72,"870 vs 818",0.97
"35","NFKBIZ",7.0754,6.9921,"NA","201 vs 175","-",NA,"-",NA,"-",NA,"-",NA,"19 vs 5",6.99,"182 vs 170",1.01
"36","CDKN1C",6.9379,6.9379,"NA","21 vs 9","-",NA,"-",NA,"-",NA,"10 vs 1",6.07,"11 vs 8",1.14,"-",NA
"37","ARNT2",6.8316,6.8316,"4","147 vs 159","-",NA,"1 vs 0",1.59,"-",NA,"6 vs 0",3.5,"20 vs 14",1.28,"120 vs 145",0.96
"43","BRWD1",6.4982,6.812,"NA","384 vs 331","4 vs 1",2.2,"-",NA,"-",NA,"1 vs 1",0.95,"47 vs 33",1.42,"332 vs 296",2.18
