"","LoF_pvalue","All_variants_pvalue","fisher_combine_pvalue"
"HLA-DRB1",1,1,1
"SSC5D",0.99042135477066,0.999948146782254,0.99995258249722
"GSTM1",1,0.6875,0.94510174649097
"TXNDC2",1,0.999999971593668,1
"PRAM1",0.5,0.48128701839649,0.596573590279973
"ENPP7",0.34375,0.00266241692771133,0.00857210241759417
"PTEN",0.0625,0.249779916601255,0.139554246962492
"SUPT5H",0.25,0.249948438430164,0.284826289856638
"MICAL3",0.0625,0.0537629477896112,0.0270197650163669
"SKI",0.5,0.415007688242714,0.550033410129919
"DPH1",0.5,0.110390974357467,0.226245858456206
"MSTO1",0.75,0.0338125254459479,0.117307603559634
"TOE1",1,0.263340891136599,0.582998551816619
"NRXN2",1,0.292123769616384,0.630054006374202
"CTNNA2",1,0.116317494502038,0.366566651666688
"SCMH1",0.3125,0.0328496214989042,0.0676815455008247
"NAB2",0.5,0.577713918018864,0.663188360566116
"ACACA",0.25,0.30541131529874,0.301135365151004
"DGKH",0.25,0.0335389563517407,0.0570201180093428
"MYH10",0.125,0.0359579466933704,0.0365782269138572
"DNM2",0.5,0.226179151181842,0.383696389003526
"INTS3",1,0.0283322131725605,0.129301303525504
"MYT1",0.5,0.373716034169931,0.51708893969434
"PI4KA",0.7734375,0.0760482881507945,0.201547170299128
"MVK",0.5,0.0136895512504652,0.0487727138017608
"SF3B3",0.5,0.604643175723994,0.674054540560325
"HOXB4",1,0.12715233307385,0.389387418813156
"ANGPT1",1,0.226685849715488,0.563130753185803
"ITPRID2",1,0.00666767608199668,0.0400759596963056
"ZBTB17",0.25,0.221857501763336,0.252311445251395
"ZMIZ1",1,0.369068401520926,0.736945923440982
"PRH2",0.0625,0.03405933714205,0.0329154475779134
"GOLGA8H",0.08984375,0.580751519909734,0.231544565445766
"REV3L",1,0.120876706869067,0.376287279159027
"NFKBIZ",1,0.0986182106879219,0.3270672308411
"CDKN1C",1,0.0213869726285338,0.103619311310245
"ARNT2",0.5,0.771280037253206,0.761250658518552
"SEPHS1",1,0.00395794866744837,0.0258534370642194
"HGF",0.125,0.532737507291449,0.278910124448312
"TTN",0.0321064033135654,0.00485642908234828,0.00207057232015192
"ATP6V0D1",0.5,0.0317840576171875,0.113748134632078
"ITGB3",0.5,0.111139102143555,0.23009844265882
