"","LoF_pvalue","All_variants_pvalue","fisher_combine_pvalue"
"HLA-DRB1",1,0.875,0.846573590279973
"SSC5D",0.99042135477066,0.99042135477066,0.999953977598056
"GSTM1",1,1,1
"TXNDC2",1,1,1
"PRAM1",0.5,0.5,0.846573590279973
"ENPP7",0.34375,0.34375,0.710820216562966
"PTEN",0.0625,0.001953125,0.0141373527832803
"SUPT5H",0.25,0.01123046875,0.0474874009727195
"MICAL3",0.0625,0.0625,0.235786795139986
"SKI",0.5,0.2265625,0.474544779940224
"DPH1",0.5,0.5,0.846573590279973
"MSTO1",0.75,0.0392098124079037,0.128278278911123
"TOE1",1,1,1
"NRXN2",1,0.21197509765625,0.402167409912025
"CTNNA2",1,0.00731664896011352,0.0432970227253696
"SCMH1",0.3125,0.046142578125,0.128387674416736
"NAB2",0.5,0.2744140625,0.503002785177785
"ACACA",0.25,0.11852355738136,0.180530860705103
"DGKH",0.25,0.25,0.596573590279973
"MYH10",0.125,0.04656982421875,0.0840110498753687
"DNM2",0.5,0.00804718001563742,0.0349322801368774
"INTS3",1,0.0064697265625,0.0390811689437915
"MYT1",0.5,0.005859375,0.0334443168198102
"PI4KA",0.7734375,0.0319573283195496,0.031074077486833
"MVK",0.5,0.5,0.846573590279973
"SF3B3",0.5,0.0317840576171875,0.113748134632078
"HOXB4",1,0.03515625,0.152857717985508
"ANGPT1",1,0.01953125,0.0964011627352629
"ITPRID2",1,0.0069997368599935,0.0417316102445821
"ZBTB17",0.25,0.043579276651144,0.102435611218312
"ZMIZ1",1,0.01123046875,0.0616454441969218
"PRH2",0.0625,0.0394703468407443,0.0414307255142871
"GOLGA8H",0.08984375,0.00267742982540015,0.00760680509013877
"REV3L",1,0.0625,0.235786795139986
"NFKBIZ",1,1,1
"CDKN1C",1,0.005859375,0.0359748769709262
"ARNT2",0.5,0.0078125,0.045718986436872
"SEPHS1",1,0.0625,0.235786795139986
"HGF",0.125,0.125,0.38493019270998
"TTN",0.0321064033135654,0.0321064033135654,0.142510685599548
"ATP6V0D1",0.5,0.01123046875,0.0544037810168664
"ITGB3",0.5,0.5,0.846573590279973
"BRWD1",0.1875,0.2265625,0.416483227409548
"CEP350",0.125,0.125,0.38493019270998
"PPARG",1,0.0245208740234375,0.11544992753322
"RARA",0.5,0.01544189453125,0.0662232511137159
"ADCY5",1,0.143139362335205,0.421393202170496
"PGA3",1,0.01123046875,0.0616454441969218
"SLC20A1",0.0625,0.0625,0.235786795139986
"ARHGAP11A",0.875,0.059234619140625,0.0857624172333648
"ATXN10",0.0625,0.0625,0.235786795139986
"MGAT5B",0.75,0.132465448230505,0.313701131172967
"MUCL3",1,1,1
"NBEAL2",0.125,0.125,0.38493019270998
"HMGCS1",1,0.03271484375,0.144597200475335
"FGD6",0.0625,0.0625,0.235786795139986
"ACIN1",0.5,0.0216426253318787,0.082074423423026
"AP3D1",0.5,0.5,0.682745373339722
"MEGF10",0.125,0.125,0.38493019270998
"RIPOR2",0.34375,0.34375,0.710820216562966
"CNTN4",0.0625,0.0625,0.235786795139986
"DDB1",1,0.072998046875,0.264057484229802
"CAPRIN1",0.0625,0.072998046875,0.139554246962491
