"","LoF_pvalue","All_variants_pvalue","fisher_combine_pvalue","LoF_ACAT_pvalue","Missense_ACAT_pvalue"
"HLA-DRB1",0.999999981650861,0.99999997628878,0.846573590279973,0.5,0.916666666666667
"SSC5D",0.99042135477066,0.99042135477066,0.999953977598056,0.875,0.994736842105263
"GSTM1",1,1,1,NA,0.857142857142857
"TXNDC2",1,1,1,1,0.981132075471698
"PRAM1",0.5,0.5,0.846573590279973,0.5,0.988505747126437
"ENPP7",0.34375,0.34375,0.710820216562966,0.5,0.990909090909091
"PTEN",0.0625,0.001953125,0.0141373527832803,0.5,0.941176470588235
"SUPT5H",0.25,0.01123046875,0.0474874009727195,0.5,0.982142857142857
"MICAL3",0.0625,0.0625,0.235786795139986,0.220218179098645,0.9957805907173
"SKI",0.5,0.2265625,0.474544779940224,0.5,0.984126984126984
"DPH1",0.5,0.5,0.846573590279973,0.5,0.982758620689655
"MSTO1",0.75,0.0392098124079037,0.128278278911123,0.5,0.98
"TOE1",1,1,1,1,0.979166666666667
"NRXN2",1,0.21197509765625,0.402167409912025,1,0.993006993006993
"CTNNA2",1,0.00731664896011352,0.0432970227253696,NA,0.973684210526316
"SCMH1",0.3125,0.046142578125,0.128387674416736,0.75,0.982758620689655
"NAB2",0.5,0.2744140625,0.503002785177785,0.5,0.972972972972973
"ACACA",0.25,0.11852355738136,0.180530860705103,0.666666666666667,0.98989898989899
"DGKH",0.25,0.25,0.596573590279973,0.5,0.98780487804878
"MYH10",0.125,0.04656982421875,0.0840110498753687,0.5,0.991525423728814
"DNM2",0.5,0.00804718001563742,0.0349322801368774,0.5,0.980769230769231
"INTS3",1,0.0064697265625,0.0390811689437915,NA,0.976744186046512
"MYT1",0.5,0.005859375,0.0334443168198102,0.5,0.990740740740741
"PI4KA",0.7734375,0.0319573283195496,0.031074077486833,0.857142857142857,0.993150684931507
"MVK",0.5,0.5,0.846573590279973,0.5,0.966666666666667
"SF3B3",0.5,0.0317840576171875,0.113748134632078,0.5,0.980769230769231
"HOXB4",1,0.03515625,0.152857717985508,NA,0.95
"ANGPT1",1,0.01953125,0.0964011627352629,NA,0.977272727272727
"ITPRID2",1,0.0069997368599935,0.0417316102445821,NA,0.993377483443709
"ZBTB17",0.25,0.043579276651144,0.102435611218312,0.5,0.983050847457627
"ZMIZ1",1,0.01123046875,0.0616454441969218,NA,0.985714285714286
