"","LoF_T","LoF_UT","LoF_OR","LoF_P_value","Missense_T","Missense_UT","Missense_OR","Missense_P_value","LoF+Missense_T","LoF+Missense_UT","LoF+Missense_OR","LoF+Missense_P_value"
"HLA-DRB1",240,375,0.64002282363974,9.92142569541061e-08,423,944,0.448112801936344,1.90124631666844e-42,663,1319,0.502678610067653,2.71056581809504e-44
"SSC5D",8,19,0.421051958113575,0.0520257152083319,1638,1787,0.916626271831469,0.0226813549200696,1646,1806,0.91141153636755,0.0146134981671164
"GSTM1",0,0,0,1,67,276,0.242794582490451,1.13924048052515e-30,67,276,0.242794582490451,1.13924048052515e-30
"TXNDC2",0,1,0,1,653,850,0.768250890879133,1.38433108818985e-06,653,851,0.767348208554122,1.21722085705674e-06
"PRAM1",1,0,Inf,1,240,334,0.718581825652953,0.000125101361339129,241,334,0.721575660809717,0.000150628452506881
"ENPP7",4,2,1.99989729293577,0.687435734853583,460,380,1.21050914739441,0.00775614842480854,464,382,1.21464210898684,0.00644580150674742
"PTEN",4,0,Inf,0.124948635472415,16,15,1.06669150059046,1,20,15,1.33330280755486,0.499042583716933
"SUPT5H",2,0,Inf,0.49996572290589,41,36,1.13887807459042,0.64792574334827,43,36,1.19442843223008,0.498737918792673
"MICAL3",4,0,Inf,0.124948635472415,1473,1471,1.00135956034137,0.983880339882641,1477,1471,1.00407879174916,0.935621896080237
"SKI",1,0,Inf,1,175,171,1.02339441923223,0.870404686629741,176,171,1.02924423585707,0.828037541321031
"DPH1",2,1,1.99989728727585,1,460,425,1.08232358555077,0.26792528548281,462,426,1.0844795385842,0.254012863137341
"MSTO1",1,1,1,1,169,136,1.24262634657358,0.0641487117202622,170,137,1.24085538351495,0.0650082271679595
"TOE1",0,1,0,1,488,477,1.02306363952556,0.739674595108412,488,478,1.02092273577951,0.764998418995958
"NRXN2",0,1,0,1,208,195,1.06669290350839,0.544649956488391,208,196,1.06124663208036,0.579133710064259
"CTNNA2",0,0,0,1,87,71,1.22533307744675,0.230163168516137,87,71,1.22533307744675,0.230163168516137
"SCMH1",3,1,2.99997694771041,0.624948586120971,207,172,1.20347165025888,0.0770739160655668,210,173,1.21385508349673,0.0625699628235019
"NAB2",1,0,Inf,1,115,118,0.974573107210167,0.894967593752655,116,118,0.983049774721396,0.947480083874833
"ACACA",2,0,Inf,0.49996572290589,126,119,1.05884348378998,0.699190763310743,128,119,1.07559250010938,0.607830504826581
"DGKH",2,0,Inf,0.49996572290589,681,643,1.05912123242197,0.329117552023765,683,643,1.06223415705848,0.301812699973944
"MYH10",3,0,Inf,0.249948605513182,252,215,1.17207937305897,0.0998105446679667,255,215,1.18603153731072,0.0748532729940777
"DNM2",1,0,Inf,1,93,83,1.12047277698191,0.495059923114351,94,83,1.13251992127606,0.449646345665515
"INTS3",0,0,0,1,49,31,1.58058727378862,0.0560073995907272,49,31,1.58058727378862,0.0560073995907272
"MYT1",1,0,Inf,1,346,363,0.953154636150679,0.53855228543517,347,363,0.95591104977818,0.564476119790126
"PI4KA",3,4,0.750017180487538,1,318,308,1.03247349886209,0.713423963928203,321,312,1.02885071418165,0.74538778185407
"MVK",1,0,Inf,1,71,47,1.51058816393378,0.0331060788695642,72,47,1.53186240117035,0.0267851618159038
"SF3B3",1,0,Inf,1,252,258,0.976741497207206,0.821823622413477,253,258,0.980618472370556,0.857159239869097
"HOXB4",0,0,0,1,44,33,1.33330283206595,0.253062939872428,44,33,1.33330283206595,0.253062939872428
"ANGPT1",0,0,0,1,293,269,1.08919399309343,0.323158561769172,293,269,1.08919399309343,0.323158561769172
