"","LoF_T","LoF_UT","LoF_OR","LoF_P_value","Missense_T","Missense_UT","Missense_OR","Missense_P_value","All_variants_T","All_variants_UT","All_variants_OR","All_variants_P_value"
"HLA-DRB1",0,2,0,1,1,0,Inf,0.5,1,2,0.500025679499842,0.875
"SSC5D",8,19,0.421051958113575,0.99042135477066,0,0,0,1,8,19,0.421051958113575,0.99042135477066
"GSTM1",0,0,0,1,0,0,0,1,0,0,0,1
"TXNDC2",0,1,0,1,0,0,0,1,0,1,0,1
"PRAM1",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"ENPP7",4,2,1.99989729293577,0.34375,0,0,0,1,4,2,1.99989729293577,0.34375
"PTEN",4,0,Inf,0.0625,5,0,Inf,0.03125,9,0,Inf,0.001953125
"SUPT5H",2,0,Inf,0.25,9,2,4.4993749952007,0.03271484375,11,2,5.49931893121614,0.01123046875
"MICAL3",4,0,Inf,0.0625,0,0,0,1,4,0,Inf,0.0625
"SKI",1,0,Inf,0.5,4,2,1.99989729293577,0.34375,5,2,2.49999307675205,0.2265625
"DPH1",2,1,1.99989728727585,0.5,0,0,0,1,2,1,1.99989728727585,0.5
"MSTO1",1,1,1,0.75,49,32,1.53119756473834,0.0373940771414168,50,33,1.51510086518926,0.0392098124079037
"TOE1",0,1,0,1,0,0,0,1,0,1,0,1
"NRXN2",0,1,0,1,9,4,2.25001976865234,0.1334228515625,9,5,1.79991837164043,0.21197509765625
"CTNNA2",0,0,0,1,19,6,3.16669196341464,0.00731664896011352,19,6,3.16669196341464,0.00731664896011352
"SCMH1",3,1,2.99997694771041,0.3125,7,2,3.4994062173303,0.08984375,10,3,3.33342166738329,0.046142578125
"NAB2",1,0,Inf,0.5,6,4,1.49995099848767,0.376953125,7,4,1.7499237021537,0.2744140625
"ACACA",2,0,Inf,0.25,32,24,1.3333028198709,0.174840976491843,34,24,1.41662695864865,0.11852355738136
"DGKH",2,0,Inf,0.25,0,0,0,1,2,0,Inf,0.25
"MYH10",3,0,Inf,0.125,13,7,1.85705518196321,0.131587982177734,16,7,2.28572893676522,0.04656982421875
"DNM2",1,0,Inf,0.5,30,14,2.1427395736256,0.0113144206029574,31,14,2.21416065850656,0.00804718001563742
"INTS3",0,0,0,1,12,2,5.99928072774107,0.0064697265625,12,2,5.99928072774107,0.0064697265625
"MYT1",1,0,Inf,0.5,9,1,8.99896628306285,0.0107421875,10,1,9.99783644144214,0.005859375
"PI4KA",3,4,0.750017180487538,0.7734375,14,3,4.66603328517525,0.0063629150390625,17,7,2.42856966909105,0.0319573283195496
"MVK",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"SF3B3",1,0,Inf,0.5,13,5,2.5999835632705,0.048126220703125,14,5,2.79997353758009,0.0317840576171875
"HOXB4",0,0,0,1,7,1,6.99918940844448,0.03515625,7,1,6.99918940844448,0.03515625
"ANGPT1",0,0,0,1,8,1,7.99908258907776,0.01953125,8,1,7.99908258907776,0.01953125
"ITPRID2",0,0,0,1,52,29,1.79302261425715,0.0069997368599935,52,29,1.79302261425715,0.0069997368599935
"ZBTB17",2,0,Inf,0.25,17,9,1.88879787444054,0.0843187719583512,19,9,2.11099682283914,0.043579276651144
"ZMIZ1",0,0,0,1,11,2,5.49931893121614,0.01123046875,11,2,5.49931893121614,0.01123046875
"PRH2",4,0,Inf,0.0625,26,17,1.52935951588696,0.111026410078012,30,17,1.76462804190445,0.0394703468407443
"GOLGA8H",7,2,3.4994062173303,0.08984375,33,16,2.06239084378003,0.0106470570706936,40,18,2.22209637442328,0.00267742982540015
"REV3L",0,0,0,1,6,1,5.99928153460606,0.0625,6,1,5.99928153460606,0.0625
"NFKBIZ",0,0,0,1,0,0,0,1,0,0,0,1
"CDKN1C",0,0,0,1,10,1,9.99783644144214,0.005859375,10,1,9.99783644144214,0.005859375
"ARNT2",1,0,Inf,0.5,6,0,Inf,0.015625,7,0,Inf,0.0078125
"SEPHS1",0,0,0,1,6,1,5.99928153460606,0.0625,6,1,5.99928153460606,0.0625
"HGF",3,0,Inf,0.125,0,0,0,1,3,0,Inf,0.125
"TTN",57,38,1.49995103751531,0.0321064033135654,0,0,0,1,57,38,1.49995103751531,0.0321064033135654
"ATP6V0D1",1,0,Inf,0.5,10,2,4.99935060006118,0.019287109375,11,2,5.49931893121614,0.01123046875
"ITGB3",2,1,1.99989728727585,0.5,0,0,0,1,2,1,1.99989728727585,0.5
"BRWD1",4,1,3.9993936007291,0.1875,1,1,1,0.75,5,2,2.49999307675205,0.2265625
"CEP350",3,0,Inf,0.125,0,0,0,1,3,0,Inf,0.125
"PPARG",0,0,0,1,13,4,3.25005673704458,0.0245208740234375,13,4,3.25005673704458,0.0245208740234375
"RARA",1,0,Inf,0.5,13,4,3.25005673704458,0.0245208740234375,14,4,3.49940389680359,0.01544189453125
"ADCY5",0,0,0,1,14,8,1.74992371090597,0.143139362335205,14,8,1.74992371090597,0.143139362335205
"PGA3",0,0,0,1,11,2,5.49931893121614,0.01123046875,11,2,5.49931893121614,0.01123046875
"SLC20A1",4,0,Inf,0.0625,0,0,0,1,4,0,Inf,0.0625
"ARHGAP11A",1,2,0.500025679499842,0.875,10,2,4.99935060006118,0.019287109375,11,4,2.74997572797825,0.059234619140625
"ATXN10",4,0,Inf,0.0625,0,0,0,1,4,0,Inf,0.0625
