"","LoF_pvalue","LoF+Missense_pvalue","fisher_combine_pvalue"
"HLA-DRB1",9.92142569541061e-08,2.71056581809504e-44,2.13514999176788e-47
"SSC5D",0.0520257152083319,0.0146134981671164,0.00913593663869696
"GSTM1",1,1.13924048052515e-30,7.96866714800821e-29
"TXNDC2",1,1.21722085705674e-06,2.00593637743168e-05
"PRAM1",1,0.000150628452506881,0.00124931051580212
"ENPP7",0.687435734853583,0.00644580150674742,0.0332390756648899
"PTEN",0.124948635472415,0.499042583716933,0.384823372622846
"SUPT5H",0.49996572290589,0.498737918792673,0.689084931962237
"MICAL3",0.124948635472415,0.935621896080237,0.380617958708821
"SKI",1,0.828037541321031,0.991214261970004
"DPH1",1,0.254012863137341,0.620795511867002
"MSTO1",1,0.0650082271679595,0.240336437391685
"TOE1",1,0.764998418995958,0.96271971603336
"NRXN2",1,0.579133710064259,0.875585790786725
"CTNNA2",1,0.230163168516137,0.568265220096292
"SCMH1",0.624948586120971,0.0625699628235019,0.19426213164145
"NAB2",1,0.947480083874833,0.994280151370731
"ACACA",0.49996572290589,0.607830504826581,0.716987543494459
"DGKH",0.49996572290589,0.301812699973944,0.461482668510028
"MYH10",0.249948605513182,0.0748532729940777,0.11702828884416
"DNM2",1,0.449646345665515,0.84312490478294
"INTS3",1,0.0560073995907272,0.217435929059842
"MYT1",1,0.564476119790126,0.87184651127632
"PI4KA",1,0.74538778185407,0.954332551049057
"MVK",1,0.0267851618159038,0.145932865666231
"SF3B3",1,0.857159239869097,0.983089643030852
"HOXB4",1,0.253062939872428,0.600801039513667
"ANGPT1",1,0.323158561769172,0.688202406921442
"ITPRID2",1,0.15479930281601,0.44359687931666
"ZBTB17",0.49996572290589,0.441577500637486,0.627827512061716
"ZMIZ1",1,0.736902701617137,0.961878665350131
"PRH2",0.124948635472415,0.0674923410508029,0.101959475749135
"GOLGA8H",0.310186189277829,0.65376080791843,0.673284730077011
"REV3L",1,0.295108363527166,0.655262345297427
"NFKBIZ",1,0.191816008205062,0.508546179665863
"CDKN1C",1,0.042565487246036,0.176932450875297
"ARNT2",1,0.525280059983183,0.837842419835341
"SEPHS1",1,0.00783039002797891,0.0458057689262668
"HGF",0.249948605513182,0.193817958588128,0.214802173902234
"TTN",0.0633745305941901,0.0815163521319486,0.034601761238947
"ATP6V0D1",1,0.063398956143133,0.321083308083964
"ITGB3",1,0.217376550604346,0.578031790745941
"BRWD1",0.374914345456448,0.0554386452243379,0.122900299380121
"CEP350",0.249948605513182,0.160515609653742,0.183133378562576
"PPARG",1,0.0103139063076941,0.057492417728962
"RARA",1,0.0216168840761978,0.126484973367892
"ADCY5",1,0.0255258363488805,0.119156241548671
"PGA3",1,0.66059504009104,0.934487173205977
"SLC20A1",0.124948635472415,0.713722365788917,0.237263133205052
"ARHGAP11A",1,0.379787757476093,0.735305296730604
"ATXN10",0.124948635472415,0.415234412060168,0.122542378291992
"MGAT5B",1,0.285739791395017,0.642812774372096
"MUCL3",1,0.149484388087442,0.433588932866498
"NBEAL2",0.249948605513182,0.814538923062547,0.558012264032807
"HMGCS1",1,0.312989121369828,0.676553167397694
"FGD6",0.124948635472415,0.466391925255265,0.250440171726199
"ACIN1",1,0.921297133858984,0.994300113250708
"AP3D1",1,0.195531851162286,0.548290059996297
"MEGF10",0.249948605513182,0.0117503451005016,0.0257330742695805
"RIPOR2",0.687435734853583,0.0377941225915532,0.125448949010537
"CNTN4",0.124948635472415,1,0.344081278042202
"DDB1",1,0.00448828948115357,0.0287532553476507
"CAPRIN1",0.124910182969341,1,0.281639996065243
"CELF3",1,1,1
"OR2B6",1,0.251892167056579,0.59764549312243
"RENBP",0.124948635472415,0.524690595471356,0.21908298636637
"C4orf3",0.249948605513182,0.44802195592686,0.438893127016061
"TP63",0.374914345456448,0.151201391398617,0.2742752161036
"JTB",1,0.935053602374483,0.997843781975496
"EPHA4",0.249948605513182,0.44802195592686,0.438893127016061
"ZNF282",1,0.428260755117834,0.791435737439031
"PTCH1",1,0.779680071873412,0.980761051513479
"LMCD1",1,0.4129892022258,0.77761283954182
"CKAP5",0.249948605513182,1,0.540664734466172
"KIAA1109",0.0766536499285318,0.190871549626421,0.0873683984569956
"COL4A3",0.624948586120971,0.79710432238537,0.830470872154019
"CDC37",1,0.0753817476378808,0.303456321335394
"STRN",0.249948605513182,0.217327624325083,0.184300601460699
"ADGRB1",1,0.00439835189798383,0.0323895845101898
"TAOK1",1,0.560387813452245,0.92523706620967
"EPB41L1",0.49996572290589,0.528524267532483,0.586497415951582
"KCNH7",0.49996572290589,0.77679426355738,0.784013552633424
"CARD10",1,0.224928965232464,0.560516376703194
"KCNV1",1,0.012898665335955,0.0690160042199261
"CHST1",0.49996572290589,0.411830119919183,0.571520095517718
"ABLIM1",0.249948605513182,0.113686370781731,0.107369463035861
"DNER",0.249948605513182,0.0181049597030337,0.0364481516385
"WDR70",0.49996572290589,0.200592100084227,0.409659179617891
"INO80",1,0.000431067717214276,0.00377151722627584
"ZNF441",1,0.821490831121199,0.989191545871026
"CBX7",0.249948605513182,1,0.52323234093261
"TULP1",0.249948605513182,0.171098798836329,0.224940124840005
"OR2A4",0.249948605513182,0.249948605513182,0.596502337109556
"LPA",0.340984384513912,0.818415244221759,0.417518834807574
"NARS2",1,0.648404978325525,0.917910855550627
"NCAPG",0.249948605513182,0.0784671236719267,0.113748377835527
"RAD21",0.0239833858752324,0.0191869952214651,0.02819778268382
"ACHE",1,0.326020528592323,0.691422683611121
"TRIM3",1,0.693424516858851,0.947296169961461
"MRTFA",1,0.721382357190754,0.956975712005683
"SLC5A6",0.218653694808287,0.316827406230036,0.330116730828844
"ECE1",0.49996572290589,0.283886732304833,0.473451840071259
"GALNT2",0.249948605513182,0.341986535975206,0.351500367441027
"PCNX1",0.49996572290589,0.539822911269741,0.648210801141614
"NAGS",1,0.621427443395119,0.915946449221154
"ZNF605",0.249948605513182,0.249948605513182,0.596502337109556
"HSP90AA1",0.249948605513182,0.249948605513182,0.596502337109556
"SEMA4A",0.249948605513182,0.907036761194047,0.583405528448391
"EMX1",1,0.0928849202470169,0.402341638906323
"QARS",1,0.135401753633533,0.40477413578003
"PRDM10",0.49996572290589,0.323012143081138,0.499361355018868
"ABCB1",0.249948605513182,0.36924851595422,0.29194024901519
"GPRASP1",0.249948605513182,0.512949729032577,0.42545440826875
"CCR10",1,0.591483952881081,0.87178772672051
"BNC2",1,0.174759025470195,0.479599451189663
"PLXNB1",1,0.0415633703591105,0.182452247959066
"CDC25B",1,0.114989802441408,0.401630909979981
"DNM1",1,0.525861613095609,0.86384191340922
"GNMT",1,0.0838553216937887,0.340443433671363
"DPF3",0.218653694808287,0.894523926594419,0.551065495318603
"DENND1A",0.49996572290589,0.257238916084832,0.428239939000349
"PELP1",0.249948605513182,0.350731522528505,0.342979985359076
"IQGAP1",0.249948605513182,0.841162874525759,0.573786805695052
"PTPRK",0.218653694808287,0.587846201839432,0.446982738118209
"SOCS6",1,0.0258597734137646,0.120378969253006
"RAB30",0.249948605513182,0.823682194776963,0.596502337109556
"ATG9A",1,0.342770513083838,0.671080299499754
"VDAC1",1,0.0725845441445954,0.262974040815354
"RILPL1",1,0.244184348808363,0.635150688799581
"KCNMB3",0.726487526564926,0.886676551285176,0.912161627973257
"CA8",0.49996572290589,0.0797576808845427,0.234392084768221
"BMS1",0.49996572290589,0.22434600739932,0.384836062992368
"CERS6",1,0.155666902088078,0.469511730171899
"PDE2A",1,0.891248701607051,0.993859736854474
"CLCNKB",0.109254824845677,0.815963780451873,0.344665493570734
"NUP214",0.249948605513182,0.698814840699788,0.505842101854624
"TNR",0.249948605513182,0.117954533283021,0.149323766934755
"MED12L",0.249948605513182,0.638373491413822,0.497687133391013
"FUT7",1,0.0833255865301762,0.304184214589346
"MBNL1",1,0.262847494783438,0.614059397527189
"HERC3",0.49996572290589,0.125971855715411,0.292451233334738
"KBTBD6",1,0.0571011723584674,0.220577867761484
"UNC80",1,0.0783006545332302,0.263077702865818
"ORM2",0.624948586120971,0.0753476693353615,0.159174904485425
