"","Gene","BF","SFARI_score","total_count","g1_count","g1_BF","g2_count","g2_BF","g3_count","g3_BF","g4_count","g4_BF","g5_count","g5_BF","g6_count","g6_BF","g7_count","g7_BF","g8_count","g8_BF","g9_count","g9_BF","g10_count","g10_BF","g11_count","g11_BF","g12_count","g12_BF","g13_count","g13_BF","g14_count","g4_BF.1","g15_count","g15_BF"
"1","HLA-DRB1",77650877372018224,"4","663 vs 1319","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 2",0.95,"240 vs 373",1,"1 vs 0",1.22,"-",NA,"-",NA,"1 vs 3",0.81,"-",NA,"-",NA,"143 vs 451",2209800686309661,"-",NA,"278 vs 490",37.42
"2","SSC5D",124269434160.906,"NA","1646 vs 1806","-",NA,"-",NA,"-",NA,"-",NA,"8 vs 19",0.7,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"205 vs 237",0.21,"423 vs 525",838446499993.05,"1010 vs 1025",0.99
"3","GSTM1",63482770880.1226,"4","67 vs 276","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"2 vs 2",0.98,"-",NA,"65 vs 274",64672442807.44,"0 vs 0",1,"-",NA,"-",NA
"4","TXNDC2",434321.3338,"NA","653 vs 851","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"58 vs 60",0.79,"216 vs 354",577049.42,"379 vs 436",1
"5","PRAM1",258.4101,"NA","241 vs 334","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"109 vs 102",1.31,"118 vs 124",1,"13 vs 108",191.01
"6","RAPGEF5",145.2817,"NA","423 vs 397","1 vs 1",0.86,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"110 vs 78",170.12,"-",NA,"312 vs 318",1
"7","DPH1",136.2451,"NA","462 vs 426","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 1",0.99,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"78 vs 57",138.16,"196 vs 189",1,"186 vs 179",1
"8","XIRP2",102.2493,"NA","2784 vs 2846","-",NA,"-",NA,"-",NA,"-",NA,"18 vs 18",0.98,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"425 vs 342",110.22,"664 vs 736",0.97,"1677 vs 1750",0.97
"9","KIAA1109",89.8421,"NA","2656 vs 2546","-",NA,"-",NA,"-",NA,"-",NA,"12 vs 4",1.34,"-",NA,"4 vs 0",2.21,"-",NA,"-",NA,"90 vs 69",2.81,"62 vs 56",1,"514 vs 575",0.95,"237 vs 187",11.58,"282 vs 284",0.99,"1455 vs 1371",0.99
"10","EP400",87.6979,"3","1658 vs 1448","2 vs 1",1.18,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"81 vs 67",5.87,"190 vs 169",1,"448 vs 450",0.95,"299 vs 228",13.42,"638 vs 533",0.99,"-",NA
"11","CENPF",84.9175,"NA","1711 vs 1662","-",NA,"-",NA,"-",NA,"-",NA,"10 vs 6",1.12,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"412 vs 327",78.02,"271 vs 300",0.99,"1018 vs 1029",0.98
"12","SLC12A3",52.1428,"NA","921 vs 839","-",NA,"-",NA,"-",NA,"-",NA,"17 vs 10",1.18,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"314 vs 243",44.57,"85 vs 73",1,"505 vs 513",0.99
"13","BTG4",48.3993,"NA","29 vs 6","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"28 vs 6",46.64,"-",NA,"-",NA
"14","HSPG2",43.9888,"NA","6550 vs 6425","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 3",0.97,"-",NA,"-",NA,"-",NA,"-",NA,"4 vs 3",1.02,"-",NA,"-",NA,"826 vs 716",47.57,"1325 vs 1360",0.97,"4392 vs 4343",0.96
"15","BRWD1",42.1085,"NA","384 vs 331","4 vs 1",1.78,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",0.95,"-",NA,"-",NA,"37 vs 27",1.74,"10 vs 6",1,"-",NA,"161 vs 141",13.52,"171 vs 155",1.06,"-",NA
"16","MYH1",41.0989,"NA","1337 vs 1272","-",NA,"-",NA,"-",NA,"-",NA,"30 vs 18",1.36,"-",NA,"5 vs 4",0.98,"-",NA,"-",NA,"6 vs 6",0.91,"-",NA,"-",NA,"376 vs 328",34.2,"303 vs 301",1,"617 vs 615",0.99
"17","MEGF10",40.0435,"4","187 vs 140","-",NA,"-",NA,"3 vs 0",3.21,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 4",0.83,"-",NA,"-",NA,"140 vs 96",15.11,"43 vs 40",1,"-",NA
"18","ARAP2",37.8657,"NA","821 vs 822","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 2",1.06,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"230 vs 214",36.16,"456 vs 471",0.99,"132 vs 135",1
"19","NARS2",37.3569,"NA","423 vs 437","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"65 vs 41",36.23,"32 vs 44",1,"325 vs 352",1
"20","PRTG",36.8138,"NA","531 vs 476","-",NA,"-",NA,"-",NA,"-",NA,"4 vs 5",1.03,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"177 vs 131",35.9,"350 vs 340",0.99,"-",NA
"21","SOCS6",36.1691,"NA","56 vs 34","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"3 vs 6",0.74,"-",NA,"-",NA,"53 vs 28",48.77,"-",NA,"-",NA
"22","CHID1",35.9919,"NA","56 vs 33","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"2 vs 3",0.85,"-",NA,"-",NA,"54 vs 30",42.29,"-",NA,"-",NA
"23","NLRC3",31.2468,"NA","1145 vs 1183","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 5",0.87,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"209 vs 152",36.95,"211 vs 203",0.99,"723 vs 823",0.99
"24","ADCY5",31.2013,"4","213 vs 168","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"14 vs 8",2.59,"-",NA,"-",NA,"48 vs 39",2.49,"-",NA,"-",NA,"72 vs 45",4.83,"79 vs 76",1,"-",NA
"25","OVOL2",30.6123,"NA","121 vs 106","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"1 vs 0",1.22,"-",NA,"-",NA,"8 vs 9",0.69,"-",NA,"-",NA,"40 vs 15",34.92,"71 vs 82",1,"-",NA
"26","CEP350",27.0847,"NA","1706 vs 1616","3 vs 0",2.62,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"308 vs 282",10.39,"384 vs 330",1,"1011 vs 1004",0.99
"27","SPG11",27.0156,"NA","1532 vs 1501","-",NA,"-",NA,"-",NA,"-",NA,"11 vs 7",1.12,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"316 vs 274",24.77,"314 vs 326",0.99,"891 vs 894",0.98
"28","PCDHGA2",26.8127,"NA","628 vs 576","-",NA,"-",NA,"-",NA,"-",NA,"4 vs 1",1.12,"-",NA,"-",NA,"-",NA,"-",NA,"52 vs 43",0.74,"36 vs 33",1,"-",NA,"113 vs 74",32.67,"423 vs 425",0.99,"-",NA
"29","EPHA8",24.6988,"NA","646 vs 581","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"2 vs 2",1.03,"-",NA,"-",NA,"203 vs 165",25.08,"441 vs 413",0.99,"-",NA
"30","ATAD5",24.094,"NA","286 vs 286","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"8 vs 6",1.03,"-",NA,"-",NA,"155 vs 139",23.43,"123 vs 141",1,"-",NA
"31","IL1R2",22.9156,"4","191 vs 162","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 2",0.99,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"120 vs 87",23.21,"68 vs 73",1,"-",NA
"32","HIVEP3",22.2171,"3","1363 vs 1304","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.1,"-",NA,"-",NA,"390 vs 299",21.22,"311 vs 286",1,"661 vs 718",0.99
"33","ATG9A",22.0983,"NA","118 vs 103","-",NA,"-",NA,"0 vs 1",0.55,"-",NA,"-",NA,"-",NA,"20 vs 10",6.57,"-",NA,"-",NA,"15 vs 10",1.19,"-",NA,"-",NA,"63 vs 64",5.15,"20 vs 18",1,"-",NA
"34","ZNF430",20.3047,"NA","192 vs 160","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"89 vs 59",19.62,"102 vs 101",1,"-",NA
"35","IPO5",19.8515,"NA","161 vs 117","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"26 vs 18",1.94,"-",NA,"-",NA,"83 vs 50",10.25,"52 vs 49",1,"-",NA
"36","FAM89A",19.0773,"NA","72 vs 59","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 4",0.93,"-",NA,"-",NA,"-",NA,"-",NA,"2 vs 2",1.06,"-",NA,"-",NA,"53 vs 35",19.38,"14 vs 18",1,"-",NA
"37","RANBP2",19.0467,"NA","1262 vs 1225","2 vs 0",1.9,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"4 vs 3",1.08,"-",NA,"-",NA,"97 vs 82",0.61,"185 vs 186",1,"-",NA,"281 vs 226",15.52,"529 vs 547",0.99,"164 vs 181",1
"38","NAB2",17.9807,"NA","116 vs 118","-",NA,"-",NA,"1 vs 0",1.45,"-",NA,"-",NA,"-",NA,"6 vs 4",1.22,"-",NA,"-",NA,"26 vs 23",8.75,"76 vs 87",1,"-",NA,"7 vs 4",1.16,"-",NA,"-",NA
"39","TSPEAR",17.8342,"NA","1069 vs 1051","-",NA,"-",NA,"-",NA,"-",NA,"12 vs 12",0.93,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"188 vs 130",19.31,"181 vs 192",0.99,"688 vs 717",1
"40","MICAL3",17.7835,"NA","1477 vs 1471","4 vs 0",4.3,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"39 vs 25",3.11,"-",NA,"-",NA,"247 vs 219",1.35,"389 vs 376",0.99,"798 vs 851",0.99
"41","PFKP",17.5785,"NA","243 vs 205","-",NA,"-",NA,"-",NA,"-",NA,"7 vs 4",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"112 vs 79",16.91,"124 vs 122",1,"-",NA
"42","CFHR5",16.5525,"NA","848 vs 753","-",NA,"-",NA,"-",NA,"-",NA,"21 vs 25",0.89,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"93 vs 57",18.75,"333 vs 317",1,"401 vs 354",0.99
"43","NFKBIZ",16.4374,"NA","201 vs 175","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"19 vs 5",12.06,"-",NA,"-",NA,"74 vs 61",1.37,"108 vs 109",1,"-",NA
"44","GNMT",16.4065,"NA","46 vs 30","-",NA,"-",NA,"1 vs 0",1.45,"-",NA,"-",NA,"-",NA,"2 vs 0",1.55,"-",NA,"-",NA,"1 vs 0",1.1,"-",NA,"-",NA,"38 vs 25",6.66,"4 vs 5",1,"-",NA
"45","DLGAP2",16.3941,"4","268 vs 198","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"129 vs 85",16.45,"139 vs 113",1,"-",NA
"46","TP63",16.3413,"NA","155 vs 130","-",NA,"-",NA,"4 vs 1",2.56,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"27 vs 13",3.59,"2 vs 7",1,"-",NA,"32 vs 21",1.78,"90 vs 88",1,"-",NA
