"","Gene","BF","post.prob"
"1","KIF1B",0.678838418545936,0.0637254563916865
"2","RBM15",0.958620681758308,0.0876867737632024
"3","MTOR",0.883388076693693,0.081365037586259
"4","ATP1A1",1.01409274451099,0.0922925993592166
"5","NOTCH2",0.38716503498724,0.0373679913265471
"6","SETDB1",0.675292929109548,0.0634137321887778
"7","PI4KB",0.892295168014966,0.0821180619454258
"8","POGZ",0.857410893565892,0.0791617982325026
"9","INTS3",0.641604911538301,0.0604414474132573
"10","DENND4B",0.953622059807334,0.0872694432116212
"11","UBAP2L",0.844908678156068,0.0780976587687827
"12","ASH1L",0.589823912420664,0.0558358592100863
"13","ARHGEF2",1.12860359406114,0.101654824457846
"14","SPEN",0.473108697825232,0.0452873526663305
"15","ZBTB17",1.15183624655424,0.103530772254321
"16","COPA",1.25870243741812,0.112059862895414
"17","CACNA1E",0.608918667820989,0.0575394610588401
"18","UBR4",0.716944458213966,0.0670627375480834
"19","CDC73",1.03884323034507,0.094332653251304
"20","KIF21B",0.617814599677849,0.0583310435912386
"21","NAV1",0.838162268369981,0.07752240855816
"22","HNRNPR",0.830064366269372,0.0768309711066395
"23","RYR2",0.785078611615743,0.0729709212015173
"24","HNRNPU",0.88015944109159,0.081091776704323
"25","WDTC1",1.03541444887907,0.0940505839704256
"26","DLGAP3",0.919023083424577,0.0843703042275339
"27","ZMYM4",0.395660706180854,0.0381566800894531
"28","NCDN",1.28242952757533,0.113931573734924
"29","MACF1",2.11570051089065,0.175004460253198
"30","CHD5",0.848422492473613,0.0783969892451419
"31","JAK1",0.706719769843534,0.0661696092507273
"32","LRRC7",0.660893457519988,0.0621455749676352
"33","RERE",0.957481611156012,0.0875917073377794
"34","CELF2",1.00455540765024,0.0915040310328463
"35","SMC3",0.901703754913931,0.0829121442036042
"36","PDZD8",1.17696345722311,0.105550899031413
"37","EIF3A",0.572564369088558,0.0542906837727062
"38","DIP2C",0.879027636885185,0.0809959461070754
"39","KCNMA1",1.03983209360169,0.0944139696226075
"40","TM9SF3",1.02561505945558,0.0932434660579844
"41","SLIT1",0.965515033303653,0.0882617513237254
"42","CTR9",0.732331090382208,0.0684035473105588
"43","CUL5",0.865919559473486,0.0798846186577587
"44","DSCAML1",0.539005766278466,0.0512717980403012
"45","BCL9L",1.13706549475666,0.102338998901659
"46","HSPA8",1.06820495378359,0.0967409273340982
"47","PRDM10",1.86473379625982,0.157515130677671
"48","IGSF9B",0.813310263559362,0.0753971302124896
"49","PAX6",1.01668068562203,0.0925063400415883
"50","CSTF3",0.997188078405251,0.0908939451724149
"51","CAPRIN1",1.12481017904066,0.101347774827198
"52","DGKZ",0.73513184519568,0.0686471939751881
"53","MARK2",0.770264150345481,0.071692675552315
"54","RPS6KA4",0.955654935446872,0.0874392122666554
"55","NRXN2",1.7208653653716,0.147150753414191
"56","LTBP3",1.20018372779978,0.107409638098247
"57","IPO7",0.758886677502873,0.0707085900510504
"58","ATP2A2",0.851882255933145,0.078691525448498
"59","CUX2",1.07054868381839,0.0969326102485091
"60","MED13L",0.625859830771729,0.0590457844261635
"61","NOS1",0.82346711737426,0.0762668999057529
"62","KSR2",0.718530640489494,0.0672011377952927
"63","CIT",0.961029677558027,0.0878877624545072
"64","KDM2B",0.897236759212527,0.0825353023204205
"65","PITPNM2",0.702975652760635,0.0658421320821836
"66","EP400",0.106536888106174,0.0105688783625781
"67","CACNA1C",0.620268855010506,0.0585491954680323
"68","DDX23",0.958471469469147,0.0876743216864498
"69","KCNH3",0.812176410757426,0.0752999324807775
"70","SLC4A8",0.908412226737885,0.0834774988946528
"71","SCN8A",0.963594764030216,0.0881016768619533
"72","ESPL1",0.843352717875537,0.0779650494225491
"73","MAP3K12",1.15997382854871,0.104185999481531
"74","SMARCC2",0.787600462877491,0.0731881651673782
"75","LRP1",0.995348084279379,0.0907414480294537
"76","KIF5A",0.901482734258893,0.082893505877808
"77","AGAP2",0.786191487809219,0.0730668020728043
"78","CHD4",1.08097406085503,0.0977842690742287
"79","CAND1",1.03491760547468,0.0940096964895622
"80","PPFIA2",0.899598563682678,0.0827345859604068
"81","WNK1",0.739913981230166,0.0690629129155772
"82","ATP2B1",0.68024261017922,0.0638488574527972
"83","PLXNC1",0.824578263080499,0.076361952212086
"84","FRY",4.51594991668601,0.311667105266638
"85","PDS5B",1.20340527031588,0.107666906463009
"86","NBEA",0.691872624798766,0.0648696599084353
"87","MYCBP2",0.919621341265715,0.0844205902878628
"88","IPO5",2.12210634163982,0.175441370195626
"89","DYNC1H1",1.01659378173904,0.0924991641950725
"90","MTA1",0.398961847283736,0.0384627903185757
"91","SUPT16H",1.07028074276163,0.0969107006989889
"92","CHD8",1.1604888927365,0.104227439532523
"93","HECTD1",0.684632900000356,0.0642344685578587
"94","BAZ1A",0.866180777184353,0.0799067914333251
"95","RALGAPA1",1.23563950435923,0.110232949875367
"96","GPHN",0.812631143524224,0.0753389161797291
"97","ACTN1",0.916760816341437,0.0841801013218825
"98","RBM25",0.998567166610087,0.0910082092929412
"99","HERC2",0.498493329275169,0.0476015774041133
