"","Gene","BF"
"1","GPR88",0.747010156473704
"2","KIF1B",0.965714202806043
"3","AMY1A",0.78974234137507
"4","AMY1C",0.991232447295914
"5","AMPD2",1.09438381160407
"6","AHCYL1",0.897803635391959
"7","RBM15",1.53949122054198
"8","MTOR",1.1018582789975
"9","KCND3",1.23144679113997
"10","RSBN1",1.19767592710106
"11","ATP1A1",1.02059797331078
"12","NOTCH2",1
"13","PRAMEF6",0.699068347311393
"14","PRAMEF14",0.457273295808157
"15","PRAMEF19",0.414608476011119
"16","NBPF15",0.864292502245132
"17","GPR89A",1
"18","SETDB1",1.22065001649637
"19","PI4KB",0.999301279242891
"20","POGZ",1.09438381160407
"21","TCHH",1
"22","INTS3",2.77951797643989
"23","DENND4B",1.08009136274887
"24","UBAP2L",1.22065001649637
"25","ADAR",0.691989858559225
"26","KCNN3",0.839244134231136
"27","TRIM46",0.555788410975693
"28","ASH1L",1.38517250334503
"29","ARHGEF2",1.09968409847323
"30","MEX3A",0.911910615407441
"31","LMNA",0.954271426565398
"32","SPEN",1.32107562095365
"33","ZBTB17",2.90038736730845
"34","ATP1A2",0.856499103443031
"35","COPA",1.38372313245104
"36","CDK11B",0.920771505831013
"37","POGK",0.821334223963386
"38","DNM3",1.01918222523761
"39","GNB1",1
"40","CACNA1E",0.521351321517338
"41","DHX9",0.608531534200574
"42","TPR",0.820373643937604
"43","UBR4",0.72119118900577
"44","CDC73",0.642296736351873
"45","GPR25",0.796206374644295
"46","KIF21B",0.510654849921285
"47","NAV1",0.883589940390313
"48","TMCC2",1
"49","PROX1",1.08478874385734
"50","ACTA1",1
"51","KDM1A",1.07529182085374
"52","HNRNPR",0.806051367723017
"53","RYR2",1.33062287836965
"54","FMN2",1
"55","HNRNPU",1
"56","ZNF672",1.18717524028779
"57","RPS6KA1",1
"58","WDTC1",1.41958363558388
"59","AHDC1",1
"60","OPRD1",0.782818233774416
"61","PUM1",0.791979133178446
"62","KPNA6",0.939521387006245
"63","EIF3I",0.982541764572247
"64","DLGAP3",1
"65","ZMYM4",1
"66","NCDN",0.945904801538982
"67","MACF1",0.902589583451625
"68","KCNQ4",0.752161339586353
"69","SZT2",1
"70","JUN",0.820373643937604
"71","CHD5",0.916071949063263
"72","JAK1",0.767339056996561
"73","SERBP1",0.897803635391959
"74","LRRC7",1.27059614881843
"75","PTGER3",1.09438381160407
"76","RERE",0.973939975939391
"77","PIK3CD",0.661263297739821
