"","No_case","No_contr","OR","pval","eta_est","eta_pval","cate_index"
"ID gene_PLI>=0.995_0.001<AF<0.01",34,23,1.47826086956522,0.0924252412082095,0.393017999148715,0.297930174901319,1
"ID gene_PLI>=0.995_0.0001<0.001",8,8,1,0.598190307617187,9.0269709925154e-07,1,1
"ID gene_PLI>=0.995_AF<0.0001",11,10,1.1,0.5,0.117812109109215,0.707913020648386,1
"ID gene_pLI within (0.5,0.995)_0.001<AF<0.01",1,0,Inf,0.5,0.999990260516885,0.303980779523937,2
"ID gene_pLI within (0.5,0.995)_0.0001<0.001",2,1,2,0.5,0.300632194167697,0.805150850913729,2
"ID gene_pLI within (0.5,0.995)_AF<0.0001",19,16,1.1875,0.36793940042844,0.00123101958917869,1,2
"ID gene_pLI<0.5_0.001<AF<0.01",38,40,0.95,0.632828983485075,9.94123680985554e-12,1,3
"ID gene_pLI<0.5_0.0001<0.001",44,40,1.1,0.371822093052602,3.3540741571318e-05,1,3
"ID gene_pLI<0.5_AF<0.0001",272,256,1.0625,0.256964598711825,0.0481198974445461,0.464198826200331,3
"ID gene_MPC>=2_0.001<AF<0.01",23,20,1.15,0.380395821280673,3.06056990387191e-06,1,4
"ID gene_MPC>=2_0.0001<0.001",43,50,0.86,0.796537815976933,1.73925170831687e-05,1,4
"ID gene_MPC>=2_AF<0.0001",211,184,1.14673913043478,0.0953692145247114,0.159510269254488,0.158366272744406,4
"ID gene_MPC within (1,2)_0.001<AF<0.01",1256,1163,1.07996560619089,0.0306923976890623,0.06076538092053,0.222513489074039,5
"ID gene_MPC within (1,2)_0.0001<0.001",624,621,1.0048309178744,0.477400756446575,0.000672855401320341,1,5
"ID gene_MPC within (1,2)_AF<0.0001",1153,1092,1.05586080586081,0.102694399156034,0.0534581944036447,0.255717428703765,5
"ID gene_MPC<1_0.001<AF<0.01",18251,18079,1.00951380054207,0.18482045711187,4.07744586441929e-06,1,6
"ID gene_MPC<1_0.0001<0.001",6601,6531,1.010718113612,0.273547664767238,0.0085377837490432,0.439373169337309,6
