"","Gene","ACAT_pvalue"
"1","SLC35A3",0.21197509765625
"2","RBP7",0.905700793198763
"3","SASS6",0.989875516618521
"4","TRMT13",0.775463089938674
"5","LRRC39",0.852935119636977
"6","DBT",0.642017947378815
"7","RTCA",0.756028135671657
"8","CDC14A",0.622023418110599
"9","GPR88",0.998059093464685
"10","VCAM1",0.252390190990508
"11","UBE4B",0.0478267760884997
"12","EXTL2",0.608944638261146
"13","SLC30A7",0.803090740400538
"14","DPH5",0.355535551905632
"15","S1PR1",0.703224806200799
"16","ISG15",0.383087867480143
"17","OLFM3",0.15383246221475
"18","AGRN",0.926031522293547
"19","KIF1B",0.951905629144389
"20","COL11A1",0.518834116158019
"21","RNPC3",0.270815681856566
"22","AMY2B",0.61279296875
"23","AMY2A",0.790005884484002
"24","AMY1C",1
"25","PGD",0.331090005789057
"26","CORT",0.39310678867802
"27","DFFA",0.951206505331156
"28","PEX14",0.572131931921915
"29","PRMT6",0.290817671670016
"30","NTNG1",0.817603311177793
"31","VAV3",0.783487976259654
"32","SLC25A24",0.931051903658469
"33","NBPF4",NA
"34","C1orf159",0.881087199853725
"35","NBPF6",1
"36","FAM102B",0.056445828134196
"37","HENMT1",0.969533358052594
"38","PRPF38B",0.850700033420601
"39","FNDC7",0.917826464962224
"40","STXBP3",0.340857987797233
"41","AKNAD1",0.780565537451009
"42","GPSM2",0.846084859330993
"43","CLCC1",0.726311945959466
"44","WDR47",0.20360586242223
"45","TAF13",0.897667218570177
"46","TMEM167B",0.34375
"47","C1orf194",0.230250902249299
"48","KIAA1324",0.832863849029699
"49","SARS",0.845095315675069
"50","CELSR2",0.792809107017195
"51","PSRC1",0.727871648989512
"52","MYBPHL",0.867887852950583
"53","SORT1",0.617596388191439
"54","PSMA5",0.5
"55","SYPL2",0.73880130975158
"56","C1orf127",0.641350756640029
"57","ATXN7L2",0.409559831170959
"58","CYB561D1",0.29245876474383
"59","AMIGO1",0.258235883283064
"60","GPR61",0.692770597910813
"61","GNAI3",0.819836833785143
"62","GNAT2",0.891521043878402
"63","AMPD2",0.29633569056932
"64","GSTM4",0.915472305371347
"65","GSTM2",0.816275259655597
"66","GSTM1",1
"67","GSTM5",0.0895876975814525
"68","GSTM3",0.719967685209894
"69","EPS8L3",0.833847045898437
"70","CSF1",0.827319326967628
"71","AHCYL1",0.725737120385919
"72","STRIP1",0.741829386185566
"73","ALX3",0.290005676715558
"74","UBL4B",0.537282128748984
"75","TARDBP",0.111470624450797
"76","SLC6A17",0.696452395238413
"77","KCNC4",0.704221052633229
"78","MASP2",0.949384289747529
"79","RBM15",0.935836585471622
"80","SLC16A4",0.571773750123505
"81","LAMTOR5",0.90932913016948
"82","PROK1",0.0549345509849799
"83","KCNA10",0.59668092990207
"84","SRM",0.989424297032395
"85","KCNA2",0.5
"86","EXOSC10",0.75
"87","KCNA3",NA
"88","CD53",0.425715773829052
"89","LRIF1",0.868852914355877
"90","MTOR",0.849892547123503
"91","DRAM2",0.724676033644911
"92","CEPT1",0.401809692382813
"93","DENND2D",0.876697436390383
"94","CHI3L2",0.515833486339625
"95","CHIA",0.798793814720635
"96","PIFO",0.5585020439388
"97","OVGP1",0.0541636553009991
"98","WDR77",0.375376246462001
"99","C1orf162",0.688623895089741
"100","ADORA3",0.836530208587646
"101","RAP1A",0.166152954101563
"102","DDX20",0.713258746908258
"103","KCND3",0.787128651628407
"104","ANGPTL7",0.626763527624159
"105","CTTNBP2NL",0.75
"106","WNT2B",0.313707109944841
"107","ST7L",0.690888743296131
"108","CAPZA1",0.855472947845942
"109","MOV10",0.28643539995281
"110","RHOC",0.683471676816084
"111","PPM1J",0.932141603221162
"112","FAM19A3",0.986729973377495
"113","UBIAD1",0.806975376292931
"114","SLC16A1",0.0231363439325997
"115","LRIG2",0.54348595853516
"116","MAGI3",0.715694166316085
"117","PHTF1",0.98394925922293
"118","RSBN1",0.478729218810777
"119","PTPN22",0.999976661601172
"120","BCL2L15",0.63206059957156
"121","AP4B1",0.789305053520081
"122","DCLRE1B",0.189999698205959
"123","HIPK1",0.302924702093553
"124","OLFML3",0.461980571274671
"125","SYT6",0.195466155507369
"126","TRIM33",0.605317708311533
"127","BCAS2",0.84912109375
"128","DENND2C",0.754327146989511
"129","AMPD1",0.596144653304448
"130","NRAS",0.832704042460815
"131","CSDE1",0.297895489920288
"132","SIKE1",0.174297188332912
"133","SYCP1",0.676305781939562
"134","TSHB",0.91015625
"135","TSPAN2",0.682714394303823
"136","NGF",0.158808313626928
"137","VANGL1",0.78549110202562
"138","CASQ2",0.862757489013345
"139","NHLH2",0.5
"140","SLC22A15",0.349209216086494
"141","MAB21L3",0.567800250408378
"142","ATP1A1",0.207910937091456
"143","FBXO2",0.78802490234375
"144","CD58",0.81517747397686
"145","FBXO44",0.845468204258594
"146","IGSF3",0.19384765625
"147","FBXO6",0.333556554555437
"148","MAD2L2",0.56643264410008
"149","CD2",0.703922793241989
"150","PTGFRN",0.914608730557101
"151","CD101",0.408201279548282
"152","TTF2",0.921229898490469
"153","DRAXIN",0.454279363035383
"154","TRIM45",0.924869333803713
"155","VTCN1",0.746813896127617
"156","AGTRAP",0.0415804604524754
"157","MAN1A2",0.71304397451376
"158","C1orf167",0.952615098876837
"159","GDAP2",0.76010305062379
"160","MTHFR",0.4692504786127
"161","TTLL10",0.852239672118149
"162","WDR3",0.893143561666935
"163","SPAG17",0.624169434312606
"164","CLCN6",0.903868438801248
"165","NPPA",0.751149760082919
"166","NPPB",0.861594923983527
"167","TBX15",0.604090549688858
"168","WARS2",0.454944611927962
"169","PLOD1",0.606867371521802
"170","HAO2",0.739565221592611
"171","HSD3B2",0.357665528973256
"172","HSD3B1",0.952395385724865
