"","LoF_pvalue","LoF.Missense_pvalue","fisher_combine_pvalue","LoF_ACAT_pvalue","Missense_ACAT_pvalue"
"SLC35A3",0.3125,0.3125,0.675984628064276,0.75,0.962962962962963
"RBP7",0.96875,0.96875,0.99950655149225,0.5,0.947368421052632
"SASS6",0.9453125,0.9453125,0.998476608727094,0.875,0.985507246376812
"TRMT13",0.5,0.5,0.846573590279973,0.666666666666667,0.984615384615385
"LRRC39",0.270628094673157,0.270628094673157,0.624341651684162,0.875,0.980769230769231
"DBT",0.109375,0.109375,0.351418914689539,0.8,0.984848484848485
"RTCA",0.85546875,0.85546875,0.989012310590666,0.857142857142857,0.985714285714286
"CDC14A",0.885238528251648,0.885238528251648,0.993147464357723,0.928571428571429,0.98989898989899
"GPR88",0.5,0.960823059082031,0.839293528170262,0.5,0.972972972972973
"VCAM1",0.5,0.5,0.846573590279973,0.666666666666667,0.990825688073395
"UBE4B",0.266354627618057,0.301461600628576,0.449309770092642,0.666666666666667,0.99390243902439
"EXTL2",0.8125,0.8125,0.981206983882324,0.75,0.978260869565217
"SLC30A7",0.34375,0.34375,0.710820216562966,0.8,0.984375
"DPH5",0.34375,0.34375,0.710820216562966,0.8,0.977777777777778
"S1PR1",0.7734375,0.5,0.702072813169712,0.5,0.96875
"ISG15",1,1,1,NA,0.975
"OLFM3",0.75,0.75,0.965761554338836,0.5,0.982142857142857
"AGRN",0.411901473999024,0.411901473999024,0.777246177075939,0.933333333333333,0.998188405797101
"KIF1B",0.5,0.839457932157501,0.797007385526551,0.5,0.995670995670996
"COL11A1",0.9375,0.9375,0.998004863566473,0.75,0.996363636363636
"RNPC3",0.21197509765625,0.21197509765625,0.540809199707367,0.875,0.981132075471698
"AMY2B",0.96875,0.96875,0.99950655149225,0.666666666666667,0.916666666666667
"AMY2A",0.75,0.598190307617187,0.81215097538728,0.75,0.875
"AMY1C",1,0.96875,0.965761554338836,0.5,0.5
"PGD",0.25,0.25,0.596573590279973,0.5,0.979166666666667
"CORT",0.9375,0.9375,0.998004863566473,0.5,0.96
"DFFA",0.0245208740234375,0.0245208740234375,0.11544992753322,0.8,0.983606557377049
"PEX14",0.5,0.5,0.846573590279973,0.5,0.983606557377049
"PRMT6",0.8125,0.85546875,0.95348858534103,0.8,0.986486486486487
"NTNG1",0.5,0.1875,0.38493019270998,0.666666666666667,0.981818181818182
"VAV3",0.88671875,0.88671875,0.993326663783525,0.875,0.991228070175439
"SLC25A24",0.682085998685579,0.682085998685579,0.943051782095038,0.928571428571429,0.987012987012987
"NBPF4",1,1,1,NA,1
"C1orf159",0.80615234375,0.80615234375,0.979864100213396,0.8,0.986111111111111
"NBPF6",1,1,1,NA,0.5
"FAM102B",0.2744140625,0.2744140625,0.629263589151039,0.666666666666667,0.972972972972973
"HENMT1",0.5,0.5,0.846573590279973,0.666666666666667,0.981132075471698
"PRPF38B",0.7734375,0.5,0.511088423272631,0.8,0.985074626865672
"FNDC7",0.34443988036167,0.34443988036167,0.711556207036679,0.928571428571429,0.992481203007519
"STXBP3",0.5,0.34375,0.596573590279973,0.647583617650433,0.983606557377049
"AKNAD1",0.3125,0.3125,0.675984628064276,0.602416382349567,0.992592592592593
"GPSM2",0.5,0.5,0.846573590279973,0.916666666666667,0.989795918367347
"CLCC1",0.96728515625,0.96728515625,0.999458936558564,0.857142857142857,0.9875
"WDR47",0.5,0.676197052001953,0.753797506480076,0.647583617650433,0.988235294117647
"TAF13",0.34375,0.598190307617187,0.642333857074508,0.833333333333333,0.933333333333333
"TMEM167B",0.5,0.5,0.846573590279973,0.5,0.933333333333333
"C1orf194",0.2744140625,0.2744140625,0.629263589151039,0.75,0.956521739130435
"KIAA1324",0.759658813476562,0.759658813476562,0.968478291984216,0.923076923076923,0.994505494505495
"SARS",1,0.9375,0.991839968546457,1,0.976190476190476
