"","LoF_pvalue","All_variants_pvalue","fisher_combine_pvalue","LoF_ACAT_pvalue","Missense_ACAT_pvalue"
"SLC35A3",1,1,1,NA,0.9
"RBP7",1,1,1,1,0.875
"SASS6",1,1,1,1,0.96551724137931
"TRMT13",1,1,1,1,0.96551724137931
"LRRC39",0.833847045898437,0.833847045898437,0.985361466561743,0.666666666666667,0.961538461538462
"DBT",0.5,0.5,0.846573590279973,0.5,0.954545454545455
"RTCA",0.5,0.5,0.846573590279973,0.647583617650433,0.972972972972973
"CDC14A",0.975479125976562,0.975479125976562,0.999696875499487,0.833333333333333,0.979166666666667
"GPR88",1,0.85546875,0.989012310590666,NA,0.888888888888889
"VCAM1",1,1,1,NA,0.977777777777778
"UBE4B",0.208846095418266,0.335905516882683,0.468321870031345,0.208846095418266,0.984848484848485
"EXTL2",0.75,0.75,0.965761554338836,0.5,0.954545454545455
"SLC30A7",0.5,0.5,0.846573590279973,0.5,0.956521739130435
"DPH5",1,1,1,NA,0.941176470588235
"S1PR1",0.65625,0.298307447927073,0.493494969084835,0.65625,0.833333333333333
"ISG15",1,1,1,NA,0.958333333333333
"OLFM3",1,1,1,1,0.944444444444444
"AGRN",0.6875,0.6875,0.94510174649097,0.779781820901355,0.996197718631179
"KIF1B",0.5,0.760056169150836,0.768434337490749,0.5,0.990476190476191
"COL11A1",1,1,1,NA,0.991869918699187
"RNPC3",0.1875,0.1875,0.501370581294688,0.397367092861923,0.954545454545455
"AMY2B",0.9375,0.9375,0.998004863566473,0.5,0.857142857142857
"AMY2A",0.75,0.78802490234375,0.908834757881443,0.75,0.8
"AMY1C",1,1,1,1,NA
"PGD",1,1,1,NA,0.952380952380952
"CORT",0.9375,0.9375,0.998004863566473,0.5,0.909090909090909
"DFFA",0.017578125,0.017578125,0.0886130867760344,0.176513765134518,0.966666666666667
"PEX14",0.5,0.5,0.846573590279973,0.5,0.96969696969697
"PRMT6",1,1,1,1,0.96551724137931
"NTNG1",0.5,0.5,0.846573590279973,0.5,0.96
"VAV3",0.890625,0.890625,0.993787710702062,0.75,0.981481481481482
"SLC25A24",0.729371905326843,0.729371905326843,0.959540905305555,0.8,0.964285714285714
"NBPF4",1,1,1,NA,NA
"C1orf159",0.74609375,0.74609375,0.964627606010508,0.5,0.975609756097561
"NBPF6",1,1,1,NA,1
"FAM102B",0.171875,0.171875,0.474544779940224,0.346253119703001,0.941176470588235
"HENMT1",0.75,0.75,0.965761554338836,0.5,0.961538461538462
"PRPF38B",1,0.5,0.846573590279973,NA,0.971428571428571
