,LoF_pvalue,LoF.Missense_pvalue,fisher_combine_pvalue,LoF_ACAT_pvalue,Missense_ACAT_pvalue
SLC35A3,1,1,1,NA,0.9
RBP7,1,1,1,1,0.875
SASS6,1,1,1,1,0.965517241
TRMT13,1,1,1,1,0.965517241
LRRC39,0.833847046,0.833847046,0.985361467,0.666666667,0.961538462
DBT,0.5,0.5,0.84657359,0.5,0.954545455
RTCA,0.5,0.5,0.84657359,0.647583618,0.972972973
CDC14A,0.975479126,0.975479126,0.999696875,0.833333333,0.979166667
GPR88,1,0.85546875,0.989012311,NA,0.888888889
VCAM1,1,1,1,NA,0.977777778
UBE4B,0.208846095,0.335905517,0.46832187,0.208846095,0.984848485
EXTL2,0.75,0.75,0.965761554,0.5,0.954545455
SLC30A7,0.5,0.5,0.84657359,0.5,0.956521739
DPH5,1,1,1,NA,0.941176471
S1PR1,0.65625,0.298307448,0.493494969,0.65625,0.833333333
ISG15,1,1,1,NA,0.958333333
OLFM3,1,1,1,1,0.944444444
AGRN,0.6875,0.6875,0.945101746,0.779781821,0.996197719
KIF1B,0.5,0.760056169,0.768434337,0.5,0.99047619
COL11A1,1,1,1,NA,0.991869919
RNPC3,0.1875,0.1875,0.501370581,0.397367093,0.954545455
AMY2B,0.9375,0.9375,0.998004864,0.5,0.857142857
AMY2A,0.75,0.788024902,0.908834758,0.75,0.8
AMY1C,1,1,1,1,NA
PGD,1,1,1,NA,0.952380952
CORT,0.9375,0.9375,0.998004864,0.5,0.909090909
DFFA,0.017578125,0.017578125,0.088613087,0.176513765,0.966666667
PEX14,0.5,0.5,0.84657359,0.5,0.96969697
PRMT6,1,1,1,1,0.965517241
NTNG1,0.5,0.5,0.84657359,0.5,0.96
VAV3,0.890625,0.890625,0.993787711,0.75,0.981481481
SLC25A24,0.729371905,0.729371905,0.959540905,0.8,0.964285714
NBPF4,1,1,1,NA,NA
C1orf159,0.74609375,0.74609375,0.964627606,0.5,0.975609756
NBPF6,1,1,1,NA,1
FAM102B,0.171875,0.171875,0.47454478,0.34625312,0.941176471
HENMT1,0.75,0.75,0.965761554,0.5,0.961538462
PRPF38B,1,0.5,0.84657359,NA,0.971428571
FNDC7,0.148103184,0.148103184,0.430957467,0.43890865,0.979591837
STXBP3,0.75,0.75,0.965761554,0.75,0.964285714
AKNAD1,1,1,1,NA,0.985074627
GPSM2,0.849121094,0.849121094,0.987997797,0.883427081,0.977777778
CLCC1,0.96484375,0.96484375,0.999374647,0.75,0.96969697
WDR47,1,0.34375,0.710820217,NA,0.962962963
