"","LoF_T","LoF_UT","LoF_OR","LoF_P_value","Missense_T","Missense_UT","Missense_OR","Missense_P_value","All_variants_T","All_variants_UT","All_variants_OR","All_variants_P_value"
"SLC35A3",0,0,0,1,0,0,0,1,0,0,0,1
"RBP7",0,2,0,1,0,0,0,1,0,2,0,1
"SASS6",0,1,0,1,0,0,0,1,0,1,0,1
"TRMT13",0,1,0,1,0,0,0,1,0,1,0,1
"LRRC39",7,10,0.700011654785446,0.833847045898437,0,0,0,1,7,10,0.700011654785446,0.833847045898437
"DBT",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"RTCA",2,1,1.99994298122268,0.5,0,0,0,1,2,1,1.99994298122268,0.5
"CDC14A",5,12,0.416654439533383,0.975479125976562,0,0,0,1,5,12,0.416654439533383,0.975479125976562
"GPR88",0,0,0,1,3,5,0.600013956752488,0.85546875,3,5,0.600013956752488,0.85546875
"VCAM1",0,0,0,1,0,0,0,1,0,0,0,1
"UBE4B",22,16,1.37497975365611,0.208846095418266,5,7,0.714296885722386,0.80615234375,27,23,1.17390540053609,0.335905516882683
"EXTL2",1,1,1,0.75,0,0,0,1,1,1,1,0.75
"SLC30A7",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"DPH5",0,0,0,1,0,0,0,1,0,0,0,1
"S1PR1",3,3,1,0.65625,15,11,1.3636168720233,0.278598546981812,18,14,1.28569988976581,0.298307447927073
"ISG15",0,0,0,1,0,0,0,1,0,0,0,1
"OLFM3",0,1,0,1,0,0,0,1,0,1,0,1
"AGRN",2,2,1,0.6875,0,0,0,1,2,2,1,0.6875
"KIF1B",1,0,Inf,0.5,22,27,0.814821946598369,0.804198544726255,23,27,0.851857398001002,0.760056169150836
"COL11A1",0,0,0,1,0,0,0,1,0,0,0,1
"RNPC3",4,1,3.99955850143943,0.1875,0,0,0,1,4,1,3.99955850143943,0.1875
"AMY2B",1,3,0.33332444571292,0.9375,0,0,0,1,1,3,0.33332444571292,0.9375
"AMY2A",1,1,1,0.75,5,7,0.714296885722386,0.80615234375,6,8,0.750009838798097,0.78802490234375
"AMY1C",0,1,0,1,0,0,0,1,0,1,0,1
"PGD",0,0,0,1,0,0,0,1,0,0,0,1
"CORT",1,3,0.33332444571292,0.9375,0,0,0,1,1,3,0.33332444571292,0.9375
"DFFA",12,3,3.99955731864749,0.017578125,0,0,0,1,12,3,3.99955731864749,0.017578125
"PEX14",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"PRMT6",0,1,0,1,0,0,0,1,0,1,0,1
"NTNG1",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"VAV3",2,4,0.500014255437044,0.890625,0,0,0,1,2,4,0.500014255437044,0.890625
"SLC25A24",11,13,0.84615963525029,0.729371905326843,0,0,0,1,11,13,0.84615963525029,0.729371905326843
"NBPF4",0,0,0,1,0,0,0,1,0,0,0,1
"C1orf159",4,5,0.800007767854906,0.74609375,0,0,0,1,4,5,0.800007767854906,0.74609375
"NBPF6",0,0,0,1,0,0,0,1,0,0,0,1
"FAM102B",7,3,2.33340772037698,0.171875,0,0,0,1,7,3,2.33340772037698,0.171875
"HENMT1",1,1,1,0.75,0,0,0,1,1,1,1,0.75
"PRPF38B",0,0,0,1,1,0,Inf,0.5,1,0,Inf,0.5
"FNDC7",20,13,1.53843062201474,0.148103184299543,0,0,0,1,20,13,1.53843062201474,0.148103184299543
"STXBP3",1,1,1,0.75,0,0,0,1,1,1,1,0.75
"AKNAD1",0,0,0,1,0,0,0,1,0,0,0,1
"GPSM2",6,9,0.666679310308515,0.84912109375,0,0,0,1,6,9,0.666679310308515,0.84912109375
"CLCC1",2,6,0.33332449100887,0.96484375,0,0,0,1,2,6,0.33332449100887,0.96484375
"WDR47",0,0,0,1,4,2,1.99994297987752,0.34375,4,2,1.99994297987752,0.34375
"TAF13",1,0,Inf,0.5,2,6,0.33332449100887,0.96484375,3,6,0.500014255773652,0.91015625
"TMEM167B",0,0,0,1,0,0,0,1,0,0,0,1
"C1orf194",6,4,1.49997155452711,0.376953125,0,0,0,1,6,4,1.49997155452711,0.376953125
"KIAA1324",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"SARS",0,0,0,1,0,0,0,1,0,0,0,1
"CELSR2",0,1,0,1,0,0,0,1,0,1,0,1
"PSRC1",7,9,0.777786485980489,0.772750854492188,0,0,0,1,7,9,0.777786485980489,0.772750854492188
"MYBPHL",1,1,1,0.75,0,0,0,1,1,1,1,0.75
"SORT1",0,0,0,1,0,0,0,1,0,0,0,1
"PSMA5",0,0,0,1,0,0,0,1,0,0,0,1
"SYPL2",0,3,0,1,0,0,0,1,0,3,0,1
"C1orf127",0,0,0,1,0,0,0,1,0,0,0,1
"ATXN7L2",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"CYB561D1",0,2,0,1,0,0,0,1,0,2,0,1
"AMIGO1",0,0,0,1,3,3,1,0.65625,3,3,1,0.65625
"GPR61",0,0,0,1,0,0,0,1,0,0,0,1
"GNAI3",1,2,0.500014255100735,0.875,0,0,0,1,1,2,0.500014255100735,0.875
"GNAT2",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"AMPD2",4,1,3.99955850143943,0.1875,0,0,0,1,4,1,3.99955850143943,0.1875
"GSTM4",1,3,0.33332444571292,0.9375,0,0,0,1,1,3,0.33332444571292,0.9375
"GSTM2",5,8,0.62501357396942,0.8665771484375,1,0,Inf,0.5,6,8,0.750009838798097,0.78802490234375
"GSTM1",0,0,0,1,0,0,0,1,0,0,0,1
"GSTM5",6,6,1,0.61279296875,0,0,0,1,6,6,1,0.61279296875
"GSTM3",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"EPS8L3",7,10,0.700011654785446,0.833847045898437,0,0,0,1,7,10,0.700011654785446,0.833847045898437
"CSF1",0,0,0,1,0,0,0,1,0,0,0,1
"AHCYL1",0,0,0,1,1,1,1,0.75,1,1,1,0.75
"STRIP1",0,0,0,1,5,2,2.50006680582914,0.2265625,5,2,2.50006680582914,0.2265625
"ALX3",0,0,0,1,0,0,0,1,0,0,0,1
"UBL4B",0,0,0,1,0,0,0,1,0,0,0,1
"TARDBP",0,0,0,1,0,0,0,1,0,0,0,1
"SLC6A17",2,0,Inf,0.25,0,0,0,1,2,0,Inf,0.25
"KCNC4",1,0,Inf,0.5,16,15,1.06669380145899,0.5,17,15,1.13332783254745,0.430025032954291
"MASP2",7,5,1.39997810432657,0.38720703125,0,0,0,1,7,5,1.39997810432657,0.38720703125
"RBM15",2,1,1.99994298122268,0.5,1,0,Inf,0.5,3,1,3.0000799907165,0.3125
"SLC16A4",7,4,1.74995640367567,0.2744140625,0,0,0,1,7,4,1.74995640367567,0.2744140625
"LAMTOR5",0,0,0,1,0,0,0,1,0,0,0,1
"PROK1",10,1,9.99838098630679,0.005859375,0,0,0,1,10,1,9.99838098630679,0.005859375
"KCNA10",7,5,1.39997810432657,0.38720703125,0,0,0,1,7,5,1.39997810432657,0.38720703125
"SRM",0,0,0,1,0,1,0,1,0,1,0,1
"KCNA2",0,0,0,1,4,4,1,0.63671875,4,4,1,0.63671875
"EXOSC10",1,1,1,0.75,0,0,0,1,1,1,1,0.75
"KCNA3",0,0,0,1,0,0,0,1,0,0,0,1
"CD53",0,0,0,1,0,0,0,1,0,0,0,1
"LRIF1",0,0,0,1,0,0,0,1,0,0,0,1
"MTOR",2,0,Inf,0.25,8,13,0.615398354450311,0.905376434326172,10,13,0.769239832262526,0.797563552856445
"DRAM2",4,1,3.99955850143943,0.1875,0,0,0,1,4,1,3.99955850143943,0.1875
"CEPT1",0,0,0,1,4,3,1.33331584334321,0.5,4,3,1.33331584334321,0.5
"DENND2D",2,1,1.99994298122268,0.5,0,0,0,1,2,1,1.99994298122268,0.5
"CHI3L2",4,4,1,0.63671875,0,0,0,1,4,4,1,0.63671875
"CHIA",12,7,1.71424415514444,0.179641723632813,0,0,0,1,12,7,1.71424415514444,0.179641723632813
"PIFO",0,1,0,1,0,0,0,1,0,1,0,1
"OVGP1",4,8,0.500014256110559,0.927001953125,0,0,0,1,4,8,0.500014256110559,0.927001953125
"WDR77",0,1,0,1,0,0,0,1,0,1,0,1
"C1orf162",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"ADORA3",5,5,1,0.623046875,0,0,0,1,5,5,1,0.623046875
"RAP1A",0,0,0,1,0,0,0,1,0,0,0,1
"DDX20",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"KCND3",0,0,0,1,2,1,1.99994298122268,0.5,2,1,1.99994298122268,0.5
"ANGPTL7",11,7,1.57139558889057,0.240341186523438,0,0,0,1,11,7,1.57139558889057,0.240341186523438
"CTTNBP2NL",0,0,0,1,1,1,1,0.75,1,1,1,0.75
"WNT2B",0,0,0,1,0,0,0,1,0,0,0,1
"ST7L",6,7,0.857148182371521,0.70947265625,0,0,0,1,6,7,0.857148182371521,0.70947265625
"CAPZA1",0,0,0,1,0,0,0,1,0,0,0,1
"MOV10",0,0,0,1,0,0,0,1,0,0,0,1
"RHOC",0,0,0,1,0,0,0,1,0,0,0,1
"PPM1J",4,4,1,0.63671875,0,0,0,1,4,4,1,0.63671875
"FAM19A3",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"UBIAD1",0,0,0,1,0,0,0,1,0,0,0,1
"SLC16A1",0,0,0,1,0,0,0,1,0,0,0,1
"LRIG2",0,1,0,1,0,0,0,1,0,1,0,1
"MAGI3",0,0,0,1,1,2,0.500014255100735,0.875,1,2,0.500014255100735,0.875
"PHTF1",8,14,0.571442809605116,0.933099746704102,0,0,0,1,8,14,0.571442809605116,0.933099746704102
"RSBN1",18,15,1.19999087605874,0.364166240440682,1,0,Inf,0.5,19,15,1.26665348417908,0.30379568063654
"PTPN22",6,7,0.857148182371521,0.70947265625,0,0,0,1,6,7,0.857148182371521,0.70947265625
"BCL2L15",2,1,1.99994298122268,0.5,0,0,0,1,2,1,1.99994298122268,0.5
"AP4B1",6,5,1.19999087482567,0.5,0,0,0,1,6,5,1.19999087482567,0.5
"DCLRE1B",0,0,0,1,0,0,0,1,0,0,0,1
"HIPK1",0,0,0,1,1,1,1,0.75,1,1,1,0.75
"OLFML3",6,4,1.49997155452711,0.376953125,0,0,0,1,6,4,1.49997155452711,0.376953125
"SYT6",0,0,0,1,0,0,0,1,0,0,0,1
"TRIM33",0,0,0,1,8,6,1.33331584236617,0.395263671875,8,6,1.33331584236617,0.395263671875
"BCAS2",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"DENND2C",2,6,0.33332449100887,0.96484375,0,0,0,1,2,6,0.33332449100887,0.96484375
"AMPD1",4,11,0.363627807590893,0.982421875,0,0,0,1,4,11,0.363627807590893,0.982421875
"NRAS",0,0,0,1,0,0,0,1,0,0,0,1
