"","Gene","BF","SFARI_score","total_count","g1_count","g1_BF","g2_count","g2_BF","g3_count","g3_BF","g4_count","g4_BF","g5_count","g5_BF","g6_count","g6_BF"
"1","PLXNA1",164.8023,"NA","409 vs 391","5 vs 3",0.91,"-",NA,"-",NA,"44 vs 13",502.49,"171 vs 160",0.61,"189 vs 215",0.59
"2","MYH10",126.286,"3","246 vs 209","7 vs 0",19.03,"-",NA,"-",NA,"32 vs 20",5.06,"98 vs 81",1.22,"109 vs 108",1.08
"3","PCYOX1L",92.2355,"NA","126 vs 88","-",NA,"-",NA,"3 vs 3",0.95,"-",NA,"-",NA,"123 vs 85",97.47
"4","PTPRF",72.06,"NA","535 vs 439","14 vs 3",22.7,"-",NA,"-",NA,"31 vs 22",0.82,"112 vs 107",0.96,"378 vs 307",4.04
"5","LMNB1",61.8972,"NA","98 vs 75","-",NA,"11 vs 2",36.25,"-",NA,"-",NA,"21 vs 27",0.79,"66 vs 46",2.16
"6","NAV3",45.8445,"NA","371 vs 378","15 vs 3",82.84,"-",NA,"-",NA,"-",NA,"-",NA,"356 vs 375",0.55
"7","ARAP2",45.0514,"NA","445 vs 402","-",NA,"-",NA,"5 vs 8",0.8,"-",NA,"-",NA,"440 vs 394",56.05
"8","AHNAK",34.1371,"NA","1111 vs 1109","-",NA,"8 vs 0",24.06,"-",NA,"-",NA,"-",NA,"1103 vs 1109",1.42
"9","SF3B3",32.5544,"NA","105 vs 72","2 vs 0",2.29,"-",NA,"-",NA,"24 vs 9",9.84,"36 vs 28",1.37,"43 vs 35",1.05
"10","IL1R2",31.7265,"4","207 vs 158","-",NA,"-",NA,"11 vs 6",1.29,"-",NA,"-",NA,"196 vs 152",24.57
"11","ATP2B2",30.646,"3","148 vs 143","4 vs 0",5.89,"-",NA,"-",NA,"46 vs 30",8.22,"49 vs 51",0.8,"49 vs 62",0.79
"12","BTG3",30.4933,"NA","52 vs 26","-",NA,"3 vs 1",1.34,"-",NA,"22 vs 5",22.09,"8 vs 8",0.99,"19 vs 12",1.04
"13","MFSD10",28.7006,"NA","197 vs 186","-",NA,"-",NA,"21 vs 5",33.29,"-",NA,"-",NA,"176 vs 181",0.86
"14","OR52A5",25.4346,"NA","164 vs 144","-",NA,"-",NA,"16 vs 8",4.37,"-",NA,"-",NA,"148 vs 136",5.82
"15","PAN2",22.0249,"NA","237 vs 194","-",NA,"4 vs 2",1.35,"-",NA,"-",NA,"92 vs 87",2.88,"141 vs 105",5.68
"16","SYNGAP1",21.4678,"1","95 vs 64","-",NA,"-",NA,"-",NA,"39 vs 15",20.54,"51 vs 45",1.06,"5 vs 4",0.99
"17","MYO5C",20.9741,"4","478 vs 445","-",NA,"-",NA,"21 vs 23",0.79,"-",NA,"-",NA,"457 vs 422",26.41
"18","KATNAL1",20.896,"4","62 vs 57","-",NA,"7 vs 0",18.35,"-",NA,"-",NA,"14 vs 16",0.99,"41 vs 41",1.15
"19","DDX55",16.7745,"NA","226 vs 217","-",NA,"-",NA,"25 vs 16",11.87,"-",NA,"-",NA,"201 vs 201",1.41
"20","SLC5A6",16.6326,"NA","133 vs 116","-",NA,"-",NA,"14 vs 1",14.75,"-",NA,"23 vs 15",1.15,"96 vs 100",0.98
"21","TRAK1",16.4552,"NA","311 vs 263","-",NA,"-",NA,"2 vs 0",1.13,"-",NA,"46 vs 22",10.34,"263 vs 241",1.4
"22","MAML3",16.195,"NA","270 vs 287","1 vs 0",1.51,"-",NA,"-",NA,"-",NA,"5 vs 8",0.88,"264 vs 279",12.17
"23","AFF1",15.9856,"NA","335 vs 268","-",NA,"6 vs 1",5.56,"-",NA,"-",NA,"-",NA,"329 vs 267",2.88
"24","SV2B",15.7215,"NA","229 vs 214","-",NA,"-",NA,"6 vs 1",1.71,"-",NA,"43 vs 41",4.33,"180 vs 172",2.12
"25","NCKAP5L",15.3122,"5","324 vs 258","-",NA,"3 vs 2",0.74,"-",NA,"-",NA,"-",NA,"321 vs 256",20.6
"26","MROH2A",14.8248,"NA","552 vs 496","-",NA,"-",NA,"63 vs 64",1.1,"-",NA,"-",NA,"489 vs 432",13.44
"27","DYNC1H1",14.4901,"3","357 vs 316","6 vs 0",12.05,"-",NA,"-",NA,"87 vs 80",0.65,"208 vs 200",1.41,"56 vs 36",1.3
"28","LINGO2",14.4571,"NA","164 vs 138","-",NA,"4 vs 0",5.14,"-",NA,"-",NA,"-",NA,"160 vs 138",2.81
"29","ANGPT1",14.4372,"NA","83 vs 89","-",NA,"1 vs 0",1.49,"-",NA,"16 vs 6",15.21,"6 vs 15",0.74,"60 vs 68",0.86
"30","PDS5B",14.3984,"NA","134 vs 158","9 vs 1",26.87,"-",NA,"-",NA,"3 vs 2",1.1,"24 vs 36",0.74,"98 vs 119",0.66
"31","CTBP2",14.0728,"NA","423 vs 389","-",NA,"-",NA,"11 vs 11",1.04,"6 vs 5",0.92,"29 vs 21",1.39,"377 vs 352",10.52
"32","ELL3",13.5993,"NA","124 vs 66","-",NA,"-",NA,"2 vs 4",0.85,"-",NA,"-",NA,"122 vs 62",16.09
