,LoF_T,LoF_UT,LoF_OR,LoF_P_value,Missense_T,Missense_UT,Missense_OR,Missense_P_value,LoF.Missense_T,LoF.Missense_UT,LoF.Missense_OR,LoF.Missense_P_value
SLC35A3,0,0,0,1,0,0,0,1,0,0,0,1
RBP7,0,2,0,1,0,0,0,1,0,2,0,1
SASS6,0,1,0,1,0,0,0,1,0,1,0,1
TRMT13,0,1,0,1,0,0,0,1,0,1,0,1
LRRC39,7,10,0.700011655,0.833847046,0,0,0,1,7,10,0.700011655,0.833847046
DBT,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
RTCA,2,1,1.999942981,0.5,0,0,0,1,2,1,1.999942981,0.5
CDC14A,5,12,0.41665444,0.975479126,0,0,0,1,5,12,0.41665444,0.975479126
GPR88,0,0,0,1,3,5,0.600013957,0.85546875,3,5,0.600013957,0.85546875
VCAM1,0,0,0,1,0,0,0,1,0,0,0,1
UBE4B,22,16,1.374979754,0.208846095,5,7,0.714296886,0.806152344,27,23,1.173905401,0.335905517
EXTL2,1,1,1,0.75,0,0,0,1,1,1,1,0.75
SLC30A7,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
DPH5,0,0,0,1,0,0,0,1,0,0,0,1
S1PR1,3,3,1,0.65625,15,11,1.363616872,0.278598547,18,14,1.28569989,0.298307448
ISG15,0,0,0,1,0,0,0,1,0,0,0,1
OLFM3,0,1,0,1,0,0,0,1,0,1,0,1
AGRN,2,2,1,0.6875,0,0,0,1,2,2,1,0.6875
KIF1B,1,0,Inf,0.5,22,27,0.814821947,0.804198545,23,27,0.851857398,0.760056169
COL11A1,0,0,0,1,0,0,0,1,0,0,0,1
RNPC3,4,1,3.999558501,0.1875,0,0,0,1,4,1,3.999558501,0.1875
AMY2B,1,3,0.333324446,0.9375,0,0,0,1,1,3,0.333324446,0.9375
AMY2A,1,1,1,0.75,5,7,0.714296886,0.806152344,6,8,0.750009839,0.788024902
AMY1C,0,1,0,1,0,0,0,1,0,1,0,1
PGD,0,0,0,1,0,0,0,1,0,0,0,1
CORT,1,3,0.333324446,0.9375,0,0,0,1,1,3,0.333324446,0.9375
DFFA,12,3,3.999557319,0.017578125,0,0,0,1,12,3,3.999557319,0.017578125
PEX14,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
PRMT6,0,1,0,1,0,0,0,1,0,1,0,1
NTNG1,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
VAV3,2,4,0.500014255,0.890625,0,0,0,1,2,4,0.500014255,0.890625
SLC25A24,11,13,0.846159635,0.729371905,0,0,0,1,11,13,0.846159635,0.729371905
NBPF4,0,0,0,1,0,0,0,1,0,0,0,1
C1orf159,4,5,0.800007768,0.74609375,0,0,0,1,4,5,0.800007768,0.74609375
NBPF6,0,0,0,1,0,0,0,1,0,0,0,1
FAM102B,7,3,2.33340772,0.171875,0,0,0,1,7,3,2.33340772,0.171875
HENMT1,1,1,1,0.75,0,0,0,1,1,1,1,0.75
PRPF38B,0,0,0,1,1,0,Inf,0.5,1,0,Inf,0.5
FNDC7,20,13,1.538430622,0.148103184,0,0,0,1,20,13,1.538430622,0.148103184
STXBP3,1,1,1,0.75,0,0,0,1,1,1,1,0.75
AKNAD1,0,0,0,1,0,0,0,1,0,0,0,1
GPSM2,6,9,0.66667931,0.849121094,0,0,0,1,6,9,0.66667931,0.849121094
CLCC1,2,6,0.333324491,0.96484375,0,0,0,1,2,6,0.333324491,0.96484375
WDR47,0,0,0,1,4,2,1.99994298,0.34375,4,2,1.99994298,0.34375
TAF13,1,0,Inf,0.5,2,6,0.333324491,0.96484375,3,6,0.500014256,0.91015625
TMEM167B,0,0,0,1,0,0,0,1,0,0,0,1
C1orf194,6,4,1.499971555,0.376953125,0,0,0,1,6,4,1.499971555,0.376953125
KIAA1324,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
SARS,0,0,0,1,0,0,0,1,0,0,0,1
CELSR2,0,1,0,1,0,0,0,1,0,1,0,1
PSRC1,7,9,0.777786486,0.772750854,0,0,0,1,7,9,0.777786486,0.772750854
MYBPHL,1,1,1,0.75,0,0,0,1,1,1,1,0.75
SORT1,0,0,0,1,0,0,0,1,0,0,0,1
PSMA5,0,0,0,1,0,0,0,1,0,0,0,1
SYPL2,0,3,0,1,0,0,0,1,0,3,0,1
C1orf127,0,0,0,1,0,0,0,1,0,0,0,1
ATXN7L2,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
CYB561D1,0,2,0,1,0,0,0,1,0,2,0,1
AMIGO1,0,0,0,1,3,3,1,0.65625,3,3,1,0.65625
GPR61,0,0,0,1,0,0,0,1,0,0,0,1
GNAI3,1,2,0.500014255,0.875,0,0,0,1,1,2,0.500014255,0.875
GNAT2,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
AMPD2,4,1,3.999558501,0.1875,0,0,0,1,4,1,3.999558501,0.1875
GSTM4,1,3,0.333324446,0.9375,0,0,0,1,1,3,0.333324446,0.9375
GSTM2,5,8,0.625013574,0.866577148,1,0,Inf,0.5,6,8,0.750009839,0.788024902
GSTM1,0,0,0,1,0,0,0,1,0,0,0,1
GSTM5,6,6,1,0.612792969,0,0,0,1,6,6,1,0.612792969
GSTM3,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
EPS8L3,7,10,0.700011655,0.833847046,0,0,0,1,7,10,0.700011655,0.833847046
CSF1,0,0,0,1,0,0,0,1,0,0,0,1
AHCYL1,0,0,0,1,1,1,1,0.75,1,1,1,0.75
STRIP1,0,0,0,1,5,2,2.500066806,0.2265625,5,2,2.500066806,0.2265625
ALX3,0,0,0,1,0,0,0,1,0,0,0,1
UBL4B,0,0,0,1,0,0,0,1,0,0,0,1
TARDBP,0,0,0,1,0,0,0,1,0,0,0,1
SLC6A17,2,0,Inf,0.25,0,0,0,1,2,0,Inf,0.25
KCNC4,1,0,Inf,0.5,16,15,1.066693801,0.5,17,15,1.133327833,0.430025033
MASP2,7,5,1.399978104,0.387207031,0,0,0,1,7,5,1.399978104,0.387207031
RBM15,2,1,1.999942981,0.5,1,0,Inf,0.5,3,1,3.000079991,0.3125
SLC16A4,7,4,1.749956404,0.274414063,0,0,0,1,7,4,1.749956404,0.274414063
LAMTOR5,0,0,0,1,0,0,0,1,0,0,0,1
PROK1,10,1,9.998380986,0.005859375,0,0,0,1,10,1,9.998380986,0.005859375
KCNA10,7,5,1.399978104,0.387207031,0,0,0,1,7,5,1.399978104,0.387207031
SRM,0,0,0,1,0,1,0,1,0,1,0,1
KCNA2,0,0,0,1,4,4,1,0.63671875,4,4,1,0.63671875
EXOSC10,1,1,1,0.75,0,0,0,1,1,1,1,0.75
KCNA3,0,0,0,1,0,0,0,1,0,0,0,1
CD53,0,0,0,1,0,0,0,1,0,0,0,1
LRIF1,0,0,0,1,0,0,0,1,0,0,0,1
MTOR,2,0,Inf,0.25,8,13,0.615398354,0.905376434,10,13,0.769239832,0.797563553
DRAM2,4,1,3.999558501,0.1875,0,0,0,1,4,1,3.999558501,0.1875
CEPT1,0,0,0,1,4,3,1.333315843,0.5,4,3,1.333315843,0.5
DENND2D,2,1,1.999942981,0.5,0,0,0,1,2,1,1.999942981,0.5
CHI3L2,4,4,1,0.63671875,0,0,0,1,4,4,1,0.63671875
CHIA,12,7,1.714244155,0.179641724,0,0,0,1,12,7,1.714244155,0.179641724
PIFO,0,1,0,1,0,0,0,1,0,1,0,1
OVGP1,4,8,0.500014256,0.927001953,0,0,0,1,4,8,0.500014256,0.927001953
WDR77,0,1,0,1,0,0,0,1,0,1,0,1
C1orf162,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
ADORA3,5,5,1,0.623046875,0,0,0,1,5,5,1,0.623046875
RAP1A,0,0,0,1,0,0,0,1,0,0,0,1
DDX20,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
KCND3,0,0,0,1,2,1,1.999942981,0.5,2,1,1.999942981,0.5
ANGPTL7,11,7,1.571395589,0.240341187,0,0,0,1,11,7,1.571395589,0.240341187
CTTNBP2NL,0,0,0,1,1,1,1,0.75,1,1,1,0.75
WNT2B,0,0,0,1,0,0,0,1,0,0,0,1
ST7L,6,7,0.857148182,0.709472656,0,0,0,1,6,7,0.857148182,0.709472656
CAPZA1,0,0,0,1,0,0,0,1,0,0,0,1
MOV10,0,0,0,1,0,0,0,1,0,0,0,1
RHOC,0,0,0,1,0,0,0,1,0,0,0,1
PPM1J,4,4,1,0.63671875,0,0,0,1,4,4,1,0.63671875
FAM19A3,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
UBIAD1,0,0,0,1,0,0,0,1,0,0,0,1
SLC16A1,0,0,0,1,0,0,0,1,0,0,0,1
LRIG2,0,1,0,1,0,0,0,1,0,1,0,1
MAGI3,0,0,0,1,1,2,0.500014255,0.875,1,2,0.500014255,0.875
PHTF1,8,14,0.57144281,0.933099747,0,0,0,1,8,14,0.57144281,0.933099747
RSBN1,18,15,1.199990876,0.36416624,1,0,Inf,0.5,19,15,1.266653484,0.303795681
PTPN22,6,7,0.857148182,0.709472656,0,0,0,1,6,7,0.857148182,0.709472656
BCL2L15,2,1,1.999942981,0.5,0,0,0,1,2,1,1.999942981,0.5
AP4B1,6,5,1.199990875,0.5,0,0,0,1,6,5,1.199990875,0.5
DCLRE1B,0,0,0,1,0,0,0,1,0,0,0,1
HIPK1,0,0,0,1,1,1,1,0.75,1,1,1,0.75
OLFML3,6,4,1.499971555,0.376953125,0,0,0,1,6,4,1.499971555,0.376953125
SYT6,0,0,0,1,0,0,0,1,0,0,0,1
TRIM33,0,0,0,1,8,6,1.333315842,0.395263672,8,6,1.333315842,0.395263672
BCAS2,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
DENND2C,2,6,0.333324491,0.96484375,0,0,0,1,2,6,0.333324491,0.96484375
AMPD1,4,11,0.363627808,0.982421875,0,0,0,1,4,11,0.363627808,0.982421875
NRAS,0,0,0,1,0,0,0,1,0,0,0,1
CSDE1,0,0,0,1,0,0,0,1,0,0,0,1
SIKE1,0,0,0,1,0,0,0,1,0,0,0,1
SYCP1,0,0,0,1,0,0,0,1,0,0,0,1
TSHB,0,0,0,1,0,0,0,1,0,0,0,1
TSPAN2,3,3,1,0.65625,0,0,0,1,3,3,1,0.65625
NGF,0,0,0,1,0,0,0,1,0,0,0,1
VANGL1,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
CASQ2,0,0,0,1,0,0,0,1,0,0,0,1
NHLH2,0,0,0,1,0,1,0,1,0,1,0,1
SLC22A15,2,2,1,0.6875,0,0,0,1,2,2,1,0.6875
MAB21L3,8,7,1.142851156,0.5,0,0,0,1,8,7,1.142851156,0.5
ATP1A1,0,0,0,1,7,2,3.499540442,0.08984375,7,2,3.499540442,0.08984375
FBXO2,0,0,0,1,0,0,0,1,0,0,0,1
