"","Gene","BF","BF_filtered","post_prob","chr","pos"
"1","ENPP7",28.6454,28.5312,0.672361275186072,17,79731150
"2","PTEN",14.9069,14.9069,0.51742050172656,10,87864486
"3","SUPT5H",14.4258,14.4258,0.509225028073707,19,39445884
"4","MICAL3",13.8889,13.8889,0.499743997516491,22,17790775
"5","SKI",13.3934,13.3934,0.490663105097445,1,2228897
"6","DPH1",13.2157,13.2728,0.488402794951665,17,2030164
"7","TOE1",12.3926,13.1836,0.486718041152746,1,45338190
"8","MSTO1",12.9447,12.5556,0.474535254060092,1,155610250
"9","NRXN2",11.1218,11.1218,0.444428821672538,11,64607231
"10","ACACA",10.5938,11.043,0.442673879745524,17,37087158
"11","CTNNA2",10.9786,10.9786,0.441231383478631,2,79858030
"12","SCMH1",10.8245,10.8245,0.437749195941874,1,41028216
"13","DGKH",10.2888,10.2888,0.425298855683715,13,42048793
"14","DNM2",9.8144,9.8446,0.414549101833978,19,10718252
"15","MYH10",9.9885,9.5369,0.406863819690569,17,8475863
"16","PI4KA",8.0903,9.3421,0.401893211543088,22,20702712
"17","INTS3",9.4217,9.1952,0.398089391590383,1,153728545
"18","ZMIZ1",7.4683,8.9343,0.391213027652274,10,79208414
"19","REV3L",7.1487,8.2819,0.373310296536011,6,111300039
"20","PRH2",7.3886,8.2146,0.371403400227179,12,10929273
"21","MVK",7.835,7.6755,0.355699139469174,12,109576052
"22","SF3B3",7.6382,7.6382,0.354583497005119,16,70523080
"23","HOXB4",7.62,7.6337,0.354448640839672,17,48573842
"24","ANGPT1",7.6043,7.6278,0.35427174401823,8,107251871
"25","ITPRID2",7.6028,7.3787,0.346713610570318,2,181892076
"26","ZBTB17",7.5008,7.2883,0.343926772185193,1,15941982
"27","GOLGA8H",7.2429,7.2429,0.342518199274551,15,30605855
"28","RIPOR2",5.6003,7.1581,0.339870943743468,6,24825254
"29","MGAT5B",5.9546,7.0075,0.335116642342607,17,76869030
"30","HGF",6.7862,6.9934,0.334668010177518,7,81702589
"31","NFKBIZ",7.0754,6.9921,0.334626616443113,3,101849746
"32","CDKN1C",6.9379,6.9379,0.332896220297533,11,2883776
"33","ARNT2",6.8316,6.8316,0.329476203111167,15,80450931
"34","BRWD1",6.4982,6.812,0.328841774718177,21,39187048
"35","ATP6V0D1",6.7496,6.8049,0.328611659952148,16,67435535
"36","SEPHS1",6.7989,6.7989,0.328417073715581,10,13319195
"37","ITGB3",6.6996,6.7952,0.328297022635692,17,47253901
"38","TTN",6.764,6.764,0.327282990535379,2,178527073
"39","ARHGAP11A",6.0734,6.4252,0.316071222197808,15,32616210
"40","MYT1",9.3756,6.382,0.314614700908552,20,64205069
"41","CEP350",6.3591,6.3591,0.313840091025301,1,179986171
"42","FGD6",5.6755,6.2387,0.309738494772803,12,95081512
"43","ADCY5",6.1992,6.1992,0.30838216792306,3,123284618
"44","PGA3",6.1987,6.1987,0.308364965065313,11,61203569
"45","SLC20A1",6.1857,6.1857,0.307917390188749,2,112646847
"46","ACIN1",5.6653,6.1437,0.306467411807674,14,23053752
"47","PRDM10",4.0307,6.133,0.306097040941613,11,129902318
"48","PPARG",6.2805,6.1284,0.305937694468015,3,12351594
"49","AP3D1",5.6488,6.0619,0.303625895081272,19,2102181
"50","ATXN10",5.9595,5.9595,0.300035801041648,22,45672086
"51","MUCL3",5.9019,5.9019,0.298000058679339,6,30941010
"52","RARA",6.2691,5.7505,0.29259226414115,17,40331238
"53","NBEAL2",5.7366,5.7366,0.292091596988391,3,46988858
"54","DYNC1H1",2.1977,5.7109,0.291164034102266,14,101964726
"55","MEGF10",5.6479,5.6479,0.288879925969115,5,127331358
"56","HMGCS1",5.735,5.6169,0.287750587403444,5,43292526
